"","20210112_30102534301221-01_P0091-3 D0 media_06.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC","20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210112_30102534301221-01_P0091-2 D0 media_05.RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0091-1 D0 media_04.RCC","20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC","20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC","20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC","20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC","20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC","20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC"
"PKM - mRNA",9.27661643627422,7.62616074854846,7.60237628131166,7.69426424918244,5.4308195266067,9.69767444566154,11.1291421218776,11.0716526999348,11.1199748745634,9.04546155914493,9.33537195239833,9.51400715369077,9.14483185283207,9.68578757565823,10.9921565163633,10.6552224704611,10.7931122005817,10.4763139583801,11.3934451881797,11.1392749826821,11.3660827113619,12.2008176549505,11.2101412812254,11.0677396083796,9.91154459084022,10.3788163441415,10.0047925830313,8.60993586012675,10.595205342049,9.91303593443387
"ENO1 - mRNA",9.68100661831295,3.89990153342207,7.74921771154996,7.77443459711337,5.4308195266067,9.57104096910042,11.5732672987865,11.340227313472,11.4063960276026,8.48906811248833,9.3102809077276,10.0246222938459,9.24212900343611,9.72358960303999,10.3864355003742,10.3665963592744,10.4972220379471,10.2353057803444,11.109755905072,10.7944464079458,10.847658500405,12.0733688539828,11.0242572201842,10.769216079145,10.3828502482755,10.3618434031777,10.3661919931191,8.66943679287736,10.5173647071887,10.452988729379
"ERO1A - mRNA",8.35907860602919,7.62616074854846,4.65347160813647,7.69426424918244,5.4308195266067,8.50329633871906,8.7287217613701,8.524048450367,8.68373825396536,7.79392265329085,2.91043833744184,8.57211014112384,8.04049508699455,7.45057106455141,8.79361075112827,8.57369259948627,8.46159809946961,8.6952558016354,8.89412083088094,8.77117660845389,8.88350375445225,9.65155255495724,8.94431359088918,8.54350329949025,8.2934152366348,8.28289201735332,8.11621385807142,7.53193336904989,8.71000982893295,8.432524571241
"HIF1A - mRNA",7.64858524559266,8.27001694708619,7.79502141771715,4.99184601639063,7.80578371899956,8.05078412502363,10.7857527724959,10.4444471133666,10.3526853374527,7.20896020132605,7.47739080791864,8.23107319245826,7.17799854299741,7.56604834351135,9.22042541707332,9.10162420915895,8.2551471728932,8.38159522900672,9.42877815031295,9.22097945678564,9.38652457075681,9.79145813047071,9.82547736694821,8.83723456776957,7.56759023456188,8.04842667461696,8.33302524242886,6.84743513547733,8.31634589600824,8.00368140172393
"IFITM2 - mRNA",7.5110817117769,7.79608566398358,7.60237628131166,4.99184601639063,7.95163466742219,8.05078412502363,9.620015505624,9.26807748649604,9.44703793562234,9.0163150606969,8.06235334911841,8.23107319245826,8.36242317749828,8.35746166620819,7.99215651494676,7.73239031458239,8.46159809946961,7.9527519094059,7.73761633502999,8.25492682199304,7.74422892217568,8.35582960856303,8.562442979241,8.4881603328251,7.86715051642078,8.31851578123015,8.26431244684225,8.46634498880804,8.63260532972324,8.85783049615152
"MET - mRNA",9.88959336210325,3.89990153342207,7.9243043776838,7.8129087894922,8.00608239467887,9.31065133177354,8.55588509086741,8.55902459391359,8.3102797964828,8.20896020132605,8.33537195239833,9.71649995858118,8.52592195956672,8.11353615844788,8.50672960164952,8.81985319893181,8.64217027072576,8.59216227502645,8.66044850667126,8.89475134931346,8.65371662075048,9.51932826747688,8.71182060165268,8.73905415228374,9.25946786858109,9.15078836694006,8.76474142392258,8.1486047437334,9.13577377890197,8.63714235003431
"PTPN11 - mRNA",8.43708112450555,3.89990153342207,8.00447475156886,8.29290166826905,8.1338378578902,8.01230996074014,8.3892353487461,8.17532035287023,8.39000700835518,8.92516721751879,8.43158725123205,8.53363593276145,8.24212900343611,8.50946478560578,8.14827563317789,8.43283012248252,8.80263488419348,8.57424022530029,8.57891865707836,8.89475134931346,8.39275645051219,9.12560123593746,8.95100824770702,9.0918074135026,8.7740411120293,9.24636615213638,8.97284966776775,9.04008014647177,9.12773650548493,9.04020726720936
"GLUL - mRNA",10.4370811234649,7.79608566398358,4.65347160813647,4.99184601639063,5.4308195266067,10.1778960818633,9.91407686032554,10.2059873905922,10.1408670516268,9.10204489502118,8.12124703234306,9.83197711954422,8.52592195956672,8.4505710604276,8.07232677664615,8.27671084863873,8.46159809946961,8.42223714321038,8.6918127250055,8.66155207209306,8.56819852664946,8.66616970673044,8.76597641128651,8.86853067190114,8.72513135472668,8.76831882334836,9.52147032828113,8.69829167049476,9.45770187481521,9.3693306945828
"IL32 - mRNA",9.77411603555632,3.89990153342207,4.65347160813647,7.56498118021175,5.4308195266067,9.03167529395129,10.4183816496338,10.2759826581771,10.3225233069585,7.10204489764652,8.12124703234306,8.96803875877591,7.41900668158606,8.15101080870426,8.64423323573679,8.73239031458239,8.64217027072576,9.1102932478366,8.97283284475893,8.41362470093752,8.61159118928444,9.3376821928984,8.22954378951676,8.50419052679497,9.0370755178631,8.45281684843819,10.3824938182823,7.79496768913462,8.72073628133291,10.7098009097002
"LDHB - mRNA",8.83300973390279,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,8.73359402977088,10.1291421218776,9.75652089683751,9.99805304775912,8.30849582482043,8.06235334911841,9.41164545744719,7.41900668158606,7.67296350120489,8.79361075112827,8.35688123302968,8.64217027072576,8.50023964923526,9.32257886729587,8.72347982405055,8.63280765276814,9.67775759335752,8.99702067975216,8.58930700070302,9.31009392476756,8.98333165888701,8.52147032828113,7.28800779477973,9.11152621205095,8.40477971839479
"SNAI1 - mRNA",8.774116037204,9.38104819932399,9.53648829368801,10.0079248248466,9.86590465222428,8.7570530111226,8.05992763522816,8.17532035287023,7.86207543696815,8.95619418468182,7.93682248616989,9.07907000138322,9.14483185283207,9.20545858595935,9.18480165946758,8.81985319893181,8.50890373345576,9.2857353504717,8.97283284475893,8.80594200585865,8.31613524976303,7.68925325777884,8.12685805104041,8.28046891840238,7.56759023456188,8.98333165888701,8.60720014349169,9.17963153854065,7.75244517079563,8.66079350187985
"BNIP3 - mRNA",8.27661643394809,9.73468522966829,9.39493429519643,10.1041400897092,9.62623429194934,8.70974717563307,8.40873140588282,8.4232477620353,8.0307572094654,8.86103700649945,8.17783070977035,8.49410750066207,8.88849197284901,9.43546412727673,9.11080092615341,8.87534833856961,8.94702492430133,9.1102932478366,8.92083812082279,9.0283345681062,8.60086468082249,8.10429080948286,8.13863538007123,8.37938405119188,7.86715051642078,8.48452582354225,8.63468090050564,9.27848490719499,7.96584865050817,8.51269501867519
"CDKN2A - mRNA",8.27661643394809,9.75544375255758,9.94476861855781,10.3265324889499,10.4943689112706,9.16040865069951,8.32911431474417,8.4232477620353,8.0307572094654,9.61105869101828,8.76279300456955,9.55300123068822,9.24212900343611,9.48031848284741,9.79361075112827,9.16979566404576,8.55470746242538,9.44213673123954,8.97283284475893,9.28809371308399,8.75394406526758,7.79943618077178,8.31506191983397,8.46377616901614,7.45211301714194,8.76831882334836,8.29907774859379,9.63999299761516,8.22888326408076,8.99440350599438
"DDB2 - mRNA",8.99650857340716,10.0355517250647,10.1259382370459,10.9356686479466,10.4161018077915,9.27859011296863,8.52047984909768,8.576199796978,8.41309058795071,9.51012983794034,8.23227833436928,9.2549199008023,9.52592195956672,9.66002451778356,9.86287350787346,9.62316124452273,8.91225947733689,9.68694041556921,9.42877815031295,9.15957896972327,8.96104027267632,8.10429080948286,8.59700022613862,8.80524447784005,7.86715051642078,9.04842667189221,9.17354691564511,9.91659713220928,8.38538756154466,9.43937830323575
"TFRC - mRNA",7.88959336058232,8.2111232151913,8.22128619734537,8.23740663198403,8.05854984844434,8.12478472659764,8.45634952739297,8.41372501786423,8.33466392004493,7.92516721455101,8.33537195239833,8.07907000138322,7.96649453900483,8.11353615844788,9.14827563063534,9.0300710007451,8.76416080047201,8.31840144351745,9.17502165596875,8.87305626149766,9.0893644835998,9.90673016200548,9.12685804845983,8.64096916810936,8.11507795181239,8.66140354333347,8.86095671007929,7.82143992033857,9.02762493385795,8.02205975920189
"GOT2 - mRNA",7.18915358920855,8.32660051050454,8.70191198604289,8.42296223865443,8.22847479276636,7.61021158182585,8.10842618812686,8.17532035287023,8.11763470230837,8.89345837408126,7.93682248616989,8.13153751101921,8.47345456489588,8.18753678078254,8.07232677664615,8.31735285148549,7.94702492430133,8.25231230263246,8.10685012136424,8.66155207209306,8.54600280331138,8.9927441524856,8.43452553411635,8.80524447784005,8.39071240800008,8.66140354333347,8.19216260598414,8.74051987662916,8.35816611010836,8.33298892304269
"TWF1 - mRNA",8.35907860602919,8.43351565600107,8.49546104141786,7.73490628069885,7.92362027971155,7.7570530111226,8.57326729973337,8.62653142315175,8.64526405267136,8.48906811248833,7.47739080791864,7.71649995858118,7.52592195956672,8.11353615844788,7.95033625242518,7.90231530697922,8.19856359050694,8.08520222964157,8.15265388162591,8.5565825288937,8.40514029280803,8.86679143119046,8.47224522640336,8.42219710108507,7.51100664687601,7.76831882665698,7.76474142392258,8.24953348254712,8.55081123971067,8.28813470190486
"STAT1 - mRNA",9.18915358673703,8.14972262396051,8.57638112285619,8.44762419741955,8.25119488444841,8.97278158204115,8.98397881275192,9.14686400152422,9.09402209662387,7.92516721455101,8.12124703234306,8.64611061851461,7.88849197284901,8.42019745534219,8.32230503087267,8.10162420915895,8.36206246888905,9.00719977150156,7.79651012006964,7.95794514185333,7.92709297852445,7.81000544096471,8.10301128809736,8.37938405119188,7.72513135813585,8.0053579627984,9.7141153154335,7.4995118685029,7.94770140562207,9.75170207909883
"TYMP - mRNA",9.14334989002826,7.71362354770205,8.00447475156886,7.69426424918244,7.86590465222428,9.05078412230333,8.86198829013313,9.06406365190671,8.80504457429359,7.57153034896966,8.00095281079005,8.53363593276145,6.71856705512193,7.99489168233889,8.07232677664615,7.14742792240705,8.19856359050694,8.08520222964157,8.15265388162591,7.73555272051688,7.92709297852445,7.79943618077178,7.73527969723434,7.94685899070366,8.0370755178631,7.76831882665698,9.2990777463036,7.62504270474468,7.68831477255355,8.85783049615152
"CDKN1A - mRNA",8.43708112450555,8.14972262396051,8.57638112285619,8.7548058640197,9.09668491686464,8.29470978431996,9.23941148227285,9.20322625836536,9.0554193114795,7.98656772879542,8.06235334911841,8.36857666513796,7.96649453900483,7.99489168233889,8.14827563317789,8.57369259948627,8.41268845411321,8.05966726389232,8.5620448683412,8.71130515155303,7.39275645051219,7.78878901567604,7.97748047851984,8.28974663586198,7.51100664687601,8.38722864775976,8.29907774859379,8.1486047437334,8.4121050103139,8.63714235003431
"VEGFA - mRNA",7.99650857058257,8.08559240037893,8.28687441285515,8.58734913635699,8.05854984844434,8.22912142271258,9.33422117524932,9.33013839238581,9.21717038451637,7.64953281786005,8.12124703234306,7.64611062211572,7.41900668158606,7.95307139586266,8.64423323573679,7.60685948183754,7.72463240162888,7.7441653684715,8.05954448804976,7.93718655931854,8.34213056523597,8.30443042641688,8.09093860642141,7.43060925747148,7.56759023456188,7.66140353977033,7.49172283913228,7.71250548538029,7.68831477255355,7.39070440414345
"BCL2L1 - mRNA",8.5110817117769,8.62616075219971,8.37998378635502,8.29290166826905,8.3804779747178,8.29470978431996,8.64899462176469,8.7900301498288,8.75171505015945,7.4016053133979,7.38428141054345,7.49410750066207,7.80602984882918,8.64696833058962,8.07232677664615,8.23489064872653,7.94702492430133,7.50023964923526,8.10685012136424,8.01848664706747,7.66405855253669,7.94079210781628,7.65555233927005,8.14389588043372,7.91154459084022,8.28289201735332,7.60720014719124,7.53193336904989,7.66628848494748,7.86802616484574
"GLUD1 - mRNA",8.18915358426551,8.27001694708619,8.11694958925612,7.99124597867783,7.86590465222428,8.05078412502363,8.7287217613701,8.46072247435064,8.58555778264405,8.04546155914493,7.38428141054345,7.49410750066207,7.96649453900483,7.86560859063505,7.86287350632409,7.73239031458239,7.36206247327378,7.71174383954721,7.61208557400411,8.13244293580822,7.64330001742061,8.12136419665131,8.11498393774261,8.08116011567807,7.56759023456188,8.38722864775976,7.76474142392258,7.97081752900679,8.22888326408076,8.00368140172393
"KIR2DL3 - mRNA",7.64858524559266,8.58035702925422,8.22128619734537,8.11957014779286,8.05854984844434,6.80285661362027,6.71312489168131,6.6671734932286,6.0603016059985,8.61105869101828,7.28474574501116,7.78361426044629,8.3035295193128,8.29187342114821,7.03279858695618,8.10162420915895,8.19856359050694,8.50023964923526,7.7072427384811,8.86208508552021,7.99420719108816,8.53852180983768,8.59700022613862,9.16421582083439,8.07660392213048,8.35328132517239,8.19216260598414,8.57923904459993,8.24383352047615,8.52563394953421
"ULBP2 - mRNA",7.18915358920855,7.79608566398358,7.5499089634272,8.02441296438544,8.25119488444841,6.7097471825245,6.744151809537,6.79003014656959,6.24316554630104,8.10204489764652,8.00095281079005,7.84774450677084,7.71856705512193,7.72358960474639,7.38643550037423,7.79128403077242,8.07826940547118,7.46176556775313,7.47458194406728,8.01848664706747,7.3421305696817,7.8204977372643,7.9643051682302,8.13362749295422,7.39071240800008,7.54592634907391,7.81365106066764,8.1486047437334,7.50190167292427,7.55116915235296
"LILRA1 - mRNA",7.774116037204,8.14972262396051,8.15257327641515,8.29290166826905,8.29558902819915,7.32641865563289,6.18956293304606,6.53287226510026,6.52327348229871,8.68700750338138,8.38428141054345,8.13153751101921,7.96649453900483,8.18753678078254,7.2551908320093,8.27671084863873,8.07826940547118,7.89616839058949,7.47458194406728,7.93718655931854,7.68452263075134,7.92142665456717,7.65555233927005,8.17426953638425,7.56759023456188,8.68888427363774,8.03604345085738,8.6250427010906,8.07018548988009,8.30324158626641
"FBP1 - mRNA",9.14334989002826,8.91156287491241,8.25445299678851,8.54226107214794,8.40094195740366,9.79154129723839,7.3594879191144,7.32506741663417,7.26023919253098,8.35580165351043,7.56485375727068,9.43270704298116,8.88849197284901,7.62049604858206,8.61776091506658,8.14742791731897,7.87663543914425,7.67857703466831,8.76736372408571,7.15059021979572,8.02662862955034,7.61886401586473,7.19612076266973,7.37938405119188,8.39071240800008,8.84360693029614,8.68812019490665,8.21000524200663,9.30213211641749,8.22607375319733
"PVRIG - mRNA",7.35907860602919,9.05242543158419,8.43887762178285,8.8129087894922,8.31728397752125,7.55774414114803,6.8334191204488,6.81917659235191,6.73349121388056,8.5308882669596,8.60667392686971,8.60958479318199,7.80602984882918,8.0355336010123,7.90726762474354,7.84786759045008,8.68399048222043,7.89616839058949,7.93401357597794,7.78285847198025,7.83855630114656,7.4668608702275,7.05410181716721,7.63370113095812,7.7740411120293,8.35328132517239,8.36619199421211,8.10616929598476,7.42528032475232,7.60092217477331
"MYD88 - mRNA",7.64858524559266,8.38104820148769,7.9243043776838,8.26542089893891,8.08408495659579,7.93213967080627,7.41838165068797,7.56763769698669,7.43581076113361,7.57153034896966,8.47739080791864,8.60958479318199,7.88849197284901,7.95307139586266,7.86287350632409,7.39535539728831,8.19856359050694,7.8372747055733,7.47458194406728,7.50108748917859,6.85670363225737,6.84125633444783,6.71968272428761,7.15409154689341,7.62203796365879,8.17041717204264,8.22868851024917,7.53193336904989,7.66628848494748,7.69555901883203
"ITPK1 - mRNA",6.5110817117769,8.48414176533172,8.04294882620067,8.02441296438544,8.05854984844434,6.97278157916972,7.18956293304606,7.30460337936874,7.17277617365251,8.44599941310606,8.17783070977035,8.18216351366361,8.24212900343611,7.91000273642341,7.4478359099517,8.00540884735414,7.80263488419348,7.71174383954721,7.64450698696837,7.85102993793681,7.36766549846678,6.97875994169678,7.40557413866893,7.75923203544064,7.51100664687601,8.13088881634118,7.99422333384573,8.22990473677437,7.92932280318771,7.80574190557156
"TMUB2 - mRNA",7.5110817117769,7.87408823508811,8.08042362208855,8.23740663198403,7.83615748302565,7.05078412502363,7.14375920963854,7.0579633016576,7.27711298275366,7.86103700960213,7.93682248616989,7.64611062211572,7.88849197284901,7.99489168233889,7.76976411060906,7.95478275142539,7.80263488419348,7.8372747055733,7.64450698696837,7.5565825288937,7.36766549846678,7.0157541336867,7.36604574990096,7.60425741754681,7.82134677896935,8.04842667461696,7.7141153188688,8.16936323287035,7.4512756441992,7.71827909011246
"ERCC3 - mRNA",7.99650857058257,8.14972262396051,7.9243043776838,8.26542089893891,8.49912228973528,7.61021158182585,7.43749048706304,7.24140947442711,7.49470436053007,8.10204489764652,7.79931897890579,8.36857666513796,8.17799854797881,7.56604834351135,7.95033625242518,7.95478275142539,8.07826940547118,7.67857703466831,7.61208557400411,7.87305626149766,7.51205550888381,7.41241310847463,7.57116020172146,7.60425741754681,7.7740411120293,8.04842667461696,7.60720014719124,8.08447429215621,7.37184111013381,7.39070440414345
"CCL18 - mRNA",7.5110817117769,8.75544375088844,9.3185833537216,9.65244412947021,9.3804779747178,8.22912142271258,7.39901631203077,7.56763769698669,7.29379169621012,8.89345837408126,8.28474574963729,8.4116454553289,8.41900668158606,8.5935290397128,8.72085451149583,8.05431847459725,7.80263488419348,8.11029325044698,8.41944036438153,7.93718655931854,7.83855630114656,7.61886401586473,7.75070964553733,7.87470927796011,6.95461327043656,8.66140354333347,7.7141153188688,8.79496769238269,7.75244517079563,8.21013221323635
"HLA-DOA - mRNA",7.88959336058232,8.98371271576351,8.7950214144692,8.77443459381874,9.12155960217021,8.29470978431996,7.66529633847143,7.81917659873996,7.45076107743045,8.10204489764652,8.38428141054345,8.36857666513796,8.24212900343611,8.53803401302094,8.11080092615341,7.39535539728831,7.55470746242538,8.3397751277407,7.85309354361047,7.68664317885846,7.3421305696817,6.66616971028183,7.32540387434484,7.23316324321751,7.11507795181239,7.9151602655762,7.90676043459948,7.9469708624822,6.3443603971623,7.82680351670741
"FOSL1 - mRNA",7.99650857058257,8.79608566722914,8.74921771490268,8.77443459381874,8.90940631853783,7.66083756018108,8.21193076219184,7.79003015308801,7.42070375971994,8.04546155914493,7.47739080791864,7.84774450677084,8.17799854797881,8.35746166620819,8.25519083673118,7.90231530697922,7.46159809946961,8.27468000545789,7.85309354361047,7.82866210079287,7.96104027557121,7.67775759159603,7.30464515656742,7.7322649522835,7.0370755178631,8.0053579627984,7.95115449347586,8.24953348254712,7.85337399954171,7.92773248832897
"RSAD2 - mRNA",7.88959336058232,8.98371271576351,8.70191198604289,9.02441296715592,8.82105058159746,7.7570530111226,7.54711493621781,7.21971447237991,6.98013121284049,7.92516721455101,8.17783070977035,7.64611062211572,8.04049508699455,8.29187342114821,8.28913830844397,7.73239031458239,8.07826940547118,7.92473758244759,7.76736372739653,7.89475134931346,8.01050898358176,7.38439868365162,7.49990159316595,8.14389588043372,6.18907861130815,7.71585131191559,7.7141153188688,8.26889888838055,7.34436038828458,8.05812900232976
"CXCL1 - mRNA",7.774116037204,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,7.8903194845139,8.76699185825862,8.76028280202124,8.50905963418247,6.98656773448367,8.12124703234306,8.71649995858118,7.04049508699455,7.32504023570225,10.0916921843424,10.4512085963883,9.76416080047201,8.11029325044698,11.2611782937321,10.5768549726087,10.761187705616,9.38085828294242,11.2622100008513,9.7288583318495,7.39071240800008,6.86785446712164,6.99422333950387,6.99427651370315,6.39880813515202,7.14454374030008
