"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ADM-mRNA",-0.798,0.529,-1.83,0.238,0.575,0.28,1.18,0.143,1,"lm.nb","NM_001124.2:1413"
"MET-mRNA",-0.742,0.492,-1.71,0.223,0.598,0.306,1.17,0.144,1,"lm.nb","NM_000245.2:1488"
"NRAS-mRNA",-0.48,0.321,-1.11,0.149,0.717,0.464,1.11,0.147,1,"lm.nb","NM_002524.4:2168"
"IL10RA-mRNA",-0.467,0.314,-1.08,0.15,0.724,0.472,1.11,0.15,1,"lm.nb","NM_001558.2:150"
"MMP9-mRNA",0.689,0.476,-0.243,1.62,1.61,0.845,3.08,0.159,1,"lm.nb","NM_004994.2:2011"
"MYD88-mRNA",-0.397,0.279,-0.944,0.15,0.759,0.52,1.11,0.167,1,"lm.nb","NM_002468.3:2145"
"CDKN2A-mRNA",0.492,0.36,-0.213,1.2,1.41,0.863,2.29,0.183,1,"lm.nb","NM_000077.4:1052"
"FBP1-mRNA",-0.587,0.432,-1.43,0.259,0.666,0.37,1.2,0.186,1,"lm.nb","NM_001127628.1:488"
"CCL20-mRNA",1.28,1.02,-0.714,3.28,2.43,0.61,9.7,0.219,1,"lm.nb","NM_001130046.1:295"
"SNAI1-mRNA",0.383,0.307,-0.219,0.986,1.3,0.859,1.98,0.223,1,"lm.nb","NM_005985.3:960"
"CDH2-mRNA",0.635,0.522,-0.388,1.66,1.55,0.764,3.16,0.235,1,"lm.nb","NM_001792.3:3067"
"RPL7A-mRNA",-1.71,1.43,-4.51,1.09,0.306,0.044,2.14,0.243,1,"loglinear","NM_000972.2:657"
"NDUFA4L2-mRNA",-0.87,0.758,-2.35,0.615,0.547,0.195,1.53,0.261,1,"lm.nb","NM_020142.3:563"
"VTCN1-mRNA",0.367,0.337,-0.293,1.03,1.29,0.816,2.04,0.286,1,"lm.nb","NM_001253849.1:871"
"NOTCH2-mRNA",-0.408,0.39,-1.17,0.356,0.754,0.444,1.28,0.305,1,"lm.nb","NM_024408.3:2842"
"TPI1-mRNA",-1.41,1.41,-4.17,1.36,0.377,0.0554,2.57,0.329,1,"loglinear","NM_000365.5:153"
"CDH1-mRNA",-0.646,0.649,-1.92,0.626,0.639,0.265,1.54,0.329,1,"lm.nb","NM_004360.3:379"
"CXCL8-mRNA",-1.74,1.8,-5.26,1.78,0.299,0.026,3.45,0.342,1,"loglinear","NM_000584.3:170"
"PTPN11-mRNA",0.396,0.42,-0.427,1.22,1.32,0.744,2.33,0.354,1,"lm.nb","NM_001330437.1:228"
"TWF1-mRNA",-0.329,0.381,-1.08,0.418,0.796,0.474,1.34,0.396,1,"lm.nb","NM_002822.4:1574"
"BBS1-mRNA",0.352,0.411,-0.454,1.16,1.28,0.73,2.23,0.4,1,"lm.nb","NM_024649.4:82"
"ENO1-mRNA",-0.63,0.745,-2.09,0.83,0.646,0.235,1.78,0.405,1,"lm.nb","NM_001428.3:782"
"ICAM3-mRNA",0.219,0.26,-0.29,0.729,1.16,0.818,1.66,0.406,1,"lm.nb","NM_002162.3:1225"
"EIF4EBP1-mRNA",0.578,0.692,-0.778,1.93,1.49,0.583,3.82,0.411,1,"lm.nb","NM_004095.3:673"
"PKM-mRNA",-1.15,1.41,-3.91,1.61,0.452,0.0666,3.06,0.423,1,"loglinear","NM_001206796.2:1533"
"LAMC2-mRNA",0.422,0.548,-0.653,1.5,1.34,0.636,2.82,0.448,1,"lm.nb","NM_005562.2:1027"
"CXCL2-mRNA",-0.687,0.899,-2.45,1.07,0.621,0.183,2.11,0.452,1,"lm.nb","NM_002089.1:435"
"KRAS-mRNA",0.272,0.369,-0.452,0.996,1.21,0.731,1.99,0.468,1,"lm.nb","NM_004985.3:1790"
"CD44-mRNA",0.594,0.815,-1,2.19,1.51,0.499,4.57,0.472,1,"lm.nb","NM_001001392.1:566"
"HLA-DOA-mRNA",-0.182,0.283,-0.737,0.374,0.882,0.6,1.3,0.527,1,"lm.nb","NM_002119.3:3075"
"CD3D-mRNA",-0.251,0.419,-1.07,0.571,0.84,0.475,1.49,0.554,1,"lm.nb","NM_000732.4:127"
"FOSL1-mRNA",0.133,0.224,-0.305,0.571,1.1,0.81,1.49,0.556,1,"lm.nb","NM_005438.3:1320"
"ALDOA-mRNA",-0.39,0.662,-1.69,0.909,0.763,0.31,1.88,0.562,1,"lm.nb","NM_000034.3:2049"
"LDHA-mRNA",-0.433,0.754,-1.91,1.05,0.741,0.266,2.06,0.571,1,"lm.nb","NM_001135239.1:1053"
"GPSM3-mRNA",-0.208,0.372,-0.938,0.521,0.866,0.522,1.44,0.58,1,"lm.nb","NM_001276501.1:915"
"DPP4-mRNA",-0.361,0.654,-1.64,0.921,0.779,0.32,1.89,0.586,1,"lm.nb","NM_001935.3:1861"
"TYMS-mRNA",0.366,0.668,-0.944,1.68,1.29,0.52,3.19,0.589,1,"lm.nb","NM_001071.1:395"
"IRF2-mRNA",-0.126,0.232,-0.58,0.329,0.917,0.669,1.26,0.593,1,"lm.nb","NM_002199.3:1624"
"ERO1A-mRNA",-0.33,0.68,-1.66,1,0.796,0.316,2,0.632,1,"lm.nb","NM_014584.2:963"
"MGMT-mRNA",-0.135,0.338,-0.798,0.528,0.911,0.575,1.44,0.694,1,"lm.nb","NM_002412.3:323"
"LAMB3-mRNA",0.175,0.661,-1.12,1.47,1.13,0.46,2.77,0.794,1,"lm.nb","NM_000228.2:3350"
"P4HA1-mRNA",0.105,0.455,-0.787,0.998,1.08,0.579,2,0.819,1,"lm.nb","NM_000917.3:805"
"TPSAB1/B2-mRNA",0.117,0.548,-0.958,1.19,1.08,0.515,2.28,0.833,1,"lm.nb","NM_003294.3:556"
"NFKB2-mRNA",0.0647,0.316,-0.555,0.685,1.05,0.681,1.61,0.839,1,"lm.nb","NM_001077494.3:1986"
"CCL2-mRNA",-0.183,0.917,-1.98,1.62,0.881,0.253,3.06,0.844,1,"lm.nb","NM_002982.3:303"
"API5-mRNA",-0.13,0.718,-1.54,1.28,0.914,0.344,2.43,0.858,1,"lm.nb","NM_001142930.1:1552"
"GLS-mRNA",-0.0441,0.425,-0.877,0.789,0.97,0.544,1.73,0.918,1,"lm.nb","NM_014905.4:165"
"SIRPA-mRNA",-0.0395,0.459,-0.939,0.86,0.973,0.522,1.81,0.932,1,"lm.nb","NM_001040023.1:3355"
"MFNG-mRNA",-0.021,0.353,-0.714,0.672,0.986,0.61,1.59,0.953,1,"lm.nb","NM_002405.3:1768"
"DNMT1-mRNA",0.00595,0.63,-1.23,1.24,1,0.427,2.36,0.993,1,"lm.nb","NM_001130823.2:2500"
"PLOD2-mRNA",-0.0167,2.18,-4.29,4.26,0.989,0.0512,19.1,0.994,1,"loglinear","NM_182943.2:2588"
