"","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"REN - mRNA",3.92780564260213,3.88452124220172,4.32661586588887,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.59585343106833,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"GMIP - mRNA",3.92780564260213,3.88452124220172,4.40461849141763,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"FASLG - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.98330101275111,4.23441678277783,4.09456275091373
"RELN - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.06423980559348,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"CST2 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"GZMB - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"CSF3 - mRNA",3.92780564260213,3.88452124220172,4.80054714050218,4.14670197536785,4.12918631191633,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,4.07076377888058,4.23441678277783,4.09456275091373
"CD79A - mRNA",3.92780564260213,3.88452124220172,4.54900834885453,4.0231318395412,4.12918631191633,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,4.08008899983569,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"TWIST2 - mRNA",3.92780564260213,3.88452124220172,4.80054714050218,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,4.00208634093009,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"CBLC - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.62063320931245,3.93943675951073,5.15307342849817,4.27467830509831,5.42907299363566,3.84415422471054,4.41712393024707,4.5322015515829,3.94271801654841,5.15773226286527,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"INHBA - mRNA",3.92780564260213,3.88452124220172,4.54900834885453,4.06423980559348,3.93943675951073,4.96042835055578,4.27467830509831,4.38219183199292,3.84415422471054,3.91962420721993,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.8901915961972,4.23441678277783,4.09456275091373
"SFRP4 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,4.96042835055578,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"COMP - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.06423980559348,3.93943675951073,5.32299853806237,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"SHC2 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,5.15307342849817,4.27467830509831,4.38219183199292,3.84415422471054,3.83216139576162,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"HLA-DRB5 - mRNA",3.92780564260213,3.88452124220172,4.6161226399582,4.0231318395412,3.93943675951073,5.61250510611104,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.30980911985455,3.98212829128127,4.52546405544876,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"TNFRSF17 - mRNA",3.92780564260213,3.88452124220172,4.40461849141763,4.0231318395412,4.21664925501079,5.24053632698951,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.59585343106833,4.2110489614867,4.30522914412574,4.23441678277783,4.09456275091373
"SLC11A1 - mRNA",3.92780564260213,3.88452124220172,4.74165347301883,4.06423980559348,3.93943675951073,5.24053632698951,4.27467830509831,4.38219183199292,3.84415422471054,4.35572326814188,4.10960812001167,4.06013076003879,4.28387185478812,4.2110489614867,4.37561840946753,4.23441678277783,4.09456275091373
"CDC25C - mRNA",3.92780564260213,3.88452124220172,4.47861904561481,4.0231318395412,3.93943675951073,5.24053632698951,4.27467830509831,4.38219183199292,3.84415422471054,4.47601759769149,4.72484669187665,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"THY1 - mRNA",6.54259207549129,3.88452124220172,5.01467196370624,4.43620868882231,4.12918631191633,5.85351317159047,5.6049890887815,4.38219183199292,5.08859673573013,4.35572326814188,4.94723898851038,4.56709070071005,5.11042659793206,4.47120768919727,3.8901915961972,4.33798141158456,4.09456275091373
"HERC6 - mRNA",6.1275545194672,3.88452124220172,4.16255817824579,4.06423980559348,3.93943675951073,5.15307342849817,5.66638948153136,5.23642798266487,4.67355936364789,5.3240145978861,5.34933753319204,4.06013076003879,4.28387185478812,4.67765859268228,4.44273268114378,4.23441678277783,4.09456275091373
"MYCT1 - mRNA",6.1275545194672,3.88452124220172,4.32661586588887,4.50033896539574,4.52150377002877,5.79692957934902,5.6049890887815,5.3676725741793,3.84415422471054,3.83216139576162,4.10960812001167,4.13413122040004,4.28387185478812,4.2110489614867,3.98330101275111,4.28139781188165,4.09456275091373
"HLA-DQA2 - mRNA",5.95762948965226,3.88452124220172,4.32661586588887,4.0231318395412,3.93943675951073,5.05996408897982,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"PDGFRB - mRNA",6.20555702386624,3.88452124220172,4.16255817824579,4.06423980559348,3.93943675951073,5.54539086672292,4.27467830509831,4.38219183199292,3.84415422471054,4.63951639017129,4.10960812001167,4.2045205169912,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"RASGRF1 - mRNA",5.95762948965226,3.88452124220172,5.32661586588887,5.02117112290229,5.58861801299887,5.24053632698951,4.27467830509831,5.3676725741793,3.84415422471054,4.53260110611095,4.10960812001167,3.94271801654841,4.28387185478812,4.94069302670178,4.30522914412574,4.44489647792346,4.20752065389072
"CD2 - mRNA",6.04509238962028,3.88452124220172,5.15669091837212,4.78413190180102,4.52150377002877,5.24053632698951,4.27467830509831,4.38219183199292,3.84415422471054,4.58704899171481,4.66344607130651,4.2716348337825,4.28387185478812,4.47120768919727,4.30522914412574,4.68193568526083,4.16021504062683
"P2RY13 - mRNA",6.04509238962028,3.88452124220172,4.6161226399582,4.50033896539574,4.88407378659805,5.54539086672292,4.27467830509831,4.38219183199292,3.84415422471054,4.08008899983569,4.10960812001167,3.94271801654841,4.28387185478812,4.52565554308167,3.98330101275111,4.23441678277783,4.09456275091373
"CD84 - mRNA",6.1275545194672,3.88452124220172,4.54900834885453,4.6772167985786,4.88407378659805,5.61250510611104,4.27467830509831,5.5989981811102,3.84415422471054,4.47601759769149,4.89477149933695,4.2045205169912,4.95842358337107,4.23019963108508,4.44273268114378,4.23441678277783,4.64564183321522
"DKK1 - mRNA",6.20555702386624,3.88452124220172,4.74165347301883,4.36909435016125,3.93943675951073,4.96042835055578,4.27467830509831,5.48796682466903,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.72709793840736,4.2110489614867,4.44273268114378,4.23441678277783,4.09456275091373
"IFNG - mRNA",3.92780564260213,3.88452124220172,5.28597389371737,4.14670197536785,4.2991112858769,5.85351317159047,4.27467830509831,4.38219183199292,5.67355936364789,5.50458673971925,5.75459385712396,4.2716348337825,4.84739215033612,4.23019963108508,3.85032798039789,4.23441678277783,4.09456275091373
"IL18 - mRNA",3.92780564260213,5.29901374069462,4.16255817824579,4.29870515840826,4.71414878515574,4.96042835055578,4.27467830509831,4.38219183199292,4.76666872564051,5.08008899983569,5.18427819147953,3.94271801654841,4.28387185478812,4.23019963108508,3.8901915961972,4.68193568526083,4.09456275091373
"CD48 - mRNA",3.92780564260213,5.11844146085098,4.16255817824579,4.0231318395412,4.52150377002877,5.79692957934902,4.27467830509831,4.38219183199292,5.29023067248037,5.44687126261605,5.09408026219359,4.13413122040004,4.84739215033612,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"AREG - mRNA",3.92780564260213,3.88452124220172,4.54900834885453,4.0231318395412,3.93943675951073,5.15307342849817,4.27467830509831,5.3676725741793,5.29023067248037,5.08008899983569,4.72484669187665,3.94271801654841,4.84739215033612,4.2110489614867,3.85032798039789,4.33798141158456,4.09456275091373
"HSD11B1 - mRNA",3.92780564260213,3.88452124220172,4.40461849141763,4.0231318395412,4.58861798301878,5.40100095901364,4.27467830509831,5.48796682466903,4.85413152948008,4.63951639017129,4.38781158974131,3.94271801654841,4.28387185478812,4.2110489614867,3.8901915961972,4.23441678277783,4.09456275091373
"FSTL3 - mRNA",3.92780564260213,3.88452124220172,4.32661586588887,4.50033896539574,4.21664925501079,5.40100095901364,4.27467830509831,4.38219183199292,5.46710836224531,5.08008899983569,5.46181213328202,4.06013076003879,4.72709793840736,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"MAP3K12 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.22470449594284,3.93943675951073,5.24053632698951,4.27467830509831,4.38219183199292,5.22610036355002,4.96144441560067,4.94723898851038,4.2716348337825,4.28387185478812,4.2110489614867,4.44273268114378,4.23441678277783,4.11130538171448
"COL6A3 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,5.54539086672292,4.27467830509831,4.38219183199292,4.85413152948008,4.87655554888437,4.78374024126317,4.2045205169912,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"GZMA - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.06423980559348,3.93943675951073,5.24053632698951,4.27467830509831,4.38219183199292,4.93659365641804,4.63951639017129,4.78374024126317,3.94271801654841,4.72709793840736,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"KLRD1 - mRNA",3.92780564260213,3.88452124220172,5.58295566931197,4.36909435016125,5.17358044376649,4.96042835055578,5.54085866917313,4.38219183199292,3.84415422471054,4.63951639017129,4.66344607130651,3.94271801654841,4.28387185478812,4.94069302670178,3.8901915961972,4.33798141158456,4.09456275091373
"OTOA - mRNA",3.92780564260213,3.88452124220172,4.96404590976258,4.14670197536785,4.21664925501079,5.24053632698951,5.6049890887815,4.38219183199292,4.93659365641804,3.91962420721993,4.99786508093077,4.56709070071005,4.78849852392578,4.2110489614867,4.44273268114378,4.23441678277783,4.09456275091373
"ITGAM - mRNA",3.92780564260213,3.88452124220172,4.74165347301883,4.22470449594284,4.12918631191633,5.79692957934902,5.88878198808802,5.30354219070007,3.84415422471054,4.22447885230468,4.10960812001167,3.94271801654841,4.28387185478812,4.29432990166121,3.98330101275111,4.23441678277783,4.09456275091373
"NID2 - mRNA",3.92780564260213,3.88452124220172,4.32661586588887,4.0231318395412,4.12918631191633,5.54539086672292,5.72528324898752,4.38219183199292,3.84415422471054,4.22447885230468,4.10960812001167,4.2716348337825,4.78849852392578,4.23019963108508,3.85032798039789,4.23441678277783,4.09456275091373
"TNFRSF1B - mRNA",3.92780564260213,3.88452124220172,4.68025283926029,4.0231318395412,3.93943675951073,3.79098780053728,5.4737445131578,5.3676725741793,5.41052485605681,4.96144441560067,4.5322015515829,3.94271801654841,4.78849852392578,4.29432990166121,3.85032798039789,4.23441678277783,4.16021504062683
"MRC1 - mRNA",3.92780564260213,3.88452124220172,4.68025283926029,4.0231318395412,4.82962598566383,5.54539086672292,5.54085866917313,5.3676725741793,5.41052485605681,5.04161469294942,4.10960812001167,4.45605944674843,5.41298931264586,5.01869545711284,4.44273268114378,4.63754162210693,4.92574972528493
"CSF3R - mRNA",6.54259207549129,6.01890581103194,5.80054714050218,5.33432892689219,5.2991112858769,3.79098780053728,4.27467830509831,5.6514655202132,4.67355936364789,4.29159302360736,4.89477149933695,4.2716348337825,5.0108908557719,4.41462422067134,4.56826345266013,4.23441678277783,4.09456275091373
"RORC - mRNA",6.20555702386624,5.91199061053829,5.47861904561481,4.93097325803811,5.17358044376649,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,4.08008899983569,4.10960812001167,4.2716348337825,5.0108908557719,4.98022134899074,4.44273268114378,4.44489647792346,4.53872662043157
"BTLA - mRNA",5.95762948965226,5.60386831175309,5.96404590976258,5.14670197536785,5.71414875767399,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,4.33576528161907,4.66296755641934,4.41462422067134,4.5068629608761,4.76682469204475,4.64564183321522
"PRF1 - mRNA",5.95762948965226,5.11844146085098,5.1108872444148,4.43620868882231,4.77304249179763,3.79098780053728,4.27467830509831,5.3676725741793,4.67355936364789,4.53260110611095,4.10960812001167,3.94271801654841,4.28387185478812,4.7707680076434,3.85032798039789,4.23441678277783,4.16021504062683
"CXCL16 - mRNA",6.34994704397683,5.21155088341217,4.85713064895757,4.97677699937876,4.82962598566383,5.15307342849817,4.27467830509831,5.702091601201,5.01459618329611,4.00208634093009,4.89477149933695,4.61955809452065,4.78849852392578,4.41462422067134,4.15322603446413,4.4955226172345,4.09456275091373
"CD274 - mRNA",5.95762948965226,5.73511273282084,4.85713064895757,5.06423984871425,4.93654117508448,5.54539086672292,4.27467830509831,5.30354219070007,3.84415422471054,3.91962420721993,4.30980911985455,3.94271801654841,4.66296755641934,4.81516213180624,3.8901915961972,4.28139781188165,4.09456275091373
"CCL14 - mRNA",6.54259207549129,5.21155088341217,4.6161226399582,4.29870515840826,4.45111448924894,5.40100095901364,4.27467830509831,5.23642798266487,3.84415422471054,4.22447885230468,4.10960812001167,4.61955809452065,4.28387185478812,4.2110489614867,3.85032798039789,4.68193568526083,4.09456275091373
"CCL19 - mRNA",6.20555702386624,5.91199061053829,5.15669091837212,4.0231318395412,3.93943675951073,3.79098780053728,5.78186663995269,5.3676725741793,3.84415422471054,3.91962420721993,4.10960812001167,3.94271801654841,5.20353606235663,4.57812284665382,4.5068629608761,4.23441678277783,4.09456275091373
"FGF18 - mRNA",6.27955759846801,6.0695318718268,4.91157841454386,4.50033896539574,4.45111448924894,5.67663537045233,5.4737445131578,4.38219183199292,3.84415422471054,4.35572326814188,4.59931565108024,4.2716348337825,4.90397566906507,4.47120768919727,4.15322603446413,4.44489647792346,4.09456275091373
"CD5 - mRNA",6.27955759846801,5.60386831175309,4.32661586588887,4.43620868882231,4.58861798301878,5.67663537045233,5.4737445131578,4.38219183199292,3.84415422471054,4.53260110611095,4.89477149933695,4.81220318713504,5.11042659793206,4.72496425836294,4.62715715144364,4.63754162210693,4.09456275091373
"LAMC2 - mRNA",6.27955759846801,5.29901374069462,4.6161226399582,4.36909435016125,4.98716735537387,5.90796099072935,5.88878198808802,5.3676725741793,3.84415422471054,4.29159302360736,4.10960812001167,3.98212829128127,4.52546405544876,4.52565554308167,3.85032798039789,4.28139781188165,4.09456275091373
"RIPK3 - mRNA",6.1275545194672,5.11844146085098,4.74165347301883,4.36909435016125,4.12918631191633,5.32299853806237,5.66638948153136,4.38219183199292,3.84415422471054,4.63951639017129,4.38781158974131,4.13413122040004,4.28387185478812,4.72496425836294,3.98330101275111,4.23441678277783,4.09456275091373
"GZMK - mRNA",6.04509238962028,5.38147588052836,4.32661586588887,4.22470449594284,4.52150377002877,5.15307342849817,4.27467830509831,4.38219183199292,3.84415422471054,4.58704899171481,4.84032384214897,4.06013076003879,4.72709793840736,4.94069302670178,4.23122847818512,4.23441678277783,4.09456275091373
"HNF1A - mRNA",6.20555702386624,5.53347897051252,4.68025283926029,4.50033896539574,4.37711375159312,4.96042835055578,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,4.51264294477764,4.66296755641934,4.67765859268228,4.07076377888058,4.54443221771545,4.09456275091373
"CD7 - mRNA",6.20555702386624,5.29901374069462,4.16255817824579,4.0231318395412,3.93943675951073,5.15307342849817,4.27467830509831,4.38219183199292,3.84415422471054,3.91962420721993,4.30980911985455,3.94271801654841,4.28387185478812,4.2110489614867,3.8901915961972,4.44489647792346,4.09456275091373
"TREM1 - mRNA",5.95762948965226,5.21155088341217,4.80054714050218,4.14670197536785,4.21664925501079,5.73803584812792,5.40335509274161,4.38219183199292,4.85413152948008,4.63951639017129,4.84032384214897,4.13413122040004,5.06151687792496,4.23019963108508,4.07076377888058,4.39242905557595,4.09456275091373
"SIGLEC1 - mRNA",6.20555702386624,5.21155088341217,4.80054714050218,4.50033896539574,4.52150377002877,5.47500158825867,4.27467830509831,4.38219183199292,4.93659365641804,4.41712393024707,4.10960812001167,3.94271801654841,4.78849852392578,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"BLK - mRNA",3.92780564260213,5.29901374069462,5.01467196370624,4.06423980559348,3.93943675951073,5.05996408897982,5.40335509274161,4.38219183199292,4.85413152948008,3.75774548029958,4.38781158974131,3.94271801654841,5.11042659793206,4.41462422067134,4.15322603446413,4.54443221771545,4.09456275091373
"ICOS - mRNA",3.92780564260213,5.73511273282084,5.06358154633597,4.22470449594284,4.71414878515574,5.47500158825867,5.98831769572701,4.38219183199292,4.67355936364789,4.53260110611095,4.66344607130651,3.94271801654841,4.84739215033612,4.2110489614867,3.85032798039789,4.59173805215509,4.09456275091373
"HLA-DOB - mRNA",3.92780564260213,5.11844146085098,4.6161226399582,4.62063320931245,3.93943675951073,5.15307342849817,5.4737445131578,4.38219183199292,3.84415422471054,4.08008899983569,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"SIGLEC8 - mRNA",3.92780564260213,5.45947840710184,5.01467196370624,4.36909435016125,4.65274827872707,5.32299853806237,5.4737445131578,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,4.2045205169912,4.72709793840736,4.47120768919727,3.85032798039789,4.23441678277783,4.09456275091373
"CD1C - mRNA",3.92780564260213,5.67098249143081,5.06358154633597,4.731664476089,4.77304249179763,5.40100095901364,5.72528324898752,4.38219183199292,3.84415422471054,4.41712393024707,4.72484669187665,4.33576528161907,4.78849852392578,4.35573052598063,4.23122847818512,4.23441678277783,4.09456275091373
"PDCD1LG2 - mRNA",3.92780564260213,5.60386831175309,4.32661586588887,4.0231318395412,4.45111448924894,5.90796099072935,4.27467830509831,4.38219183199292,3.84415422471054,4.63951639017129,4.10960812001167,4.33576528161907,4.28387185478812,4.29432990166121,3.85032798039789,4.23441678277783,4.09456275091373
"SELP - mRNA",3.92780564260213,5.53347897051252,5.01467196370624,4.0231318395412,4.2991112858769,5.54539086672292,4.27467830509831,5.30354219070007,3.84415422471054,4.15408955142472,4.10960812001167,4.13413122040004,4.90397566906507,4.2110489614867,4.62715715144364,4.23441678277783,4.09456275091373
"CNTFR - mRNA",3.92780564260213,5.11844146085098,4.85713064895757,4.83475803084301,5.03607683607231,5.67663537045233,4.27467830509831,4.38219183199292,3.84415422471054,4.35572326814188,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,4.30522914412574,4.39242905557595,4.09456275091373
"EPCAM - mRNA",3.92780564260213,5.11844146085098,4.80054714050218,4.93097325803811,5.03607683607231,5.54539086672292,4.27467830509831,4.38219183199292,4.93659365641804,4.29159302360736,4.10960812001167,4.2716348337825,4.59585343106833,4.67765859268228,4.15322603446413,4.39242905557595,4.09456275091373
"IHH - mRNA",3.92780564260213,5.29901374069462,4.91157841454386,4.43620868882231,4.58861798301878,5.90796099072935,4.27467830509831,4.38219183199292,4.67355936364789,4.00208634093009,4.38781158974131,3.94271801654841,4.66296755641934,4.2110489614867,3.85032798039789,4.28139781188165,4.09456275091373
"IL15 - mRNA",3.92780564260213,5.45947840710184,4.16255817824579,4.50033896539574,4.82962598566383,4.96042835055578,4.27467830509831,4.38219183199292,4.85413152948008,3.75774548029958,4.10960812001167,4.06013076003879,4.28387185478812,4.35573052598063,3.85032798039789,4.23441678277783,4.09456275091373
"IL4 - mRNA",3.92780564260213,5.38147588052836,4.96404590976258,4.14670197536785,4.45111448924894,4.96042835055578,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
