"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"PSMB8-mRNA",0.875,0.449,-0.0057,1.76,1.83,0.996,3.38,0.0624,1,"lm.nb","NM_004159.4:1080"
"CDH2-mRNA",-1.12,0.6,-2.3,0.0526,0.459,0.203,1.04,0.0724,1,"lm.nb","NM_001792.3:3067"
"LDHA-mRNA",-1.56,0.871,-3.27,0.145,0.339,0.104,1.11,0.0846,1,"lm.nb","NM_001135239.1:1053"
"GLS-mRNA",0.851,0.493,-0.114,1.82,1.8,0.924,3.52,0.0958,1,"lm.nb","NM_014905.4:165"
"HLA-E-mRNA",1.19,0.691,-0.167,2.54,2.28,0.891,5.82,0.0976,1,"lm.nb","NM_005516.5:1287"
"IL10RA-mRNA",0.634,0.377,-0.104,1.37,1.55,0.931,2.59,0.104,1,"lm.nb","NM_001558.2:150"
"GOT2-mRNA",-0.525,0.317,-1.15,0.0976,0.695,0.452,1.07,0.11,1,"lm.nb","NM_002080.3:674"
"ARG2-mRNA",-0.604,0.373,-1.33,0.127,0.658,0.397,1.09,0.118,1,"lm.nb","NM_001172.3:512"
"HIF1A-mRNA",-1.33,0.823,-2.95,0.282,0.397,0.13,1.22,0.118,1,"lm.nb","NM_181054.2:930"
"TYMP-mRNA",0.844,0.527,-0.189,1.88,1.79,0.878,3.67,0.121,1,"lm.nb","NM_001113755.2:645"
"THBS1-mRNA",-1.14,0.786,-2.68,0.403,0.455,0.156,1.32,0.16,1,"lm.nb","NM_003246.2:3816"
"ERO1A-mRNA",-1.13,0.788,-2.68,0.414,0.457,0.157,1.33,0.163,1,"lm.nb","NM_014584.2:963"
"TNFSF10-mRNA",1.17,0.821,-0.439,2.78,2.25,0.738,6.86,0.166,1,"lm.nb","NM_003810.3:155"
"CXCR2-mRNA",0.438,0.315,-0.179,1.05,1.35,0.883,2.08,0.176,1,"lm.nb","NM_001557.3:409"
"HLA-C-mRNA",0.785,0.575,-0.342,1.91,1.72,0.789,3.76,0.184,1,"lm.nb","NM_002117.4:898"
"LDHB-mRNA",-1.07,0.79,-2.62,0.474,0.475,0.162,1.39,0.186,1,"lm.nb","NM_001174097.2:1200"
"HLA-B-mRNA",1.19,0.893,-0.565,2.94,2.27,0.676,7.65,0.196,1,"lm.nb","NM_005514.6:1247"
"ENTPD1-mRNA",0.499,0.376,-0.238,1.24,1.41,0.848,2.36,0.196,1,"lm.nb","NM_001098175.1:1418"
"ATF3-mRNA",0.472,0.361,-0.235,1.18,1.39,0.85,2.26,0.202,1,"lm.nb","NM_001674.3:1487"
"EIF4EBP1-mRNA",-1.04,0.797,-2.6,0.525,0.487,0.165,1.44,0.205,1,"lm.nb","NM_004095.3:673"
"PTGS2-mRNA",-0.836,0.646,-2.1,0.43,0.56,0.233,1.35,0.207,1,"lm.nb","NM_000963.1:495"
"IL32-mRNA",1.08,0.843,-0.572,2.73,2.11,0.673,6.64,0.212,1,"lm.nb","NM_004221.4:358"
"IFI27-mRNA",1.1,0.863,-0.588,2.8,2.15,0.665,6.94,0.212,1,"lm.nb","NM_005532.3:390"
"API5-mRNA",-1.06,0.84,-2.71,0.584,0.479,0.153,1.5,0.217,1,"lm.nb","NM_001142930.1:1552"
"P4HA1-mRNA",-0.662,0.528,-1.7,0.373,0.632,0.308,1.3,0.221,1,"lm.nb","NM_000917.3:805"
"APOE-mRNA",0.825,0.673,-0.495,2.14,1.77,0.71,4.42,0.231,1,"lm.nb","NM_000041.2:96"
"CXCR4-mRNA",-1.01,0.836,-2.65,0.629,0.497,0.16,1.55,0.238,1,"lm.nb","NM_001008540.1:1060"
"DPP4-mRNA",-0.912,0.762,-2.4,0.581,0.532,0.189,1.5,0.242,1,"lm.nb","NM_001935.3:1861"
"TBX21-mRNA",-0.473,0.401,-1.26,0.313,0.72,0.418,1.24,0.249,1,"lm.nb","NM_013351.1:1380"
"VCAM1-mRNA",-0.809,0.698,-2.18,0.56,0.571,0.221,1.47,0.257,1,"lm.nb","NM_001078.3:2535"
"CDKN1A-mRNA",0.336,0.291,-0.234,0.906,1.26,0.85,1.87,0.258,1,"lm.nb","NM_000389.2:1975"
"EGR1-mRNA",0.458,0.401,-0.328,1.24,1.37,0.797,2.37,0.264,1,"lm.nb","NM_001964.2:2034"
"CCL2-mRNA",-1.15,1.06,-3.23,0.94,0.452,0.106,1.92,0.292,1,"lm.nb","NM_002982.3:303"
"ALDOA-mRNA",-0.81,0.766,-2.31,0.69,0.57,0.202,1.61,0.3,1,"lm.nb","NM_000034.3:2049"
"DNMT1-mRNA",0.771,0.734,-0.668,2.21,1.71,0.629,4.63,0.303,1,"lm.nb","NM_001130823.2:2500"
"HLA-A-mRNA",0.792,0.763,-0.704,2.29,1.73,0.614,4.88,0.309,1,"lm.nb","NM_002116.7:298"
"CD70-mRNA",-0.527,0.515,-1.54,0.483,0.694,0.345,1.4,0.316,1,"lm.nb","NM_001252.3:420"
"MMP9-mRNA",-0.559,0.55,-1.64,0.518,0.679,0.322,1.43,0.319,1,"lm.nb","NM_004994.2:2011"
"CDH1-mRNA",0.756,0.755,-0.724,2.24,1.69,0.605,4.71,0.326,1,"lm.nb","NM_004360.3:379"
"ADM-mRNA",-0.607,0.618,-1.82,0.604,0.656,0.283,1.52,0.335,1,"lm.nb","NM_001124.2:1413"
"LAMB3-mRNA",-0.747,0.763,-2.24,0.749,0.596,0.211,1.68,0.337,1,"lm.nb","NM_000228.2:3350"
"MET-mRNA",-0.559,0.572,-1.68,0.562,0.679,0.312,1.48,0.337,1,"lm.nb","NM_000245.2:1488"
"ENO1-mRNA",-0.834,0.861,-2.52,0.853,0.561,0.174,1.81,0.341,1,"lm.nb","NM_001428.3:782"
"ICAM1-mRNA",0.846,0.875,-0.869,2.56,1.8,0.547,5.9,0.343,1,"lm.nb","NM_000201.2:2253"
"RPL23-mRNA",-0.827,0.856,-2.51,0.851,0.564,0.176,1.8,0.343,1,"lm.nb","NM_000978.3:100"
"NEIL1-mRNA",0.426,0.446,-0.449,1.3,1.34,0.733,2.46,0.349,1,"lm.nb","NM_024608.2:1675"
"JAK1-mRNA",-0.508,0.537,-1.56,0.545,0.703,0.339,1.46,0.353,1,"lm.nb","NM_002227.1:285"
"FBP1-mRNA",-0.47,0.507,-1.46,0.523,0.722,0.362,1.44,0.362,1,"lm.nb","NM_001127628.1:488"
"NOTCH2-mRNA",-0.419,0.455,-1.31,0.474,0.748,0.403,1.39,0.366,1,"lm.nb","NM_024408.3:2842"
"MS4A1-mRNA",-0.33,0.369,-1.05,0.394,0.796,0.482,1.31,0.38,1,"lm.nb","NM_021950.3:161"
"NFKBIA-mRNA",-0.601,0.689,-1.95,0.749,0.659,0.258,1.68,0.391,1,"lm.nb","NM_020529.2:1361"
"EPCAM-mRNA",0.7,0.812,-0.892,2.29,1.62,0.539,4.89,0.397,1,"lm.nb","NM_002354.2:499"
"CD47-mRNA",0.679,0.821,-0.929,2.29,1.6,0.525,4.88,0.415,1,"lm.nb","NM_001777.3:901"
"TWF1-mRNA",-0.369,0.446,-1.24,0.505,0.774,0.423,1.42,0.415,1,"lm.nb","NM_002822.4:1574"
"OAS3-mRNA",0.267,0.327,-0.373,0.907,1.2,0.772,1.88,0.421,1,"lm.nb","NM_006187.3:2354"
"MAP3K7-mRNA",-0.279,0.344,-0.953,0.396,0.824,0.517,1.32,0.425,1,"lm.nb","NM_003188.3:1178"
"CCND1-mRNA",0.607,0.775,-0.912,2.13,1.52,0.531,4.37,0.441,1,"lm.nb","NM_053056.2:857"
"RRM2-mRNA",-0.568,0.73,-2,0.863,0.675,0.25,1.82,0.444,1,"lm.nb","NM_001034.1:490"
"CXCL8-mRNA",-1.6,2.08,-5.67,2.47,0.329,0.0196,5.53,0.447,1,"loglinear","NM_000584.3:170"
"ITPK1-mRNA",0.263,0.344,-0.412,0.938,1.2,0.752,1.92,0.452,1,"lm.nb","NM_001142593.2:958"
"STAT2-mRNA",0.407,0.539,-0.649,1.46,1.33,0.638,2.76,0.457,1,"lm.nb","NM_005419.2:1965"
"IRF2-mRNA",0.199,0.269,-0.329,0.727,1.15,0.796,1.65,0.466,1,"lm.nb","NM_002199.3:1624"
"IFI16-mRNA",0.545,0.738,-0.901,1.99,1.46,0.536,3.97,0.467,1,"lm.nb","NM_001206567.1:2351"
"GLUD1-mRNA",-0.278,0.387,-1.04,0.48,0.825,0.488,1.4,0.479,1,"lm.nb","NM_005271.2:2680"
"TAPBP-mRNA",0.497,0.738,-0.95,1.94,1.41,0.518,3.85,0.507,1,"lm.nb","NM_003190.4:1082"
"MGMT-mRNA",0.252,0.383,-0.499,1,1.19,0.708,2,0.517,1,"lm.nb","NM_002412.3:323"
"CCL4-mRNA",-0.431,0.696,-1.79,0.932,0.742,0.288,1.91,0.541,1,"lm.nb","NM_002984.2:35"
"TYMS-mRNA",-0.462,0.773,-1.98,1.05,0.726,0.254,2.08,0.555,1,"lm.nb","NM_001071.1:395"
"CYBB-mRNA",-0.498,0.836,-2.14,1.14,0.708,0.228,2.2,0.556,1,"lm.nb","NM_000397.3:1034"
"SIRPA-mRNA",-0.316,0.539,-1.37,0.74,0.803,0.386,1.67,0.563,1,"lm.nb","NM_001040023.1:3355"
"TGFB1-mRNA",-0.244,0.416,-1.06,0.572,0.844,0.48,1.49,0.563,1,"lm.nb","NM_000660.4:1473"
"CCL18-mRNA",-0.21,0.361,-0.917,0.497,0.865,0.53,1.41,0.566,1,"lm.nb","NM_002988.3:45"
"CEBPB-mRNA",-0.231,0.402,-1.02,0.556,0.852,0.494,1.47,0.57,1,"lm.nb","NM_005194.3:1731"
"PLOD2-mRNA",-1.33,2.52,-6.26,3.61,0.399,0.0131,12.2,0.603,1,"loglinear","NM_182943.2:2588"
"PKM-mRNA",-0.848,1.63,-4.04,2.34,0.556,0.0609,5.06,0.607,1,"loglinear","NM_001206796.2:1533"
"CD68-mRNA",0.374,0.717,-1.03,1.78,1.3,0.489,3.43,0.607,1,"lm.nb","NM_001251.2:1140"
"DUSP1-mRNA",-0.394,0.759,-1.88,1.09,0.761,0.271,2.13,0.608,1,"lm.nb","NM_004417.3:1428"
"ULBP2-mRNA",-0.228,0.44,-1.09,0.634,0.854,0.47,1.55,0.609,1,"lm.nb","NM_025217.2:905"
"KRAS-mRNA",0.214,0.438,-0.644,1.07,1.16,0.64,2.1,0.629,1,"lm.nb","NM_004985.3:1790"
"NDUFA4L2-mRNA",-0.429,0.879,-2.15,1.29,0.743,0.225,2.45,0.629,1,"lm.nb","NM_020142.3:563"
"CTNNB1-mRNA",-0.298,0.632,-1.54,0.94,0.813,0.345,1.92,0.641,1,"lm.nb","NM_001098209.1:1938"
"GPSM3-mRNA",0.201,0.427,-0.636,1.04,1.15,0.644,2.05,0.642,1,"lm.nb","NM_001276501.1:915"
"CCL5-mRNA",0.222,0.496,-0.751,1.2,1.17,0.594,2.29,0.658,1,"lm.nb","NM_002985.2:277"
"ALDOC-mRNA",-0.191,0.434,-1.04,0.659,0.876,0.486,1.58,0.663,1,"lm.nb","NM_005165.2:335"
"LILRA1-mRNA",0.168,0.401,-0.619,0.955,1.12,0.651,1.94,0.679,1,"lm.nb","NM_001278318.1:486"
"B2M-mRNA",0.709,1.7,-2.63,4.04,1.64,0.162,16.5,0.68,1,"loglinear","NM_004048.2:573"
"DUSP5-mRNA",-0.277,0.699,-1.65,1.09,0.825,0.319,2.13,0.695,1,"lm.nb","NM_004419.3:675"
"CD3D-mRNA",0.189,0.488,-0.768,1.15,1.14,0.587,2.21,0.701,1,"lm.nb","NM_000732.4:127"
"TREM2-mRNA",-0.195,0.517,-1.21,0.819,0.874,0.433,1.76,0.71,1,"lm.nb","NM_018965.3:848"
"RSAD2-mRNA",0.11,0.293,-0.465,0.684,1.08,0.724,1.61,0.712,1,"lm.nb","NM_080657.4:1057"
"FCGR3A/B-mRNA",-0.219,0.588,-1.37,0.934,0.859,0.387,1.91,0.713,1,"lm.nb","NM_000570.4:255"
"DDB2-mRNA",-0.145,0.395,-0.919,0.628,0.904,0.529,1.55,0.716,1,"lm.nb","NM_000107.2:1556"
"IFNGR2-mRNA",-0.294,0.807,-1.88,1.29,0.816,0.272,2.44,0.718,1,"lm.nb","NM_005534.3:1963"
"VTCN1-mRNA",0.138,0.379,-0.605,0.88,1.1,0.657,1.84,0.72,1,"lm.nb","NM_001253849.1:871"
"IL33-mRNA",0.155,0.429,-0.686,0.996,1.11,0.622,1.99,0.72,1,"lm.nb","NM_033439.3:1842"
"CXCL14-mRNA",0.135,0.393,-0.636,0.906,1.1,0.643,1.87,0.734,1,"lm.nb","NM_004887.4:990"
"TPI1-mRNA",-0.558,1.63,-3.75,2.64,0.679,0.0742,6.22,0.735,1,"loglinear","NM_000365.5:153"
"RPL7A-mRNA",-0.563,1.65,-3.8,2.67,0.677,0.0719,6.37,0.736,1,"loglinear","NM_000972.2:657"
"LAMC2-mRNA",-0.197,0.632,-1.43,1.04,0.872,0.37,2.06,0.758,1,"lm.nb","NM_005562.2:1027"
"PARP4-mRNA",0.117,0.376,-0.619,0.854,1.08,0.651,1.81,0.758,1,"lm.nb","NM_006437.3:1399"
"FOSL1-mRNA",0.08,0.257,-0.423,0.583,1.06,0.746,1.5,0.758,1,"lm.nb","NM_005438.3:1320"
"ITGB2-mRNA",0.17,0.563,-0.934,1.27,1.12,0.523,2.42,0.765,1,"lm.nb","NM_000211.3:1412"
"GLUL-mRNA",0.205,0.688,-1.14,1.55,1.15,0.453,2.93,0.768,1,"lm.nb","NM_002065.6:1485"
"SGK1-mRNA",0.101,0.339,-0.564,0.765,1.07,0.677,1.7,0.769,1,"lm.nb","NM_005627.3:1621"
"AQP9-mRNA",-0.122,0.422,-0.95,0.706,0.919,0.518,1.63,0.775,1,"lm.nb","NM_001320635.1:753"
"PPARGC1B-mRNA",0.101,0.354,-0.592,0.794,1.07,0.663,1.73,0.778,1,"lm.nb","NM_001172699.1:1010"
"BNIP3-mRNA",-0.0806,0.297,-0.662,0.501,0.946,0.632,1.42,0.788,1,"lm.nb","NM_004052.3:116"
"CDKN2A-mRNA",-0.0965,0.413,-0.906,0.713,0.935,0.534,1.64,0.817,1,"lm.nb","NM_000077.4:1052"
"CD19-mRNA",0.104,0.496,-0.869,1.08,1.07,0.547,2.11,0.836,1,"lm.nb","NM_001770.4:1770"
"PTPN11-mRNA",-0.1,0.484,-1.05,0.849,0.933,0.483,1.8,0.838,1,"lm.nb","NM_001330437.1:228"
"HLA-DRB1-mRNA",0.121,0.619,-1.09,1.33,1.09,0.469,2.52,0.847,1,"lm.nb","NM_002124.3:1016"
"LYZ-mRNA",-0.175,0.977,-2.09,1.74,0.886,0.235,3.34,0.859,1,"lm.nb","NM_000239.2:381"
"IL1R2-mRNA",0.0502,0.342,-0.621,0.721,1.04,0.65,1.65,0.885,1,"lm.nb","NR_048564.1:949"
"IER3-mRNA",0.112,0.764,-1.39,1.61,1.08,0.383,3.05,0.885,1,"lm.nb","NM_003897.3:204"
"ICAM3-mRNA",-0.0431,0.301,-0.634,0.548,0.971,0.645,1.46,0.887,1,"lm.nb","NM_002162.3:1225"
"BAD-mRNA",0.0525,0.369,-0.67,0.775,1.04,0.628,1.71,0.888,1,"lm.nb","NM_004322.3:963"
"OASL-mRNA",0.0414,0.303,-0.552,0.635,1.03,0.682,1.55,0.892,1,"lm.nb","NM_003733.2:1570"
"SNAI1-mRNA",0.0468,0.353,-0.644,0.738,1.03,0.64,1.67,0.896,1,"lm.nb","NM_005985.3:960"
"CCL3/L1-mRNA",0.0817,0.956,-1.79,1.96,1.06,0.289,3.88,0.933,1,"lm.nb","NM_021006.5:411"
"BCL2L1-mRNA",-0.0265,0.317,-0.648,0.595,0.982,0.638,1.51,0.934,1,"lm.nb","NM_001191.3:1421"
"BBS1-mRNA",-0.0297,0.477,-0.964,0.905,0.98,0.513,1.87,0.951,1,"lm.nb","NM_024649.4:82"
"IFITM2-mRNA",-0.0372,0.618,-1.25,1.17,0.975,0.421,2.26,0.953,1,"lm.nb","NM_006435.2:390"
"PVRIG-mRNA",-0.0138,0.344,-0.687,0.66,0.99,0.621,1.58,0.968,1,"lm.nb","NM_024070.3:1390"
"NFKB2-mRNA",0.0125,0.363,-0.699,0.724,1.01,0.616,1.65,0.973,1,"lm.nb","NM_001077494.3:1986"
"MFNG-mRNA",-0.0127,0.404,-0.804,0.779,0.991,0.573,1.72,0.975,1,"lm.nb","NM_002405.3:1768"
"TLR2-mRNA",-0.0111,0.466,-0.924,0.902,0.992,0.527,1.87,0.981,1,"lm.nb","NM_001318787.1:484"
"EOMES-mRNA",0.00841,0.483,-0.938,0.955,1.01,0.522,1.94,0.986,1,"lm.nb","NM_001278182.1:1522"
"KIR2DL3-mRNA",-1.78e-16,0.491,-0.962,0.962,1,0.513,1.95,1,1,"lm.nb","NM_015868.2:145"
