© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Estrogen-mediated S-phase Entry	1.7E00	7.69E-02	NaN	CDK2,E2F8	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.67E00	7.41E-02	NaN	AGPAT3,TAZ	
Protein Kinase A Signaling	1.66E00	1.97E-02	NaN	APEX1,NFKBIA,NFKBIB,PPP1CA,PPP1CC,PRKCE,PTEN,RHOA	
fMLP Signaling in Neutrophils	1.61E00	3.05E-02	NaN	GNAT2,NFKBIA,NFKBIB,PRKCE	
Coenzyme A Biosynthesis	1.6E00	3.33E-01	NaN	PPCDC	
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	1.6E00	3.33E-01	NaN	IPMK	
HGF Signaling	1.6E00	3.03E-02	NaN	CDK2,MAP2K7,MAP3K7,PRKCE	
Gα12/13 Signaling	1.59E00	3.01E-02	NaN	MAP2K7,NFKBIA,NFKBIB,RHOA	
Insulin Secretion Signaling Pathway	1.57E00	2.22E-02	NaN	AGO2,EIF4A1,EIF4A2,PRKCE,SCNN1G,SLC2A1	
Angiopoietin Signaling	1.57E00	3.9E-02	NaN	CASP9,NFKBIA,NFKBIB	
Toll-like Receptor Signaling	1.55E00	3.85E-02	NaN	ECSIT,MAP3K7,NFKBIA	
IL-7 Signaling Pathway	1.55E00	3.85E-02	NaN	BAX,CDK2,SLC2A1	
Breast Cancer Regulation by Stathmin1	1.55E00	1.69E-02	NaN	CDK2,E2F8,PPP1CA,PPP1CC,PRKCE,PRLHR,PTGIR,RHOA,RLIM,STMN1	
Protein Ubiquitination Pathway	1.54E00	2.18E-02	NaN	BIRC3,CUL1,PAN2,UBE2N,UBE2R2,USP37	
Insulin Receptor Signaling	1.52E00	2.86E-02	NaN	PPP1CA,PPP1CC,PTEN,SCNN1G	
Hereditary Breast Cancer Signaling	1.5E00	2.82E-02	NaN	FANCB,FANCF,PTEN,SMARCA2	
mTOR Signaling	1.47E00	2.36E-02	NaN	EIF3H,EIF4A1,EIF4A2,PRKCE,RHOA	
Cyclins and Cell Cycle Regulation	1.47E00	3.57E-02	NaN	CDK2,CUL1,E2F8	
HIPPO signaling	1.46E00	3.53E-02	NaN	CUL1,PPP1CA,PPP1CC	
Xenobiotic Metabolism Signaling	1.44E00	2.07E-02	NaN	AHR,AIP,ARNT,MAP2K7,MAP3K7,PRKCE	
MIF-mediated Glucocorticoid Regulation	1.44E00	5.56E-02	NaN	NFKBIA,NFKBIB	
Fatty Acid β-oxidation I	1.44E00	5.56E-02	NaN	ACSBG2,ACSL4	
Cell Cycle Regulation by BTG Family Proteins	1.41E00	5.41E-02	NaN	CDK2,E2F8	
Semaphorin Neuronal Repulsive Signaling Pathway	1.41E00	2.65E-02	NaN	FARP1,MAP2K7,RHOA,SEMA4D	
Docosahexaenoic Acid (DHA) Signaling	1.39E00	5.26E-02	NaN	BAX,CASP9	
Pentose Phosphate Pathway (Oxidative Branch)	1.38E00	2E-01	NaN	PGLS	
Relaxin Signaling	1.38E00	2.58E-02	NaN	APEX1,GNAT2,NFKBIA,NFKBIB	
HER-2 Signaling in Breast Cancer	1.37E00	2.2E-02	NaN	CASP9,NFKBIA,NFKBIB,PRKCE,PTEN	
Pyroptosis Signaling Pathway	1.36E00	3.23E-02	NaN	BAX,CASP9,RHOA	
HOTAIR Regulatory Pathway	1.31E00	2.45E-02	NaN	AGO2,BRD4,NFKBIA,PTEN	
Pentose Phosphate Pathway (Non-oxidative Branch)	1.31E00	1.67E-01	NaN	TKT	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	1.31E00	1.67E-01	NaN	SARS2	
MIF Regulation of Innate Immunity	1.28E00	4.55E-02	NaN	NFKBIA,NFKBIB	
Glioblastoma Multiforme Signaling	1.25E00	2.34E-02	NaN	CDK2,E2F8,PTEN,RHOA	
Trehalose Degradation II (Trehalase)	1.24E00	1.43E-01	NaN	HK2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.24E00	1.84E-02	NaN	BAX,CERT1,MAP3K7,PMAIP1,PTEN,RHOA	
iNOS Signaling	1.23E00	4.26E-02	NaN	NFKBIA,NFKBIB	
Cardiac β-adrenergic Signaling	1.2E00	2.25E-02	NaN	APEX1,GNAT2,PPP1CA,PPP1CC	
Regulation of eIF4 and p70S6K Signaling	1.19E00	2.23E-02	NaN	AGO2,EIF3H,EIF4A1,EIF4A2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.19E00	2.23E-02	NaN	IPMK,PPP1CA,PPP1CC,PTEN	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.19E00	2.23E-02	NaN	IPMK,PPP1CA,PPP1CC,PTEN	
Inositol Pyrophosphates Biosynthesis	1.19E00	1.25E-01	NaN	IPMK	
Sphingomyelin Metabolism	1.19E00	1.25E-01	NaN	SGMS1	
Triacylglycerol Biosynthesis	1.18E00	4E-02	NaN	AGPAT3,TAZ	
FAT10 Cancer Signaling Pathway	1.18E00	4E-02	NaN	NFKBIA,NFKBIB	
Antioxidant Action of Vitamin C	1.16E00	2.68E-02	NaN	NFKBIA,NFKBIB,SLC2A1	
Amyotrophic Lateral Sclerosis Signaling	1.14E00	2.61E-02	NaN	BAX,BIRC3,CASP9	
NGF Signaling	1.11E00	2.54E-02	NaN	BAX,MAP3K7,RHOA	
p38 MAPK Signaling	1.11E00	2.54E-02	NaN	IL1RAPL1,MAP3K7,TRAF2	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.1E00	2.08E-02	NaN	MAP2K7,MAP3K7,RHOA,ZEB1	
Xenobiotic Metabolism PXR Signaling Pathway	1.1E00	2.07E-02	NaN	CDK2,PPP1CA,PPP1CC,PRKCE	
Cell Cycle Control of Chromosomal Replication	1.09E00	3.57E-02	NaN	CDK2,MCM9	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.08E00	3.51E-02	NaN	CDK2,E2F8	
Role of IL-17A in Arthritis	1.08E00	3.51E-02	NaN	NFKBIA,NFKBIB	
Polyamine Regulation in Colon Cancer	1.07E00	3.45E-02	NaN	MAP2K7,RHOA	
Glioma Signaling	1.06E00	2.42E-02	NaN	E2F8,PRKCE,PTEN	
GDP-glucose Biosynthesis	1.05E00	9.09E-02	NaN	HK2	
Pancreatic Adenocarcinoma Signaling	1.05E00	2.38E-02	NaN	CASP9,CDK2,E2F8	
Endometrial Cancer Signaling	1.04E00	3.33E-02	NaN	CASP9,PTEN	
14-3-3-mediated Signaling	1.04E00	2.36E-02	NaN	BAX,PRKCE,TRAF2	
3-phosphoinositide Biosynthesis	1.02E00	1.95E-02	NaN	IPMK,PPP1CA,PPP1CC,PTEN	
Synaptic Long Term Potentiation	1.02E00	2.33E-02	NaN	PPP1CA,PPP1CC,PRKCE	
Semaphorin Signaling in Neurons	1.02E00	3.23E-02	NaN	RHOA,SEMA4D	
Glucose and Glucose-1-phosphate Degradation	1.02E00	8.33E-02	NaN	HK2	
PXR/RXR Activation	9.87E-01	3.08E-02	NaN	ALAS1,CYP2A6 (includes others)	
Activation of IRF by Cytosolic Pattern Recognition Receptors	9.87E-01	3.08E-02	NaN	NFKBIA,NFKBIB	
CCR3 Signaling in Eosinophils	9.79E-01	2.22E-02	NaN	GNAT2,PRKCE,RHOA	
Autophagy	9.79E-01	1.88E-02	NaN	ARNT,MAP2K7,PTEN,SQSTM1	
Pyridoxal 5'-phosphate Salvage Pathway	9.75E-01	3.03E-02	NaN	CDK2,PRKCE	
IL-12 Signaling and Production in Macrophages	9.71E-01	2.21E-02	NaN	NFKBIA,NFKBIB,PRKCE	
MSP-RON Signaling In Cancer Cells Pathway	9.59E-01	2.17E-02	NaN	ARNT,KLK2,NFKBIA	
DNA Double-Strand Break Repair by Non-Homologous End Joining	9.55E-01	7.14E-02	NaN	XRCC1	
Iron homeostasis signaling pathway	9.51E-01	2.16E-02	NaN	ARNT,CIAO1,CUL1	
Apelin Endothelial Signaling Pathway	9.36E-01	2.13E-02	NaN	ARNT,GNAT2,PRKCE	
Role of NFAT in Cardiac Hypertrophy	9.32E-01	1.8E-02	NaN	CABIN1,MAP2K7,MAP3K7,PRKCE	
PI3K Signaling in B Lymphocytes	9.24E-01	2.1E-02	NaN	NFKBIA,NFKBIB,PTEN	
Melatonin Signaling	9.1E-01	2.78E-02	NaN	MAP2K7,PRKCE	
Ephrin B Signaling	9.1E-01	2.78E-02	NaN	GNAT2,RHOA	
Endocannabinoid Cancer Inhibition Pathway	9.1E-01	2.07E-02	NaN	CASP9,MAP2K7,RHOA	
Granzyme B Signaling	9E-01	6.25E-02	NaN	CASP9	
Parkinson's Signaling	9E-01	6.25E-02	NaN	CASP9	
Dilated Cardiomyopathy Signaling Pathway	8.93E-01	2.03E-02	NaN	BAX,CASP9,PRKCE	
Estrogen Receptor Signaling	8.93E-01	1.48E-02	NaN	CTBP1,GNAT2,NCOA2,PRKCE,PTEN,RHOA	
Factors Promoting Cardiogenesis in Vertebrates	8.73E-01	1.99E-02	NaN	MAP3K7,PRKCE,RHOA	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	8.73E-01	5.88E-02	NaN	IPMK	
Neurotrophin/TRK Signaling	8.73E-01	2.63E-02	NaN	MAP2K7,NTF4	
Macropinocytosis Signaling	8.73E-01	2.63E-02	NaN	PRKCE,RHOA	
Superpathway of Inositol Phosphate Compounds	8.7E-01	1.71E-02	NaN	IPMK,PPP1CA,PPP1CC,PTEN	
G-Protein Coupled Receptor Signaling	8.63E-01	1.28E-02	NaN	APEX1,GNAT2,MAP2K7,MAP3K7,NFKBIA,NFKBIB,PRKCE,PRLHR,PTGIR	
VDR/RXR Activation	8.57E-01	2.56E-02	NaN	NCOA2,PRKCE	
Thyroid Cancer Signaling	8.48E-01	2.53E-02	NaN	NTF4,PTEN	
Dopamine Receptor Signaling	8.48E-01	2.53E-02	NaN	PPP1CA,PPP1CC	
Renal Cell Carcinoma Signaling	8.39E-01	2.5E-02	NaN	ARNT,SLC2A1	
AMPK Signaling	8.33E-01	1.65E-02	NaN	GNAT2,MAP3K7,SLC2A1,SMARCA2	
Granzyme A Signaling	8.3E-01	5.26E-02	NaN	APEX1	
DNA damage-induced 14-3-3σ Signaling	8.3E-01	5.26E-02	NaN	CDK2	
BEX2 Signaling Pathway	8.3E-01	2.47E-02	NaN	NFKBIA,PTEN	
Role of MAPK Signaling in the Pathogenesis of Influenza	8.21E-01	2.44E-02	NaN	BAX,MAP2K7	
Inhibition of ARE-Mediated mRNA Degradation Pathway	8.12E-01	1.86E-02	NaN	AGO2,EXOSC1,MAP3K7	
GADD45 Signaling	8.1E-01	5E-02	NaN	CDK2	
TR/RXR Activation	8.04E-01	2.38E-02	NaN	NCOA2,SLC2A1	
Androgen Biosynthesis	7.9E-01	4.76E-02	NaN	SRD5A3	
CXCR4 Signaling	7.7E-01	1.78E-02	NaN	GNAT2,PRKCE,RHOA	
Androgen Signaling	7.7E-01	1.78E-02	NaN	GNAT2,NCOA2,PRKCE	
Mitochondrial Dysfunction	7.59E-01	1.75E-02	NaN	ATP5ME,CASP9,TXN2	
Germ Cell-Sertoli Cell Junction Signaling	7.59E-01	1.75E-02	NaN	MAP2K7,MAP3K7,RHOA	
Cardiac Hypertrophy Signaling	7.57E-01	1.54E-02	NaN	GNAT2,MAP2K7,MAP3K7,RHOA	
Unfolded protein response	7.57E-01	2.22E-02	NaN	MAP2K7,TRAF2	
Cardiomyocyte Differentiation via BMP Receptors	7.54E-01	4.35E-02	NaN	MAP3K7	
Methionine Degradation I (to Homocysteine)	7.54E-01	4.35E-02	NaN	MRM2	
Vitamin-C Transport	7.54E-01	4.35E-02	NaN	SLC2A1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	7.28E-01	2.13E-02	NaN	PRKCE,PTEN	
Signaling by Rho Family GTPases	7.24E-01	1.49E-02	NaN	GNAT2,MAP2K7,RHOA,STMN1	
Bupropion Degradation	7.21E-01	4E-02	NaN	CYP2A6 (includes others)	
Cysteine Biosynthesis III (mammalia)	7.21E-01	4E-02	NaN	MRM2	
Colorectal Cancer Metastasis Signaling	7.12E-01	1.48E-02	NaN	BAX,CASP9,GNAT2,RHOA	
Dopamine-DARPP32 Feedback in cAMP Signaling	7.1E-01	1.66E-02	NaN	PPP1CA,PPP1CC,PRKCE	
Gluconeogenesis I	7.06E-01	3.85E-02	NaN	GPI	
Salvage Pathways of Pyrimidine Ribonucleotides	7.01E-01	2.04E-02	NaN	CDK2,PRKCE	
Apelin Cardiomyocyte Signaling Pathway	6.95E-01	2.02E-02	NaN	ARNT,PRKCE	
Glycolysis I	6.9E-01	3.7E-02	NaN	GPI	
NF-κB Signaling	6.9E-01	1.23E-02	NaN	MAP2K7,MAP3K7,NFKBIA,NFKBIB,TNFRSF17,TRAF2,UBE2N	
Opioid Signaling Pathway	6.86E-01	1.44E-02	NaN	GNAT2,MAP2K7,NFKBIA,PRKCE	
Huntington's Disease Signaling	6.76E-01	1.42E-02	NaN	BAX,CASP9,MAP2K7,PRKCE	
GNRH Signaling	6.7E-01	1.58E-02	NaN	MAP2K7,MAP3K7,PRKCE	
NER (Nucleotide Excision Repair, Enhanced Pathway)	6.7E-01	1.94E-02	NaN	UBE2N,XRCC1	
3-phosphoinositide Degradation	6.66E-01	1.57E-02	NaN	PPP1CA,PPP1CC,PTEN	
Glucocorticoid Receptor Signaling	6.64E-01	1.2E-02	NaN	MAP2K7,MAP3K7,NCOA2,NFKBIA,NFKBIB,SMARCA2,TRAF2	
Endothelin-1 Signaling	6.6E-01	1.56E-02	NaN	CASP9,GNAT2,PRKCE	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	6.52E-01	1.55E-02	NaN	BAX,CERT1,IL1RAPL1	
PD-1, PD-L1 cancer immunotherapy pathway	6.52E-01	1.89E-02	NaN	CDK2,PTEN	
D-myo-inositol-5-phosphate Metabolism	6.48E-01	1.54E-02	NaN	PPP1CA,PPP1CC,PTEN	
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.48E-01	1.54E-02	NaN	MAP2K7,RHOA,ZEB1	
Chronic Myeloid Leukemia Signaling	6.46E-01	1.87E-02	NaN	CTBP1,E2F8	
α-Adrenergic Signaling	6.38E-01	1.85E-02	NaN	GNAT2,PRKCE	
Sirtuin Signaling Pathway	6.36E-01	1.37E-02	NaN	APEX1,BAX,SLC2A1,SMARCA5	
PI3K/AKT Signaling	6.31E-01	1.51E-02	NaN	NFKBIA,NFKBIB,PTEN	
Adrenomedullin signaling pathway	6.31E-01	1.51E-02	NaN	ARNT,BAX,MAP2K7	
Kinetochore Metaphase Signaling Pathway	6.22E-01	1.8E-02	NaN	PPP1CA,PPP1CC	
RAR Activation	6.11E-01	1.47E-02	NaN	PRKCE,PTEN,SMARCA2	
CDK5 Signaling	6.06E-01	1.75E-02	NaN	PPP1CA,PPP1CC	
Sertoli Cell-Sertoli Cell Junction Signaling	6.02E-01	1.46E-02	NaN	MAP2K7,MAP3K7,PTEN	
Axonal Guidance Signaling	5.93E-01	1.18E-02	NaN	GNAT2,NTF4,PITRM1,PRKCE,RHOA,SEMA4D	
Neuregulin Signaling	5.9E-01	1.71E-02	NaN	PRKCE,PTEN	
Type I Diabetes Mellitus Signaling	5.9E-01	1.18E-02	NaN	CASP9,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
Fc Epsilon RI Signaling	5.83E-01	1.69E-02	NaN	MAP2K7,PRKCE	
Interferon Signaling	5.82E-01	2.78E-02	NaN	BAX	
Thrombin Signaling	5.8E-01	1.42E-02	NaN	GNAT2,PRKCE,RHOA	
Cholecystokinin/Gastrin-mediated Signaling	5.78E-01	1.68E-02	NaN	PRKCE,RHOA	
Sphingosine-1-phosphate Signaling	5.73E-01	1.67E-02	NaN	CASP9,RHOA	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.73E-01	1.67E-02	NaN	IDE,PREP	
ERK/MAPK Signaling	5.72E-01	1.4E-02	NaN	PPP1CA,PPP1CC,PRKCE	
Complement System	5.72E-01	2.7E-02	NaN	C1QBP	
Superpathway of Methionine Degradation	5.62E-01	2.63E-02	NaN	MRM2	
Gαs Signaling	5.59E-01	1.63E-02	NaN	GNAT2,PTGIR	
tRNA Charging	5.53E-01	2.56E-02	NaN	SARS2	
Endocannabinoid Developing Neuron Pathway	5.5E-01	1.6E-02	NaN	MAP2K7,RHOA	
Reelin Signaling in Neurons	5.45E-01	1.59E-02	NaN	MAP2K7,RHOA	
Acetone Degradation I (to Methylglyoxal)	5.44E-01	2.5E-02	NaN	CYP2A6 (includes others)	
GP6 Signaling Pathway	5.39E-01	1.57E-02	NaN	CERT1,PRKCE	
Mechanisms of Viral Exit from Host Cells	5.35E-01	2.44E-02	NaN	PRKCE	
G Beta Gamma Signaling	5.3E-01	1.55E-02	NaN	GNAT2,PRKCE	
Intrinsic Prothrombin Activation Pathway	5.26E-01	2.38E-02	NaN	KLK2	
Cardiac Hypertrophy Signaling (Enhanced)	5.17E-01	1.11E-02	NaN	APEX1,MAP2K7,MAP3K7,PRKCE,PTEN,RHOA	
Ferroptosis Signaling Pathway	5.17E-01	1.52E-02	NaN	ACSL4,SQSTM1	
G Protein Signaling Mediated by Tubby	5.09E-01	2.27E-02	NaN	GNAT2	
Adipogenesis pathway	5.04E-01	1.48E-02	NaN	CTBP1,KMT2B	
