"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"BMP2-mRNA",0.236,0.352,-0.455,0.927,1.18,0.729,1.9,0.506,1,"lm.nb","NM_001200.3:1193"
"VHL-mRNA",0.194,0.29,-0.375,0.763,1.14,0.771,1.7,0.507,1,"lm.nb","NM_198156.1:420"
"PPARGC1B-mRNA",-0.279,0.42,-1.1,0.544,0.824,0.466,1.46,0.508,1,"lm.nb","NM_001172699.1:1010"
"BRD3-mRNA",0.293,0.445,-0.579,1.17,1.23,0.669,2.24,0.513,1,"lm.nb","NM_007371.3:2621"
"BAMBI-mRNA",0.272,0.413,-0.538,1.08,1.21,0.689,2.12,0.513,1,"lm.nb","NM_012342.2:824"
"TAP2-mRNA",0.251,0.388,-0.51,1.01,1.19,0.702,2.02,0.52,1,"lm.nb","NM_018833.2:912"
"THBS1-mRNA",0.359,0.556,-0.73,1.45,1.28,0.603,2.73,0.52,1,"lm.nb","NM_003246.2:3816"
"CEBPB-mRNA",-0.154,0.239,-0.623,0.314,0.898,0.649,1.24,0.52,1,"lm.nb","NM_005194.3:1731"
"NEIL1-mRNA",0.29,0.45,-0.593,1.17,1.22,0.663,2.25,0.522,1,"lm.nb","NM_024608.2:1675"
"APH1B-mRNA",0.258,0.403,-0.531,1.05,1.2,0.692,2.07,0.524,1,"lm.nb","NM_001145646.1:541"
"ANGPTL4-mRNA",-0.371,0.579,-1.5,0.764,0.774,0.352,1.7,0.524,1,"lm.nb","NM_001039667.2:1088"
"ISG15-mRNA",0.346,0.541,-0.716,1.41,1.27,0.609,2.65,0.525,1,"lm.nb","NM_005101.3:305"
"ARID1A-mRNA",-0.335,0.528,-1.37,0.699,0.793,0.387,1.62,0.528,1,"lm.nb","NM_006015.4:1670"
"FAM124B-mRNA",0.327,0.518,-0.689,1.34,1.25,0.62,2.54,0.53,1,"lm.nb","NM_001122779.1:1620"
"GOT1-mRNA",0.282,0.446,-0.593,1.16,1.22,0.663,2.23,0.53,1,"lm.nb","NM_002079.2:568"
"NFKB1-mRNA",0.265,0.427,-0.572,1.1,1.2,0.673,2.15,0.537,1,"lm.nb","NM_003998.3:2920"
"TNFRSF10C-mRNA",0.272,0.44,-0.591,1.14,1.21,0.664,2.2,0.538,1,"lm.nb","NM_003841.3:682"
"TNFRSF10D-mRNA",-0.252,0.408,-1.05,0.547,0.84,0.482,1.46,0.539,1,"lm.nb","NM_003840.4:838"
"ALDOC-mRNA",0.212,0.345,-0.465,0.888,1.16,0.725,1.85,0.542,1,"lm.nb","NM_005165.2:335"
"BCL2L1-mRNA",0.232,0.384,-0.52,0.984,1.17,0.698,1.98,0.547,1,"lm.nb","NM_001191.3:1421"
"BBS1-mRNA",0.187,0.311,-0.422,0.797,1.14,0.746,1.74,0.549,1,"lm.nb","NM_024649.4:82"
"NFKB2-mRNA",0.157,0.26,-0.354,0.667,1.11,0.782,1.59,0.55,1,"lm.nb","NM_001077494.3:1986"
"LAMB3-mRNA",-0.347,0.579,-1.48,0.788,0.786,0.358,1.73,0.551,1,"lm.nb","NM_000228.2:3350"
"IFI6-mRNA",0.279,0.467,-0.637,1.2,1.21,0.643,2.29,0.552,1,"lm.nb","NM_002038.3:410"
"PRKAA2-mRNA",0.252,0.425,-0.58,1.08,1.19,0.669,2.12,0.555,1,"lm.nb","NM_006252.3:4014"
"PTCD2-mRNA",0.264,0.448,-0.613,1.14,1.2,0.654,2.21,0.557,1,"lm.nb","NM_001284403.1:326"
"CCND2-mRNA",0.433,0.739,-1.02,1.88,1.35,0.494,3.68,0.56,1,"lm.nb","NM_001759.2:5825"
"CDH1-mRNA",0.328,0.561,-0.771,1.43,1.25,0.586,2.69,0.561,1,"lm.nb","NM_004360.3:379"
"TNFAIP6-mRNA",0.687,1.18,-1.63,3.01,1.61,0.322,8.04,0.563,1,"loglinear","NM_007115.3:165"
"MFGE8-mRNA",-0.312,0.538,-1.37,0.744,0.806,0.388,1.67,0.565,1,"lm.nb","NM_001114614.1:328"
"TGFB1-mRNA",0.208,0.364,-0.505,0.922,1.16,0.704,1.89,0.569,1,"lm.nb","NM_000660.4:1473"
"TLR5-mRNA",0.216,0.378,-0.525,0.958,1.16,0.695,1.94,0.569,1,"lm.nb","NM_003268.5:2570"
"ANLN-mRNA",0.394,0.692,-0.962,1.75,1.31,0.513,3.37,0.571,1,"lm.nb","NM_018685.2:240"
"TGFBR1-mRNA",-0.185,0.325,-0.822,0.452,0.88,0.566,1.37,0.572,1,"lm.nb","NM_001130916.2:3011"
"POLD1-mRNA",-0.201,0.356,-0.899,0.497,0.87,0.536,1.41,0.574,1,"lm.nb","NM_001256849.1:1356"
"LILRA1-mRNA",0.264,0.467,-0.653,1.18,1.2,0.636,2.27,0.575,1,"lm.nb","NM_001278318.1:486"
"PTEN-mRNA",0.289,0.516,-0.723,1.3,1.22,0.606,2.46,0.578,1,"lm.nb","NM_000314.6:6696"
"PARP4-mRNA",-0.148,0.266,-0.669,0.373,0.902,0.629,1.3,0.58,1,"lm.nb","NM_006437.3:1399"
"TNF-mRNA",0.207,0.372,-0.522,0.935,1.15,0.697,1.91,0.58,1,"lm.nb","NM_000594.3:1366"
"KIR3DL1-mRNA",0.268,0.482,-0.677,1.21,1.2,0.625,2.32,0.58,1,"lm.nb","NM_001322168.1:466"
"SIRPA-mRNA",0.204,0.368,-0.516,0.925,1.15,0.699,1.9,0.581,1,"lm.nb","NM_001040023.1:3355"
"CASP8-mRNA",-0.351,0.639,-1.6,0.901,0.784,0.329,1.87,0.584,1,"lm.nb","NM_001228.4:762"
"HES1-mRNA",-0.195,0.355,-0.89,0.501,0.874,0.539,1.42,0.585,1,"lm.nb","NM_005524.2:860"
"ICAM1-mRNA",0.299,0.548,-0.775,1.37,1.23,0.584,2.59,0.587,1,"lm.nb","NM_000201.2:2253"
"BAX-mRNA",0.235,0.436,-0.619,1.09,1.18,0.651,2.13,0.591,1,"lm.nb","NM_004324.3:330"
"ITPK1-mRNA",0.106,0.196,-0.279,0.491,1.08,0.824,1.41,0.591,1,"lm.nb","NM_001142593.2:958"
"FOSL1-mRNA",0.172,0.319,-0.454,0.798,1.13,0.73,1.74,0.591,1,"lm.nb","NM_005438.3:1320"
"S100A9-mRNA",0.282,0.524,-0.744,1.31,1.22,0.597,2.48,0.592,1,"lm.nb","NM_002965.3:137"
"HLA-DOA-mRNA",0.237,0.441,-0.627,1.1,1.18,0.648,2.14,0.593,1,"lm.nb","NM_002119.3:3075"
"ERO1A-mRNA",-0.202,0.377,-0.941,0.536,0.869,0.521,1.45,0.593,1,"lm.nb","NM_014584.2:963"
"CDK2-mRNA",-0.225,0.42,-1.05,0.598,0.856,0.483,1.51,0.594,1,"lm.nb","NM_001290230.1:1543"
"MYD88-mRNA",0.0993,0.185,-0.264,0.462,1.07,0.833,1.38,0.594,1,"lm.nb","NM_002468.3:2145"
"FZD8-mRNA",0.179,0.338,-0.484,0.841,1.13,0.715,1.79,0.599,1,"lm.nb","NM_031866.1:890"
"MS4A1-mRNA",0.202,0.385,-0.552,0.956,1.15,0.682,1.94,0.602,1,"lm.nb","NM_021950.3:161"
"BATF3-mRNA",0.22,0.42,-0.603,1.04,1.16,0.658,2.06,0.602,1,"lm.nb","NM_018664.2:725"
"FYN-mRNA",-0.283,0.544,-1.35,0.783,0.822,0.393,1.72,0.605,1,"lm.nb","NM_002037.5:2125"
"EIF2AK2-mRNA",0.192,0.369,-0.531,0.914,1.14,0.692,1.88,0.605,1,"lm.nb","NM_001135652.2:516"
"UBA7-mRNA",-0.15,0.291,-0.721,0.421,0.901,0.607,1.34,0.609,1,"lm.nb","NM_003335.2:580"
"SGK1-mRNA",-0.134,0.26,-0.644,0.376,0.912,0.64,1.3,0.609,1,"lm.nb","NM_005627.3:1621"
"STAT1-mRNA",0.164,0.321,-0.466,0.793,1.12,0.724,1.73,0.612,1,"lm.nb","NM_007315.3:239"
"DTX3L-mRNA",0.2,0.393,-0.57,0.97,1.15,0.674,1.96,0.612,1,"lm.nb","NM_138287.3:1543"
"NFKBIA-mRNA",0.293,0.578,-0.841,1.43,1.22,0.558,2.69,0.614,1,"lm.nb","NM_020529.2:1361"
"FPR3-mRNA",0.265,0.524,-0.763,1.29,1.2,0.589,2.45,0.615,1,"lm.nb","NM_002030.4:733"
"ITGB8-mRNA",0.548,1.09,-1.58,2.68,1.46,0.334,6.4,0.615,1,"loglinear","NM_002214.2:2609"
"MSH2-mRNA",-0.155,0.309,-0.761,0.451,0.898,0.59,1.37,0.618,1,"lm.nb","NM_000251.1:2514"
"MTOR-mRNA",0.234,0.468,-0.684,1.15,1.18,0.622,2.22,0.619,1,"lm.nb","NM_004958.3:3444"
"BRIP1-mRNA",0.218,0.437,-0.638,1.07,1.16,0.643,2.11,0.619,1,"lm.nb","NM_032043.2:1570"
"HRAS-mRNA",0.191,0.384,-0.562,0.944,1.14,0.677,1.92,0.621,1,"lm.nb","NM_005343.3:842"
"GLUD1-mRNA",0.164,0.336,-0.494,0.823,1.12,0.71,1.77,0.626,1,"lm.nb","NM_005271.2:2680"
"H2AFX-mRNA",0.21,0.43,-0.632,1.05,1.16,0.645,2.07,0.626,1,"lm.nb","NM_002105.2:521"
"CXCL5-mRNA",0.625,1.28,-1.88,3.14,1.54,0.271,8.79,0.627,1,"loglinear","NM_002994.4:475"
"CXCL14-mRNA",0.254,0.524,-0.773,1.28,1.19,0.585,2.43,0.629,1,"lm.nb","NM_004887.4:990"
"RRM2-mRNA",0.249,0.513,-0.757,1.25,1.19,0.592,2.39,0.63,1,"lm.nb","NM_001034.1:490"
"VEGFB-mRNA",-0.139,0.287,-0.7,0.423,0.908,0.616,1.34,0.63,1,"lm.nb","NM_003377.3:687"
"CXCL16-mRNA",0.27,0.565,-0.838,1.38,1.21,0.559,2.6,0.634,1,"lm.nb","NM_001100812.1:743"
"GPSM3-mRNA",-0.246,0.518,-1.26,0.769,0.843,0.417,1.7,0.636,1,"lm.nb","NM_001276501.1:915"
"FUT4-mRNA",-0.173,0.366,-0.891,0.544,0.887,0.539,1.46,0.637,1,"lm.nb","NM_002033.3:1151"
"LAMC2-mRNA",0.617,1.31,-1.94,3.18,1.53,0.26,9.05,0.639,1,"loglinear","NM_005562.2:1027"
"IFNAR1-mRNA",-0.153,0.326,-0.793,0.486,0.899,0.577,1.4,0.639,1,"lm.nb","NM_000629.2:461"
"ICOSLG-mRNA",0.212,0.451,-0.672,1.1,1.16,0.628,2.14,0.64,1,"lm.nb","NM_015259.4:1190"
"HLA-DRA-mRNA",0.262,0.559,-0.833,1.36,1.2,0.561,2.56,0.641,1,"lm.nb","NM_019111.3:335"
"HIF1A-mRNA",0.317,0.679,-1.01,1.65,1.25,0.496,3.13,0.641,1,"lm.nb","NM_181054.2:930"
"NFATC2-mRNA",-0.205,0.441,-1.07,0.659,0.867,0.476,1.58,0.643,1,"lm.nb","NM_173091.2:1840"
"MSH6-mRNA",-0.167,0.358,-0.868,0.535,0.891,0.548,1.45,0.643,1,"lm.nb","NM_000179.2:1015"
"CDK6-mRNA",0.267,0.575,-0.86,1.39,1.2,0.551,2.63,0.644,1,"lm.nb","NM_001145306.1:1373"
"OASL-mRNA",0.224,0.483,-0.723,1.17,1.17,0.606,2.25,0.644,1,"lm.nb","NM_003733.2:1570"
"MELK-mRNA",0.206,0.446,-0.668,1.08,1.15,0.629,2.11,0.646,1,"lm.nb","NM_014791.2:365"
"IFI16-mRNA",-0.269,0.586,-1.42,0.88,0.83,0.374,1.84,0.647,1,"lm.nb","NM_001206567.1:2351"
"CD47-mRNA",0.215,0.47,-0.707,1.14,1.16,0.613,2.2,0.649,1,"lm.nb","NM_001777.3:901"
"IRF7-mRNA",0.173,0.382,-0.575,0.921,1.13,0.671,1.89,0.651,1,"lm.nb","NM_004029.2:1705"
"CASP1-mRNA",0.169,0.371,-0.559,0.896,1.12,0.679,1.86,0.651,1,"lm.nb","NM_001223.4:1050"
"BLM-mRNA",0.133,0.295,-0.446,0.711,1.1,0.734,1.64,0.654,1,"lm.nb","NM_000057.3:1434"
"IL6-mRNA",-0.269,0.606,-1.46,0.919,0.83,0.364,1.89,0.658,1,"lm.nb","NM_000600.3:484"
"DTX4-mRNA",0.214,0.489,-0.744,1.17,1.16,0.597,2.25,0.663,1,"lm.nb","NM_015177.1:4820"
"AREG-mRNA",0.533,1.24,-1.91,2.97,1.45,0.267,7.85,0.67,1,"loglinear","NM_001657.3:717"
"CCL18-mRNA",0.126,0.295,-0.452,0.705,1.09,0.731,1.63,0.67,1,"lm.nb","NM_002988.3:45"
"STAT3-mRNA",0.245,0.575,-0.881,1.37,1.19,0.543,2.59,0.671,1,"lm.nb","NM_003150.3:2936"
"TRIM21-mRNA",0.238,0.559,-0.857,1.33,1.18,0.552,2.52,0.671,1,"lm.nb","NM_003141.3:1190"
"ARNT2-mRNA",-0.273,0.64,-1.53,0.982,0.828,0.347,1.98,0.672,1,"lm.nb","NM_014862.3:1133"
"SPRY4-mRNA",0.227,0.534,-0.821,1.27,1.17,0.566,2.42,0.673,1,"lm.nb","NM_030964.3:1900"
"IFNGR1-mRNA",0.2,0.48,-0.74,1.14,1.15,0.599,2.2,0.677,1,"lm.nb","NM_000416.2:1025"
"PDZK1IP1-mRNA",0.557,1.34,-2.07,3.19,1.47,0.237,9.12,0.679,1,"loglinear","NM_005764.3:229"
"C1QA-mRNA",0.222,0.535,-0.827,1.27,1.17,0.564,2.41,0.68,1,"lm.nb","NM_015991.3:636"
"PARP9-mRNA",0.262,0.638,-0.989,1.51,1.2,0.504,2.85,0.683,1,"lm.nb","NM_001146103.1:1188"
"CCNE1-mRNA",-0.163,0.402,-0.951,0.624,0.893,0.517,1.54,0.686,1,"lm.nb","NM_001238.1:1155"
"ICAM3-mRNA",0.107,0.263,-0.409,0.623,1.08,0.753,1.54,0.686,1,"lm.nb","NM_002162.3:1225"
"MAP3K5-mRNA",0.189,0.465,-0.722,1.1,1.14,0.606,2.14,0.686,1,"lm.nb","NM_005923.3:3371"
"ITGA6-mRNA",0.159,0.391,-0.607,0.925,1.12,0.656,1.9,0.686,1,"lm.nb","NM_001316306.1:1982"
"CCL5-mRNA",0.214,0.528,-0.82,1.25,1.16,0.566,2.38,0.686,1,"lm.nb","NM_002985.2:277"
"CXCL1-mRNA",0.297,0.732,-1.14,1.73,1.23,0.454,3.32,0.687,1,"lm.nb","NM_001511.3:743"
"KIF2C-mRNA",0.242,0.601,-0.936,1.42,1.18,0.523,2.68,0.688,1,"lm.nb","NM_006845.2:1020"
"GBP2-mRNA",-0.168,0.419,-0.99,0.654,0.89,0.503,1.57,0.69,1,"lm.nb","NM_004120.4:1744"
"TLR1-mRNA",0.23,0.575,-0.896,1.36,1.17,0.537,2.56,0.69,1,"lm.nb","NM_003263.3:696"
"VCAN-mRNA",-0.573,1.43,-3.38,2.23,0.672,0.0963,4.7,0.69,1,"loglinear","NM_001126336.2:394"
"MKI67-mRNA",0.439,1.1,-1.71,2.59,1.36,0.306,6.01,0.69,1,"loglinear","NM_002417.2:2005"
"KAT2B-mRNA",-0.216,0.542,-1.28,0.846,0.861,0.412,1.8,0.692,1,"lm.nb","NM_003884.4:1180"
"LCK-mRNA",-0.161,0.405,-0.954,0.632,0.894,0.516,1.55,0.692,1,"lm.nb","NM_005356.4:1723"
"ITGB2-mRNA",0.222,0.566,-0.887,1.33,1.17,0.541,2.52,0.696,1,"lm.nb","NM_000211.3:1412"
"SRP54-mRNA",0.157,0.401,-0.63,0.943,1.11,0.646,1.92,0.697,1,"lm.nb","NM_001146282.1:951"
"JAK1-mRNA",0.142,0.367,-0.578,0.862,1.1,0.67,1.82,0.701,1,"lm.nb","NM_002227.1:285"
"SMAP1-mRNA",0.17,0.44,-0.692,1.03,1.12,0.619,2.04,0.701,1,"lm.nb","NM_001044305.2:823"
"CXCL2-mRNA",0.252,0.664,-1.05,1.55,1.19,0.483,2.93,0.705,1,"lm.nb","NM_002089.1:435"
"RAD50-mRNA",0.219,0.576,-0.911,1.35,1.16,0.532,2.55,0.706,1,"lm.nb","NM_005732.3:1357"
"RAD51C-mRNA",0.11,0.29,-0.458,0.678,1.08,0.728,1.6,0.706,1,"lm.nb","NM_058216.2:15"
"GBP1-mRNA",-0.252,0.678,-1.58,1.08,0.84,0.334,2.11,0.712,1,"lm.nb","NM_002053.2:1838"
