raid,name,address,countryname,statename,countyname,cityname,zip,lat,lon,email,phone,website,facebook,instagram,twitter,linkedin
1255bf7316c96acf03f8cab2ba13df5b,Massachusetts Cannabis Business Association,"Cambridge Innovation Center (CIC), One Broadway, 14th floor",US,MA,Middlesex,Cambridge,02142,42.361471,-71.081994,david.obrien@masscba.com,(617) 784-2088,https://www.masscba.com/,https://www.facebook.com/profile.php?id=100075457557138,,,https://www.linkedin.com/company/masscba/about/
13021d9137059119f9e2dda32d063761,Vermont Cannabis Trades Association (VCTA),,US,VT,,,,,,,,https://vctatoday.org/,https://www.facebook.com/Vermont-Cannabis-Trades-Association-1777324725917993,,,
131cff9b9fdc998484d334331bd23591,The Cannabis Distribution Association (CDA),"1127-11th Street, Suite 609",US,CA,Sacramento,Sacramento,95814,38.580568,-121.49559,membership@distributeca.org,916-304-4714,https://www.distributeca.org/,https://www.facebook.com/distributeca/,https://www.instagram.com/distributeca/,,https://www.linkedin.com/company/distributeca/
136880367f99124257bd98645fe4fab5,Kansas Cannabis Business Association (KSCBA),7201 W 80th Street 304,US,KS,Johnson,Overland Park,66204,38.990381,-94.678214,kscba.info@gmail.com,(913) 200-5223,https://kscba.org/,https://www.facebook.com/kscba,https://www.instagram.com/kscbaorg/,https://twitter.com/kscba,https://www.linkedin.com/company/kscba/
13922ed13dbf7c77307588968755cd73,Illinois Craft Cannabis Association (ICCA),,US,IL,,,,,,,,https://www.ilcraft.org/,https://www.facebook.com/groups/997797970645907,,https://twitter.com/ilcraftcannabis?lang=en,
161e490546998c8677d40ac1bce70f5e,Colorado Hemp Association,60799 Salt Creek Rd,US,CO,Mesa,Collbran,81624,39.199484,-107.706269,admin@thecohia.org,,https://coloradohempassociation.org/,https://www.facebook.com/ColoradoHA/,https://www.instagram.com/cohempassociation/,,https://www.linkedin.com/company/68177982/admin/
17bc85050d28c416c8f2b2124137662e,Maryland Wholesale Medical Cannabis Trade Association (CANMD),,US,MD,,,,,,info@canmd.org,,https://www.canmd.org/,https://www.facebook.com/MWMCTA,,https://twitter.com/MWMCTA,https://www.linkedin.com/company/canmd/
18c0b4f294cf12f5951c93dc3b0e587e,Maryland Cannabis Industry Association (MDCIA),267 Kentlands Blvd #1080,US,MD,Montgomery,Gaithersburg,20878,39.112821,-77.250504,support@mdcia.org,(800) 862-4814,http://mdcia.org/,https://www.facebook.com/MDCIAorg,,,
192a7a19ffe342c622f7e9a5d0d51816,National Cannabis Industry Association (NCIA),"3845 Tennyson St. Ste 170 Denver, CO 80212",US,CO,Denver,Denver,80212,39.772047,-105.048027,info@thecannabisindustry.org,(888) 683-5650,https://thecannabisindustry.org,https://www.facebook.com/TheNCIA,https://www.instagram.com/nationalcannabisindustry/,https://twitter.com/NCIAorg,https://www.linkedin.com/company/national-cannabis-industry-association/
1afbdae11b457bfdbc8bf380cfd37684,Cannabis Regulators Association,,US,,,,,,,info@cann-ra.org,,https://www.cann-ra.org/,,,https://twitter.com/CannRegulators,https://www.linkedin.com/company/cannabis-regulators-association-cannra/
1e345f58ecde36bb79d3261037ba44da,Southern California Coalition,"241 S Figueroa St Ste 100, Los Angeles, California, 90012, United States",US,CA,Los Angeles,Los Angeles,90012,34.065975,-118.238642,,844-588-0880,http://southerncaliforniacoalition.com,http://www.facebook.com/southerncaliforniacoalition,,https://twitter.com/socalcoalition?lang=en,http://www.linkedin.com/company/southern-california-coalition
1f5f6d9f4c89dc98476b2f6c810e5acd,Napa Valley Cannabis Association,P.O. Box 78,US,CA,Napa,Rutherford,94573,38.458864,-122.428831,info@napavalleycannabisassociation.org,,https://napavalleycannabisassociation.org/,https://www.facebook.com/TheNVCA/,https://www.instagram.com/napavalleycannabis/?hl=en,https://twitter.com/CannabisNapa,https://www.linkedin.com/company/napa-valley-cannabis-association/
1ff0389b2e74be3c3966a326f1cd4a03,Mississippi Medical Marijuana Association,,US,MS,,,,,,info@medicalmarijuanams.com,(769) 208-3608,https://www.medicalmarijuanams.com/,https://www.facebook.com/MSMedMarAssociation,https://www.instagram.com/medmarijuanams/,https://twitter.com/medmarijuanams,https://www.linkedin.com/company/medical-marijuana-ms/
2179a21f7858f1251e58b458bd3235c7,Marijuana Industry Group (MIG),PO Box 342,US,CO,Jefferson,Wheat Ridge,80034,,,admin@marijuanaindustrygroup.org,720-382-3009,https://www.marijuanaindustrygroup.org,https://www.facebook.com/Marijuana-Industry-Group-132534240132046,,https://twitter.com/MJIndGroup,https://www.linkedin.com/company/marijuana-industry-group
21edf8a781e92a49699236e73a25fe47,National Association of Cannabis Businesses (NACB),17145 West Bluemound Road Suite J-281 Brookfield WI 53005,US,WI,Waukesha,Brookfield,53005,43.062401,-88.098804,info@nacb.com,(720) 926-6881,https://nacb.com,https://www.facebook.com/TheNACB/,,https://twitter.com/TheNACB,https://www.linkedin.com/company/nationalassociationofcannabisbusinesses/
231d1f27b9848a527a028e72fb7ce833,Florida Cannabis Business Alliance (FCBA),,US,FL,,,,,,,,https://www.medicaljane.com/directory/company/florida-cannabis-business-alliance/,https://www.facebook.com/floridacba,,https://twitter.com/flmedcannabis,
240ab48473d8b6587a1a6c4bc02ba806,Massachusetts Medical Marijuana Dispensers' Association (MMDA),"188 Needham Street, Suite 110R",US,MA,Middlesex,Newton,02464,42.312975,-71.218882,info@baystatemedicalcannabis.com ,617-431-7530,https://www.baystatecannabisgrowers.com/,,,,
24fb3edf3330e98c835155367adda729,Oregon Retailers of Cannabis Association (ORCA),PO Box 42516,US,OR,Multnomah,Portland,97242,45.5,-122.65,"info@oregoncannabisretailers.com, staff@oregoncannabisretailers.com",(541) 632-4442,https://oregoncannabisretailers.org/,https://www.facebook.com/OregonPotStores/,https://www.instagram.com/oregonpotstores/,https://twitter.com/OregonPotStores,https://www.linkedin.com/company/cannabis-industry-alliance-of-oregon/
26b1f43e39e09e1be7787dc98cb980c4,Humboldt County Growers Alliance (HCGA),"427 F Street, Suite 237",US,CA,Humboldt,Eureka,95501,40.798659,-124.151583,info@hcga.co,(707) 599-6670,https://www.hcga.co/,https://www.facebook.com/HumboldtGrowers,https://www.instagram.com/hcga_humboldt/,,
27a7f4d22b2c880e9d8e9e8edb8198aa,Marijuana Industry Trade Association (MITA),410 W. 1st St Suite 104,US,AZ,Maricopa,Tempe,85281,33.42744,-111.934004,info@mita-az.org,520-909-4334,https://mita-az.org,https://www.facebook.com/mitaarizona,https://www.instagram.com/mitaarizona/,,https://www.linkedin.com/company/mita-usa/
296671cb53d2ad73b9313fd85bfd9428,Thai Cannabis Industry Association,"Bangkok 10500, TH",TH,,,,,,,secretariat@thai-can.org,,https://www.thai-can.org/,https://www.facebook.com/ThaiCanIA/,,https://twitter.com/Thai_Cannabis,https://www.linkedin.com/company/thai-cannabis-industry-association/
29916aa89237daf3638eb6afd4398a65,California Cannabis Manufacturers Association,,US,CA,,,,,,,,https://cannabismanufacturers.org,,,,https://www.linkedin.com/company/california-cannabis-manufacturers-association/
2bf13f5582e70338c8d28aafd82f3c95,Women's Cannabis Chamber of Commerce (WCCC),,US,CO,Denver,Denver,80211,39.767444,-105.019736,womenscannabischamber@gmail.com,+1 720-557-5237,https://womenscannabischamberofcommerce.com/,https://www.facebook.com/womenincommerce/,https://www.instagram.com/womenscannabischamber/,https://twitter.com/women420chamber,https://www.linkedin.com/company/women's-cannabis-chamber-of-commerce/
2c8212a6b15798061909659c1b070c53,Spokane Cannabis Association,,US,WA,,,,,,,,,,,,
2d5429ae3fda4c6de609d3d2c4c43170,Arizona Dispensaries Association (ADA),7014 E Camelback Rd,US,AZ,Maricopa,Scottsdale,85251,33.493513,-111.919239,info@azdispensaries.org,602-741-0866,https://azdispensaries.org/,https://www.facebook.com/AZ.dispensaries/,https://www.instagram.com/az_dispensaries/,@ADA_Arizona,https://www.linkedin.com/company/arizonadispensaries/
2e28101f4b3fcffd841b9481714c1ee3,Arizona Cannabis Nurses Association (AZCNA),5505 E. Paseo Cimmeron,US,AZ,Pima,Tucson,85750,32.300129,-110.835996,cannabisnurseheather@gmail.com,(505)716-6016,http://azcna.com,https://www.facebook.com/azcannanurses,,,
30128c77fc63ce1927c29c91cce3f332,Florida Cannabis Industry Association,,US,FL,,,,,,,,,https://www.facebook.com/fmcia.org/,,,
311aa1e5efa6b055e329a88e478b829e,San Luis Obispo County Cannabis Business Association,,US,CA,,San Luis Obispo,,,,,,https://slogrow.org/,,,,
3158d7d552e9856bd2bb137a95f74eeb,Medical Cannabis Association of Hawaii,,US,HI,,,,,,,,,,,,
316ce8f6db52031e9356b057eaf8dd35,Cannabis Retailers Association Vermont,,US,VT,,,,,,,,https://crvt.org/,,https://www.instagram.com/c.r.a.vt/,,
31a13dc93bfde79a390c979dd28db8ff,Louisiana Cannabis Association,,US,LA,,,,,,,,https://www.louisianacannabis.org/,https://www.facebook.com/permalink.php?story_fbid=1889034537937268&id=272033552970716,,,
31adbdf1359fad723f6ea5f8ffc0ebcf,Montana Cannabis Industry Association,"175 Hutton Ranch Rd 103, PMB 120",US,MT,Flathead,Kalispell,59901,48.229649,-114.385053,,,https://www.mtcia.org/,https://www.facebook.com/mtcia,,https://twitter.com/mtciamontana,
32d5abe7c366424564818664187b2b90,Marijuana Business Association (MJBA),"520 Pike Street, Suite 2500",US,WA,King,Seattle,98101,47.610902,-122.336422,info@mjba.net,425.877.3317,https://mjba.net,https://www.facebook.com/MJHeadlineNews,https://www.instagram.com/theMJBA/,https://twitter.com/MJBAnet,https://www.linkedin.com/company/marijuana-business-association/
35c897bbe785534bca58de5bcbd5882b,Nebraska Cannabis Association (NCA),,US,NE,,,,,,connect@nebraskacannabis.org,,https://www.nebraskacannabis.org/,,,,https://www.linkedin.com/company/nebraska-cannabis-association/
3667de75594ad20fd86d1e9f44531af6,Cannabis Industry Association of South Dakota (CIASD),"106 W Capitol Ave, Suite 4, Pierre, SD 57501",US,SD,Hughes,Pierre,57501,44.5276,-100.309037,comms@ciasd.com,,https://ciasd.com/,,,,
37cdb68324172a508935aeb6bd2b75a3,Association of Cannabis Professionals (ACP),750 B Street,US,CA,San Diego,San Diego,92101,32.724103,-117.170912,info@cannabisprofessionals.org,(858) 779-4215,https://cannabisprofessionals.org/,https://www.facebook.com/TheNCIA,https://www.instagram.com/nationalcannabisindustry/,https://twitter.com/NCIAorg,https://www.linkedin.com/company/national-cannabis-industry-association/
3a22139e6161ec740b5336859c613ee2,Missouri Medical Cannabis Trade Association (MoCann Trade),"131 W. High Street, #164",US,MO,Cole,Jefferson City,65102,,,director@mocanntrade.org,(800) 766-0599,https://www.mocanntrade.org/cpages/home,https://www.facebook.com/mocanntrade,https://www.instagram.com/mocanntrade/,https://twitter.com/mocanntrade,https://www.linkedin.com/company/mocanntrade/
3aa003db3b12f026acfcbc690956248a,Georgia Cannabis Trade Association (GA-CTA),"800 International Tower, 229 Peachtree Street NE",US,GA,Fulton,Atlanta,30303,33.753259,-84.389953,zane@ga-cta.org,,https://ga-cta.org/,,,,
3b448398dad0c1f8ec73a4d94ecbf278,Ohio Hemp Association,"35 North Fourth Street, Suite 340",US,OH,Franklin,Columbus,43215,39.966856,-83.01296,info@ohiohempassoc.org,,https://www.ohiohempassoc.org/,https://www.facebook.com/OhioHempAssociation/,,,
3b4e6aa2d0b481411bde2863592ca170,Medical Cannabis Alliance of Illinois,,US,IL,,,,,,,,https://ilcannabismd.com/,,,,
3cc0aa88aed20b405b51f82c5e2ebd12,Oklahoma Women Cannabis Association,,US,OK,,,,,,,,https://www.okwomencann.com/,https://www.facebook.com/events/bubbas-brewhouse/oklahoma-women-cannabis-association/1358627024284689/,https://www.instagram.com/okwecann/,,
3fac4a2dcd813e052b049e262690f5c2,DC Cannabis Business Association (DCCBA),,US,MD,,D.c.,,,,info@dccannabisbusinessassociation.org,,https://www.dccannabisbusinessassociation.org/,https://www.facebook.com/profile.php?id=100068836662805,https://www.instagram.com/dc_cba/,https://twitter.com/DCCBA_,https://www.linkedin.com/company/dccba/
41e9abbf66daac1bc561a8dcda9911e0,Hemp Alliance of Tennessee (HAT),,US,TN,,,,,,info@yourhat.org,,https://www.yourhat.org/,https://www.facebook.com/hempalliancetn,https://www.instagram.com/hempalliancetn/,https://twitter.com/hempalliancetn,https://www.linkedin.com/company/yourhat/
4288c2dbbfe7cb2f30fbb1a6d6923539,Washington CannaBusiness Association (WACA),"PO Box 3329, Kirkland, WA 98083, United States",US,WA,King,Kirkland,98083,,,info@wacannabusiness.org,360-870-7024,https://www.wacannabusiness.org/,https://www.facebook.com/wacannabusiness,https://www.instagram.com/wacannabiz/?hl=en,https://twitter.com/wacannabusiness,
449e150d32805c5a7bee5f60c8761431,Cannabis Beverage Association (CBA),"2511 Connie Drive, Suite 110, Sacramento, CA 95815",US,CA,Sacramento,Sacramento,95815,38.605407,-121.447593,info@cannabev.org,,https://cannabisbeverageassociation.org/,https://www.facebook.com/CannBevAssociation/,https://www.instagram.com/cannbevassociation/,https://twitter.com/CannBev,https://www.linkedin.com/company/cannabisbeverageassociation/
47d564fed3db26adbddc0157b4bffe8f,Asian Americans for Cannabis Education,201 Spear St Ste 1100,US,CA,San Francisco,San Francisco,94105,37.789864,-122.393665,"ophelia@askophelia.com, hello@stockpotimages.com",(415) 480-7956,http://www.asianamericansforcannabis.org/,https://www.facebook.com/AACEit/,,https://twitter.com/AACEit,"1. https://www.linkedin.com/company/asian-americans-for-cannabis-education/
2. https://www.linkedin.com/in/opheliachong/"
494e4a75312cef2c77162ad66a299cb1,DC Medical Cannabis Trade Association (DCMCTA),,US,DC,,,,,,,,,,,,
4b1954e8ae3af65f5e221b36109aa755,Cannabis Council of Canada,"111 Albert Street, P.O Box: 81071",CAN,ON,,Ottawa,K1P 1,,,hello@cannabis-council.ca,(647) 206-1231,https://cannabis-council.ca,,,https://twitter.com/Cannabis_Canada,https://www.linkedin.com/company/cannabis-canada
4d2c81dc037ca9c498059ad6e747cd8c,Resource Innovation Institute,PO Box 5981,US,OR,Multnomah,Portland,97228,,,executivedirector@resourceinnovation.org,503-201-5157,https://resourceinnovation.org/,https://www.facebook.com/ResourceInnovationInstitute/,https://www.instagram.com/ResourceInnovation/,https://twitter.com/RIInstitute,https://www.linkedin.com/company/resource-innovation-institute/
5104a69fb7e715c0f580c4ebb15fd33b,Missouri Cannabis Industry Association (MCIA),"131 W. High Street, #164",US,MO,Cole,Jefferson City,65102,,,director@mocanntrade.org,(800) 766-0599,https://www.mocanntrade.org/cpages/home,https://www.facebook.com/mocanntrade,https://www.instagram.com/mocanntrade/,https://twitter.com/mocanntrade,https://www.linkedin.com/company/mocanntrade/
545c8357ed2030c94039a86d446bc6dd,Alabama Cannabis Industry Association,25778 John M Snook Dr #1061,US,AL,Baldwin,Orange Beach,36561,30.288702,-87.571504,alabamacia@gmail.com,(205) 644-1824,https://www.bamacannabis.org/,https://www.facebook.com/ALABAMACIA,,,https://www.linkedin.com/company/alabama-cannabis-industry-association/
548c0612ce9dbdee0a426080df6de5da,Nevada Cannabis Association,,US,NV,Clark,Las Vegas,89101,36.172547,-115.122234,info@nvdispense.com,702-483-7255,https://www.nvdispense.com/,https://www.facebook.com/nvcannorg,https://www.instagram.com/nvcannorg/,http://www.twitter.com/nvcannorg,https://www.linkedin.com/company/nvcannorg/
56066f710e550592fea23c28a16cd218,Minority Cannabis Business Association,"1300 I Street, NW Suite 400 E",US,DC,District Of Columbia,Washington,20005,38.904674,-77.031578,"info@minoritycannabis.org, amber@minoritycannabis.org",202-681-2889,https://minoritycannabis.org/,https://www.facebook.com/MCBA.org/,https://www.instagram.com/minoritycannabis/,https://twitter.com/MinCannBusAssoc,"1. https://www.linkedin.com/company/minority-cannabis/
2. https://www.linkedin.com/in/kalikocastille/ (MCBA President)"
5ac18c18e112b064f559d8d1e2906a40,Oklahoma Cannabis Industry Association (OCIA),1120 Northwest 51st Street,US,OK,Oklahoma,Oklahoma City,73118,35.517968,-97.528718,kalin@newhealthok.com,"(405) 470-9815, 405-514-9807",https://www.okcannabisassociation.com/,https://www.facebook.com/okcannabizassociation/,https://www.instagram.com/okcannabisindustryassociation/,https://twitter.com/OklahomaCanna,https://www.linkedin.com/company/oklahoma-cannabis-industry-association/about/
5c64437e35499fe86937aa0c17b4210c,America Cannabis Nurses Association,200 East Holly Ave Sewell,US,NJ,Gloucester,Sewell,08080,39.757432,-75.121872,info@cannabisnurses.org,+1 518-704-3635,https://www.cannabisnurses.org/,https://www.facebook.com/WeareACNA,https://www.instagram.com/acnanurses/,https://twitter.com/CannabisNurses,https://www.linkedin.com/company/american-cannabis-nurses-association/
5e320db12f6390467d5d4683f9facc9c,California Cannabis Couriers Association,8175 Alpine Ave Ste C,US,CA,Sacramento,Sacramento,95826,38.543754,-121.377692,cccadelivers@gmail.com,,http://CCCAdelivers.com/,,https://www.instagram.com/cccadelivers/,,
5e740d609b9158cb3844463e59787b62,Hemp Industries Association (HIA),15640 NE 4th Plain Blvd Ste 106 #222,US,WA,Clark,Vancouver,98682,45.673209,-122.481745,info@thehia.org,(707) 874-3648,https://thehia.org,https://www.facebook.com/thehia/,https://www.instagram.com/hempindustriesassociation/,https://twitter.com/thehia,https://www.linkedin.com/company/hemp-industries-association/
5fa9f1eb037c405445b2d0176c8bb077,Ohio Medical Cannabis Industry Association (OMCIA),"140 E. Town Street, Suite 142",US,OH,Franklin,Columbus,43215,39.966856,-83.01296,info@ohiomcia.com,614.404.2224,https://ohiomcia.com/,https://www.facebook.com/profile.php?id=100079751110327,https://www.instagram.com/ohiomcia/,https://twitter.com/OhioMCIA,https://www.linkedin.com/in/ohio-mcia-74207822b/
5fcfe9570811fc9e1ba95ced982c8343,Northern California Cannabis Alliance,"520 CAPITOL MALL, SACRAMENTO, CA 95814",US,US,Sacramento,California,95814,38.580568,-121.49559,,(916) 750-5184,https://www.norcalca.org,,,,https://www.linkedin.com/company/norcalca/?trk=similar-pages
6261e0a768fbb4e0f4f309a43ef2eb65,Organic Cannabis Association,"22144 Clarendon Street, Suite 280,",US,CA,Los Angeles,Woodland Hills,91367,34.177311,-118.615704,jenn@infocastevents.com,(818) 888-4444,https://infocastinc.com/supporting/organic-cannabis-association/,https://www.facebook.com/infocastinc/?ref=settings,,https://twitter.com/infocast_events,https://www.linkedin.com/company/infocast/
651b09a8386a7184c59a29a864487375,Kansas Cannabis Chamber of Commerce,8101 College Boulevard Suite 100,US,KS,Johnson,Overland Park,66210,38.922144,-94.704779,kansascannabischamber@gmail.com,,https://www.kansascannabischamber.com/,https://www.facebook.com/kscannachamber,https://www.instagram.com/kansascannabischamber/,https://twitter.com/kansascannabischamber,
6560d9d69d63e0087422a8c112a1319c,Missouri Cannabis Industry Association (MoCIA),"503 E. Nifong Blvd., Suite H 308",US,MO,Boone,Columbia,65201,38.900944,-92.238425,"info@mocia.org, membership@mocia.org",(573) 443-6866,https://www.mocia.org/cpages/home,https://www.facebook.com/MissouriCIA/,,https://twitter.com/MOCIAOrg/status/1102596523437768704,
665f10aa2c1e0f6b9b0d74adb3203971,Colorado Cannabis Chamber of Commerce,1600 Broadway Suite 1350,US,CO,Denver,Denver,80202,39.751907,-104.997633,info@thecannabischamber.com,(888) 860-3949,https://www.cocannabischamber.com/,,,,
68fc5ef1db4b894574fb1dc3b2b5b35e,Washington Sun & Craft Growers Association,"P.O. Box 57, Riverside, WA 98849",US,WA,Okanogan,Riverside,98849,48.54099,-119.409523,"wasungrown@gmail.com, membership@sunandcraft.org",,https://www.sunandcraft.org/,https://www.facebook.com/CannObserv,https://www.instagram.com/CannObserv/,,
6b786e5dccb98205e8663cf9132de328,Pennsylvania Medical Cannabis Association,,US,PA,,,,,,,,,,,,
6dd1a552d0a9cb64e035ccf90bd5a701,Cannabis Business Alliance,,US,CO,,,,,,,,https://cannabisalliance.org,http://www.facebook.com/CannabisAlliance-107474180756813/,,http://twitter.com/canna_alliance,https://www.linkedin.com/company/cannabis-business-alliance/
6e62dd8e3aee254c09371bb2a9d602d7,California Growers Association,,US,CA,,,,,,,,https://thecannabisindustry.org/pr_tag/california-growers-association-cga/,,https://www.instagram.com/calgrowers/?hl=en,,
6eb54b0d4034124a29e89916b7469c91,Alaska Marijuana Industry Association (AMIA),PO Box 190283,US,AK,North Slope Borough,Anchorage,99519,69.216237,-146.787467,,907-301-6551,https://alaskamia.org,,https://www.instagram.com/alaska.m.i.a/,https://twitter.com/AK_MJ_Industry,
6fd872b5c961868591853a70fbd656cc,Delaware Cannabis Advocacy Network,PO Box 1625,US,DE,Kent,Dover,19903,,,info@delawarecannabis.org,302-404-4208,https://delawarecannabis.org/,https://www.facebook.com/DelawareCANorg/,https://www.instagram.com/delawarecanorg/?hl=en,https://twitter.com/delawareCANorg,https://www.linkedin.com/feed/
713cb280a47c89c63fbeff574252d334,NM Independent Cannabis Association,,US,NM,,,,,,,,,https://www.facebook.com/groups/nmindca/,,,
71b7894185410b0d39e42d891695a91a,Southern California Trade Coalition,"241 S Figueroa St Ste 100, Los Angeles, California, 90012, United States",US,CA,Los Angeles,Los Angeles,90012,34.065975,-118.238642,,844-588-0880,http://southerncaliforniacoalition.com,,,https://twitter.com/socalcoalition?lang=en,
7243544cc94addabd531a5df5cada036,Massachusetts Grower Advocacy Council (MGAC),9 Coram St,US,MA,Bristol,Taunton,02780,41.909112,-71.118346,massgrowers@gmail.com,(774) 322-6045,https://masssense.org/,https://www.facebook.com/MassachusettsGrowerAdvocacyCouncil/,,https://twitter.com/massgrowers/,
72891ef75d66d7e0edc92b24d19996e8,South Carolina Cannabis Association (SCCA),,US,SC,,,,,,matt@pushdigital.com,(803) 546-4177,https://sccannabisassociation.org/,https://www.facebook.com/groups/259021931665053/,,,
734333edde7441c8be266b4835a3ef51,Cannabis Trade Federation,1100 H ST NW STE 410,US,DC,District Of Columbia,Washington,20005,38.904674,-77.031578,,,https://www.cannabistradefederation.com/,,,https://twitter.com/cantradefed,https://www.linkedin.com/company/cannabis-trade-federation/
7570f8d406e5eba427a6bc7979108718,Compassionate Caregivers of Maine,87 Western Ave,US,ME,,Augusta,,,,greenportmeds@gmail.com,+1 207-480-1698,https://ccforme.com,https://www.facebook.com/p/Compassionate-Caregivers-of-Maine-100057206210284/,,,
762b5474b06a89aa9b77cef00a1021c6,Arkansas Cannabis Industry Association,"221 W 2nd Street, Suite 631",US,AR,Pulaski,Little Rock,72201,34.746905,-92.280049,info@arcannabis.org,(844)-420-2242,https://arcannabis.org/,https://www.facebook.com/ArkansasCannaIndustryAssociation,,https://twitter.com/ArkCannabisInd,
762b90ebc7c4af9b59ef85593e7899ae,Commonwealth Dispensary Association,250 Washington Street,US,MA,,Boston,,,,info@cdama.org,,,https://www.facebook.com/CDAMAorg/,,,https://www.linkedin.com/company/commonwealth-dispensary-association-inc/
