"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"C1QB-mRNA",-4.27,0.756,-5.76,-2.79,0.0517,0.0185,0.144,3e-06,0.00059,"lm.nb","NM_000491.3:816"
"EGR1-mRNA",-1.88,0.336,-2.54,-1.22,0.271,0.172,0.428,3.38e-06,0.000623,"lm.nb","NM_001964.2:2034"
"WDR76-mRNA",1.68,0.308,1.08,2.29,3.21,2.11,4.88,5.25e-06,0.00091,"lm.nb","NM_024908.3:1875"
"CSF1R-mRNA",-3.81,0.706,-5.19,-2.43,0.0713,0.0273,0.186,6.21e-06,0.00102,"lm.nb","NM_005211.3:958"
"HLA-B-mRNA",-1.9,0.354,-2.6,-1.21,0.268,0.165,0.433,6.72e-06,0.00104,"lm.nb","NM_005514.6:1247"
"TMEM173-mRNA",-2.45,0.484,-3.4,-1.51,0.183,0.0947,0.352,1.61e-05,0.00237,"lm.nb","NM_198282.1:725"
"APOE-mRNA",-3.34,0.669,-4.65,-2.03,0.0988,0.0398,0.245,2.06e-05,0.0028,"lm.nb","NM_000041.2:96"
"FLT1-mRNA",-4.78,0.959,-6.66,-2.9,0.0365,0.00992,0.134,2.09e-05,0.0028,"lm.nb","NM_002019.4:530"
"CDKN1C-mRNA",-2.63,0.534,-3.68,-1.59,0.161,0.078,0.333,2.43e-05,0.00312,"lm.nb","NM_000076.2:1605"
"CD14-mRNA",-3.56,0.726,-4.99,-2.14,0.0845,0.0315,0.227,2.6e-05,0.0032,"lm.nb","NM_001174105.1:1020"
"CD74-mRNA",-2.65,0.545,-3.72,-1.58,0.16,0.0761,0.335,3e-05,0.00354,"lm.nb","NM_001025159.2:1161"
"CEBPB-mRNA",-1.32,0.276,-1.86,-0.781,0.4,0.275,0.582,3.66e-05,0.00415,"lm.nb","NM_005194.3:1731"
"FUT4-mRNA",1.73,0.367,1.02,2.45,3.33,2.02,5.48,4.36e-05,0.00476,"lm.nb","NM_002033.3:1151"
"MAP3K8-mRNA",-1.57,0.334,-2.23,-0.918,0.336,0.213,0.529,4.65e-05,0.0049,"lm.nb","NM_001244134.1:493"
"B2M-mRNA",-1.87,0.403,-2.66,-1.08,0.273,0.158,0.472,5.56e-05,0.00565,"lm.nb","NM_004048.2:573"
"IFI6-mRNA",-2.7,0.586,-3.85,-1.55,0.154,0.0693,0.341,6.19e-05,0.00608,"lm.nb","NM_002038.3:410"
"BIRC3-mRNA",2.19,0.49,1.23,3.15,4.55,2.34,8.87,9.44e-05,0.00898,"lm.nb","NM_001165.4:6567"
"CYBB-mRNA",-3.18,0.716,-4.58,-1.78,0.11,0.0417,0.292,9.94e-05,0.00915,"lm.nb","NM_000397.3:1034"
"ZEB2-mRNA",-2.19,0.499,-3.17,-1.21,0.219,0.111,0.431,0.000114,0.0101,"lm.nb","NM_001171653.1:1879"
"HLA-A-mRNA",-1.67,0.382,-2.42,-0.927,0.313,0.187,0.526,0.000116,0.0101,"lm.nb","NM_002116.7:298"
"LY96-mRNA",-3.57,0.826,-5.19,-1.95,0.084,0.0273,0.258,0.000139,0.0117,"lm.nb","NM_001195797.1:135"
"HLA-F-mRNA",-2.08,0.487,-3.04,-1.13,0.236,0.122,0.457,0.000159,0.013,"lm.nb","NM_001098479.1:285"
"CX3CL1-mRNA",-1.86,0.436,-2.71,-1,0.276,0.152,0.499,0.000167,0.0131,"lm.nb","NM_002996.3:1850"
"CD69-mRNA",-2.76,0.648,-4.03,-1.49,0.148,0.0612,0.356,0.000169,0.0131,"lm.nb","NM_001781.2:88"
"CCL7-mRNA",2.78,0.663,1.48,4.08,6.87,2.79,16.9,0.000202,0.015,"lm.nb","NM_006273.3:588"
"HES1-mRNA",-1.24,0.296,-1.82,-0.66,0.423,0.283,0.633,0.000205,0.015,"lm.nb","NM_005524.2:860"
"HLA-C-mRNA",-1.5,0.359,-2.21,-0.799,0.353,0.217,0.575,0.000208,0.015,"lm.nb","NM_002117.4:898"
"DTX4-mRNA",2.68,0.651,1.4,3.96,6.4,2.64,15.5,0.000255,0.0179,"lm.nb","NM_015177.1:4820"
"GBP2-mRNA",-1.92,0.469,-2.84,-1,0.265,0.14,0.5,0.00027,0.0185,"lm.nb","NM_004120.4:1744"
"HLA-DRB1-mRNA",-3.65,0.9,-5.41,-1.89,0.0796,0.0234,0.27,0.000296,0.0198,"lm.nb","NM_002124.3:1016"
"FCGR2A-mRNA",-3.23,0.799,-4.79,-1.66,0.107,0.036,0.316,0.000314,0.0205,"lm.nb","NM_021642.3:60"
"HLA-DMB-mRNA",-1.63,0.405,-2.42,-0.836,0.323,0.186,0.56,0.000329,0.0211,"lm.nb","NM_002118.3:20"
"IFITM1-mRNA",-2.79,0.696,-4.15,-1.42,0.145,0.0563,0.373,0.000344,0.0216,"lm.nb","NM_003641.3:536"
"IFIT1-mRNA",-2.62,0.66,-3.91,-1.32,0.163,0.0664,0.4,0.000388,0.0238,"lm.nb","NM_001270930.1:1675"
"HLA-DRB5-mRNA",-3.79,0.966,-5.68,-1.89,0.0725,0.0195,0.27,0.000442,0.0266,"lm.nb","NM_002125.3:135"
"NFIL3-mRNA",-1.73,0.451,-2.61,-0.846,0.302,0.163,0.556,0.000555,0.0325,"lm.nb","NM_001289999.1:1466"
"LYZ-mRNA",-3.45,0.901,-5.22,-1.69,0.0914,0.0269,0.311,0.000563,0.0325,"lm.nb","NM_000239.2:381"
"TLR3-mRNA",-1.12,0.294,-1.7,-0.548,0.459,0.308,0.684,0.000577,0.0327,"lm.nb","NM_003265.2:37"
"IFITM2-mRNA",-1.19,0.313,-1.8,-0.573,0.439,0.287,0.672,0.00063,0.035,"lm.nb","NM_006435.2:390"
"IRF1-mRNA",-1.84,0.49,-2.81,-0.884,0.278,0.143,0.542,0.000678,0.037,"lm.nb","NM_002198.2:557"
"CXCR4-mRNA",-2.82,0.751,-4.29,-1.35,0.142,0.0511,0.393,0.000698,0.0374,"lm.nb","NM_001008540.1:1060"
"FYN-mRNA",-2.35,0.639,-3.6,-1.1,0.196,0.0824,0.467,0.000855,0.045,"lm.nb","NM_002037.5:2125"
"SPRY4-mRNA",-2.82,0.77,-4.33,-1.31,0.142,0.0499,0.404,0.000906,0.0469,"lm.nb","NM_030964.3:1900"
"IFNGR1-mRNA",-4.07,1.15,-6.32,-1.82,0.0596,0.0125,0.283,0.00122,0.0622,"loglinear","NM_000416.2:1025"
"ADM-mRNA",-1.89,0.539,-2.95,-0.838,0.269,0.13,0.559,0.00133,0.0666,"lm.nb","NM_001124.2:1413"
"IFI16-mRNA",-1.18,0.341,-1.85,-0.513,0.441,0.277,0.701,0.00154,0.0756,"lm.nb","NM_001206567.1:2351"
"CCL4-mRNA",-3.09,0.896,-4.84,-1.33,0.118,0.0349,0.398,0.00163,0.0786,"lm.nb","NM_002984.2:35"
"P4HA1-mRNA",-0.785,0.229,-1.23,-0.336,0.58,0.425,0.792,0.0017,0.0806,"lm.nb","NM_000917.3:805"
"TMEM140-mRNA",-1.66,0.487,-2.62,-0.708,0.316,0.163,0.612,0.00176,0.0824,"lm.nb","NM_018295.3:377"
"LILRA1-mRNA",2.23,0.682,0.895,3.57,4.7,1.86,11.9,0.00256,0.118,"lm.nb","NM_001278318.1:486"
"TGFBR1-mRNA",-0.781,0.24,-1.25,-0.31,0.582,0.42,0.807,0.00272,0.123,"lm.nb","NM_001130916.2:3011"
"SAMD9-mRNA",-1.24,0.384,-1.99,-0.483,0.425,0.252,0.716,0.00296,0.132,"lm.nb","NM_017654.3:490"
"CTSS-mRNA",-1.77,0.557,-2.86,-0.679,0.293,0.138,0.625,0.00327,0.142,"lm.nb","NM_004079.3:685"
"GLUD1-mRNA",-1.49,0.47,-2.42,-0.573,0.355,0.187,0.672,0.00328,0.142,"lm.nb","NM_005271.2:2680"
"S100A9-mRNA",-2.22,0.701,-3.59,-0.842,0.215,0.083,0.558,0.00343,0.146,"lm.nb","NM_002965.3:137"
"TREM2-mRNA",-2.31,0.739,-3.76,-0.865,0.201,0.0738,0.549,0.0037,0.156,"lm.nb","NM_018965.3:848"
"BAMBI-mRNA",-1.53,0.488,-2.48,-0.569,0.347,0.179,0.674,0.00377,0.156,"lm.nb","NM_012342.2:824"
"TGFBR2-mRNA",-1.63,0.528,-2.67,-0.597,0.323,0.158,0.661,0.00412,0.167,"lm.nb","NM_001024847.2:870"
"PVR-mRNA",1.13,0.365,0.412,1.84,2.19,1.33,3.59,0.00414,0.167,"lm.nb","NM_001135768.2:448"
"SERPINH1-mRNA",-2.25,0.746,-3.72,-0.794,0.21,0.0761,0.577,0.00488,0.194,"lm.nb","NM_001207014.1:1850"
"TTC30A-mRNA",0.683,0.226,0.239,1.13,1.6,1.18,2.18,0.00499,0.196,"lm.nb","NM_152275.3:2492"
"IFIH1-mRNA",-1.87,0.624,-3.09,-0.647,0.274,0.117,0.639,0.00524,0.203,"lm.nb","NM_022168.3:3250"
"RAD51C-mRNA",0.759,0.254,0.261,1.26,1.69,1.2,2.39,0.00535,0.203,"lm.nb","NM_058216.2:15"
"SLC2A1-mRNA",1.37,0.458,0.471,2.27,2.58,1.39,4.81,0.00536,0.203,"lm.nb","NM_006516.2:264"
"TNFSF13-mRNA",-1.84,0.638,-3.09,-0.585,0.28,0.118,0.667,0.00711,0.265,"lm.nb","NM_003808.3:810"
"VEGFA-mRNA",-1.37,0.477,-2.31,-0.434,0.387,0.202,0.74,0.00723,0.267,"lm.nb","NM_001171623.1:2212"
"BID-mRNA",1.09,0.382,0.344,1.84,2.13,1.27,3.58,0.00738,0.269,"lm.nb","NM_001196.3:1604"
"HK2-mRNA",-0.796,0.284,-1.35,-0.239,0.576,0.392,0.848,0.00859,0.309,"lm.nb","NM_000189.4:2883"
"KAT2B-mRNA",-0.994,0.357,-1.69,-0.294,0.502,0.309,0.815,0.00893,0.317,"lm.nb","NM_003884.4:1180"
"TNFRSF1A-mRNA",-1.2,0.433,-2.05,-0.352,0.435,0.242,0.784,0.00919,0.318,"lm.nb","NM_001065.2:515"
"IFIT2-mRNA",-1.82,0.656,-3.1,-0.532,0.284,0.116,0.692,0.00922,0.318,"lm.nb","NM_001547.4:1995"
"DEPTOR-mRNA",-1.28,0.461,-2.18,-0.373,0.412,0.22,0.772,0.00927,0.318,"lm.nb","NM_001283012.1:1141"
"IFNAR1-mRNA",-1.16,0.424,-1.99,-0.329,0.447,0.251,0.796,0.01,0.34,"lm.nb","NM_000629.2:461"
"BRIP1-mRNA",1.52,0.563,0.421,2.63,2.88,1.34,6.18,0.0108,0.361,"lm.nb","NM_032043.2:1570"
"KIR2DL3-mRNA",1.99,0.739,0.542,3.44,3.97,1.46,10.8,0.0112,0.368,"lm.nb","NM_015868.2:145"
"TYMP-mRNA",-0.921,0.342,-1.59,-0.25,0.528,0.332,0.841,0.0112,0.368,"lm.nb","NM_001113755.2:645"
"PPARGC1B-mRNA",1.7,0.634,0.454,2.94,3.24,1.37,7.66,0.0117,0.377,"lm.nb","NM_001172699.1:1010"
"ADAM12-mRNA",1.02,0.391,0.256,1.79,2.03,1.19,3.45,0.0135,0.432,"lm.nb","NM_003474.5:638"
"BCL2-mRNA",-1.85,0.708,-3.24,-0.461,0.278,0.106,0.727,0.0136,0.432,"lm.nb","NM_000633.2:1525"
"DAB2-mRNA",-1.02,0.392,-1.79,-0.248,0.494,0.29,0.842,0.0143,0.447,"lm.nb","NM_001244871.1:2475"
"HEY1-mRNA",-1.39,0.537,-2.44,-0.336,0.382,0.184,0.792,0.0145,0.447,"lm.nb","NM_001040708.1:1859"
"BRD4-mRNA",-3.2,1.24,-5.63,-0.772,0.109,0.0201,0.585,0.0146,0.447,"loglinear","NM_001330384.1:2083"
"IFIT3-mRNA",-1.66,0.65,-2.93,-0.388,0.316,0.131,0.764,0.0155,0.471,"lm.nb","NM_001031683.3:712"
"IFI35-mRNA",-1.51,0.596,-2.68,-0.346,0.35,0.156,0.787,0.0161,0.485,"lm.nb","NM_005533.4:729"
"STAT2-mRNA",-0.826,0.327,-1.47,-0.185,0.564,0.362,0.88,0.0167,0.494,"lm.nb","NM_005419.2:1965"
"TPSAB1/B2-mRNA",-2.28,0.903,-4.05,-0.509,0.206,0.0604,0.703,0.0168,0.494,"lm.nb","NM_003294.3:556"
"TAPBP-mRNA",-0.966,0.384,-1.72,-0.213,0.512,0.304,0.863,0.0172,0.499,"lm.nb","NM_003190.4:1082"
"TPI1-mRNA",-0.591,0.235,-1.05,-0.129,0.664,0.482,0.914,0.0173,0.499,"lm.nb","NM_000365.5:153"
"PALMD-mRNA",1.5,0.6,0.328,2.68,2.84,1.26,6.41,0.0174,0.499,"lm.nb","NM_017734.4:224"
"TLR1-mRNA",-1.79,0.717,-3.19,-0.381,0.29,0.109,0.768,0.0181,0.514,"lm.nb","NM_003263.3:696"
"ANGPTL4-mRNA",-1.76,0.711,-3.15,-0.366,0.295,0.112,0.776,0.0188,0.529,"lm.nb","NM_001039667.2:1088"
"FAM124B-mRNA",2.05,0.831,0.422,3.68,4.15,1.34,12.8,0.0191,0.531,"lm.nb","NM_001122779.1:1620"
"MX1-mRNA",-1.79,0.726,-3.21,-0.367,0.289,0.108,0.776,0.0193,0.531,"lm.nb","NM_001144925.2:1369"
"RICTOR-mRNA",-3.24,1.32,-5.83,-0.658,0.106,0.0176,0.634,0.0195,0.533,"loglinear","NM_001285439.1:117"
"CASP1-mRNA",-1.18,0.49,-2.14,-0.216,0.443,0.227,0.861,0.0224,0.605,"lm.nb","NM_001223.4:1050"
"VTCN1-mRNA",1.42,0.594,0.259,2.59,2.68,1.2,6.02,0.0226,0.605,"lm.nb","NM_001253849.1:871"
"MLH1-mRNA",0.481,0.201,0.0869,0.875,1.4,1.06,1.83,0.0228,0.605,"lm.nb","NM_000249.2:1605"
"ULBP2-mRNA",0.929,0.39,0.164,1.69,1.9,1.12,3.23,0.0234,0.607,"lm.nb","NM_025217.2:905"
"OAS1-mRNA",-1.62,0.681,-2.96,-0.286,0.325,0.129,0.82,0.0235,0.607,"lm.nb","NM_001032409.1:805"
"TBX21-mRNA",1.73,0.726,0.303,3.15,3.31,1.23,8.86,0.0235,0.607,"lm.nb","NM_013351.1:1380"
"SERPINA1-mRNA",-1.41,0.594,-2.57,-0.247,0.376,0.168,0.843,0.0237,0.607,"lm.nb","NM_001127702.1:963"
"IL15-mRNA",1.35,0.574,0.227,2.48,2.55,1.17,5.56,0.0248,0.63,"lm.nb","NM_000585.4:715"
"CXCL3-mRNA",-1.38,0.597,-2.55,-0.208,0.385,0.171,0.866,0.0276,0.693,"lm.nb","NM_002090.2:467"
"PVRIG-mRNA",1.57,0.68,0.235,2.9,2.96,1.18,7.47,0.0278,0.693,"lm.nb","NM_024070.3:1390"
"APOL6-mRNA",-1.75,0.765,-3.25,-0.251,0.297,0.105,0.84,0.0289,0.714,"lm.nb","NM_030641.3:289"
"FCGR2B-mRNA",-1.64,0.718,-3.05,-0.233,0.321,0.121,0.851,0.0291,0.714,"lm.nb","NM_001002273.1:870"
"CLEC4E-mRNA",1.52,0.667,0.212,2.83,2.87,1.16,7.1,0.0295,0.72,"lm.nb","NM_014358.3:1392"
"CD68-mRNA",-0.815,0.361,-1.52,-0.108,0.568,0.348,0.928,0.0309,0.746,"lm.nb","NM_001251.2:1140"
"PSMB10-mRNA",-1.29,0.574,-2.42,-0.165,0.409,0.187,0.892,0.0317,0.76,"lm.nb","NM_002801.3:249"
"EDN1-mRNA",-1.08,0.489,-2.04,-0.124,0.472,0.243,0.918,0.0341,0.811,"lm.nb","NM_001955.2:770"
"GPC4-mRNA",-1.17,0.531,-2.21,-0.128,0.445,0.216,0.915,0.035,0.823,"lm.nb","NM_001448.2:820"
"FCGR3A/B-mRNA",-1.84,0.837,-3.48,-0.2,0.279,0.0896,0.87,0.0352,0.823,"lm.nb","NM_000570.4:255"
"PTEN-mRNA",-1.42,0.648,-2.69,-0.151,0.374,0.155,0.901,0.0357,0.829,"lm.nb","NM_000314.6:6696"
"TAP1-mRNA",-1.6,0.736,-3.04,-0.158,0.33,0.121,0.896,0.0372,0.856,"lm.nb","NM_000593.5:1000"
"ZEB1-mRNA",-1.54,0.712,-2.94,-0.148,0.343,0.13,0.902,0.0377,0.862,"lm.nb","NM_001128128.2:2292"
"LAMB3-mRNA",1.41,0.652,0.131,2.69,2.66,1.1,6.45,0.0383,0.866,"lm.nb","NM_000228.2:3350"
"CHUK-mRNA",-2.92,1.35,-5.57,-0.269,0.132,0.0211,0.83,0.0385,0.866,"loglinear","NM_001278.4:3263"
"VHL-mRNA",0.762,0.355,0.0674,1.46,1.7,1.05,2.75,0.0392,0.876,"lm.nb","NM_198156.1:420"
"BNIP3L-mRNA",-1.02,0.479,-1.96,-0.0804,0.493,0.257,0.946,0.0411,0.907,"lm.nb","NM_001330491.1:2559"
"IL32-mRNA",-1.06,0.496,-2.03,-0.0828,0.481,0.245,0.944,0.0412,0.907,"lm.nb","NM_004221.4:358"
"NECTIN1-mRNA",1.02,0.481,0.0761,1.96,2.03,1.05,3.89,0.042,0.917,"lm.nb","NM_002855.4:357"
"FZD8-mRNA",0.816,0.387,0.0573,1.57,1.76,1.04,2.98,0.043,0.931,"lm.nb","NM_031866.1:890"
"EXO1-mRNA",1.15,0.549,0.0787,2.23,2.23,1.06,4.69,0.0434,0.934,"lm.nb","NM_006027.3:820"
"IFI27-mRNA",-1.4,0.668,-2.71,-0.0927,0.378,0.153,0.938,0.0438,0.936,"lm.nb","NM_005532.3:390"
"PARP4-mRNA",-0.675,0.326,-1.31,-0.0366,0.626,0.403,0.975,0.0463,0.983,"lm.nb","NM_006437.3:1399"
"WNT7B-mRNA",1.37,0.665,0.066,2.67,2.58,1.05,6.38,0.0477,1,"lm.nb","NM_058238.2:1874"
"CSF2-mRNA",1.61,0.785,0.0729,3.15,3.06,1.05,8.87,0.0483,1,"lm.nb","NM_000758.3:108"
"CXCR2-mRNA",1.63,0.796,0.0705,3.19,3.1,1.05,9.14,0.0488,1,"lm.nb","NM_001557.3:409"
"VEGFB-mRNA",-0.584,0.286,-1.14,-0.0241,0.667,0.453,0.983,0.0492,1,"lm.nb","NM_003377.3:687"
"EPM2AIP1-mRNA",-0.971,0.484,-1.92,-0.023,0.51,0.265,0.984,0.0532,1,"lm.nb","NM_014805.3:1322"
"IL6R-mRNA",-0.938,0.468,-1.86,-0.02,0.522,0.276,0.986,0.0537,1,"lm.nb","NM_000565.3:846"
"SLC16A1-mRNA",-1.29,0.642,-2.54,-0.0268,0.41,0.171,0.982,0.0539,1,"lm.nb","NM_003051.3:635"
"RPS6KB1-mRNA",-0.518,0.26,-1.03,-0.00777,0.698,0.49,0.995,0.0552,1,"lm.nb","NM_001272042.1:2451"
"ISG15-mRNA",-1.32,0.664,-2.62,-0.015,0.401,0.163,0.99,0.0561,1,"lm.nb","NM_005101.3:305"
"NEIL1-mRNA",1.08,0.55,0.00267,2.16,2.11,1,4.46,0.0582,1,"lm.nb","NM_024608.2:1675"
"STAT1-mRNA",-0.77,0.395,-1.54,0.00421,0.586,0.343,1,0.0601,1,"lm.nb","NM_007315.3:239"
"PLA1A-mRNA",-1.03,0.53,-2.07,0.011,0.491,0.239,1.01,0.0613,1,"lm.nb","NM_015900.2:1250"
"EIF2AK2-mRNA",-0.655,0.341,-1.32,0.0134,0.635,0.4,1.01,0.0637,1,"lm.nb","NM_001135652.2:516"
"TGFB1-mRNA",-0.846,0.442,-1.71,0.0199,0.556,0.305,1.01,0.0645,1,"lm.nb","NM_000660.4:1473"
"LTB-mRNA",1.51,0.794,-0.049,3.06,2.84,0.967,8.35,0.0667,1,"lm.nb","NM_002341.1:330"
"ITGA1-mRNA",-1.03,0.55,-2.11,0.0475,0.489,0.232,1.03,0.0701,1,"lm.nb","NM_181501.1:502"
"JAG1-mRNA",-3.7,1.99,-7.6,0.199,0.077,0.00517,1.15,0.0721,1,"loglinear","NM_000214.2:3509"
"ITPK1-mRNA",0.289,0.157,-0.0177,0.596,1.22,0.988,1.51,0.074,1,"lm.nb","NM_001142593.2:958"
"CCL20-mRNA",-1.55,0.839,-3.19,0.0971,0.342,0.109,1.07,0.0744,1,"lm.nb","NM_001130046.1:295"
"MMP9-mRNA",1.04,0.569,-0.0755,2.15,2.05,0.949,4.45,0.077,1,"lm.nb","NM_004994.2:2011"
"CXCL5-mRNA",1.35,0.744,-0.105,2.81,2.55,0.93,7.01,0.0784,1,"lm.nb","NM_002994.4:475"
"GIMAP4-mRNA",-1.34,0.738,-2.79,0.107,0.395,0.145,1.08,0.0789,1,"lm.nb","NM_018326.2:315"
"DDB2-mRNA",0.631,0.348,-0.0509,1.31,1.55,0.965,2.49,0.0791,1,"lm.nb","NM_000107.2:1556"
"RPTOR-mRNA",-1.08,0.599,-2.25,0.096,0.474,0.21,1.07,0.0813,1,"lm.nb","NM_001163034.1:3139"
"MELK-mRNA",0.992,0.553,-0.0917,2.08,1.99,0.938,4.21,0.0823,1,"lm.nb","NM_014791.2:365"
"RIPK1-mRNA",-0.96,0.537,-2.01,0.0937,0.514,0.248,1.07,0.0836,1,"lm.nb","NM_003804.3:1304"
"DTX3L-mRNA",-0.815,0.46,-1.72,0.0867,0.568,0.304,1.06,0.086,1,"lm.nb","NM_138287.3:1543"
"PROM1-mRNA",-1.43,0.812,-3.02,0.158,0.371,0.123,1.12,0.0871,1,"lm.nb","NM_001145847.1:596"
"TNFRSF14-mRNA",-0.695,0.396,-1.47,0.0802,0.618,0.361,1.06,0.0884,1,"lm.nb","NM_003820.3:503"
"PRKAA2-mRNA",-0.597,0.341,-1.26,0.0702,0.661,0.416,1.05,0.089,1,"lm.nb","NM_006252.3:4014"
"EGFR-mRNA",-2.53,1.44,-5.36,0.302,0.173,0.0244,1.23,0.0896,1,"loglinear","NM_005228.3:2760"
"PIK3R1-mRNA",-1.21,0.694,-2.57,0.152,0.433,0.168,1.11,0.0912,1,"lm.nb","NM_001242466.1:889"
"ERBB2-mRNA",-1.4,0.806,-2.98,0.181,0.379,0.127,1.13,0.0924,1,"lm.nb","NM_004448.2:2405"
"CD70-mRNA",-0.895,0.517,-1.91,0.117,0.538,0.266,1.08,0.0927,1,"lm.nb","NM_001252.3:420"
"PARP9-mRNA",-1.53,0.884,-3.26,0.203,0.346,0.104,1.15,0.0931,1,"lm.nb","NM_001146103.1:1188"
"IL1R2-mRNA",1.33,0.769,-0.179,2.84,2.51,0.883,7.15,0.0938,1,"lm.nb","NR_048564.1:949"
"IGF2R-mRNA",-2.55,1.48,-5.44,0.347,0.171,0.023,1.27,0.0941,1,"loglinear","NM_000876.2:7820"
"TNFAIP3-mRNA",-1.48,0.86,-3.16,0.208,0.359,0.112,1.15,0.0953,1,"lm.nb","NM_001270508.1:3240"
"THBS1-mRNA",-1.26,0.734,-2.7,0.178,0.417,0.154,1.13,0.0955,1,"lm.nb","NM_003246.2:3816"
"FPR3-mRNA",-1.4,0.815,-3,0.198,0.379,0.125,1.15,0.0956,1,"lm.nb","NM_002030.4:733"
"CSF1-mRNA",0.814,0.474,-0.116,1.74,1.76,0.923,3.35,0.0958,1,"lm.nb","NM_000757.5:251"
"LOXL2-mRNA",0.686,0.4,-0.0988,1.47,1.61,0.934,2.77,0.0964,1,"lm.nb","NM_002318.2:40"
"MGMT-mRNA",-0.405,0.237,-0.868,0.0592,0.755,0.548,1.04,0.097,1,"lm.nb","NM_002412.3:323"
"RNLS-mRNA",-0.872,0.511,-1.87,0.13,0.546,0.273,1.09,0.0979,1,"lm.nb","NM_001031709.2:726"
"MFGE8-mRNA",-0.745,0.438,-1.6,0.113,0.597,0.329,1.08,0.0985,1,"lm.nb","NM_001114614.1:328"
"LAMA1-mRNA",0.445,0.264,-0.072,0.962,1.36,0.951,1.95,0.101,1,"lm.nb","NM_005559.3:9002"
"IRF9-mRNA",-0.674,0.403,-1.46,0.117,0.627,0.362,1.08,0.105,1,"lm.nb","NM_006084.4:723"
"ROCK1-mRNA",-1.11,0.668,-2.42,0.202,0.464,0.187,1.15,0.107,1,"lm.nb","NM_005406.2:3796"
"PSMB9-mRNA",-1.17,0.705,-2.55,0.216,0.446,0.171,1.16,0.108,1,"lm.nb","NM_002800.4:394"
"PC-mRNA",0.782,0.474,-0.147,1.71,1.72,0.903,3.28,0.109,1,"lm.nb","NM_000920.3:262"
"RBL2-mRNA",-1.06,0.642,-2.32,0.201,0.481,0.201,1.15,0.11,1,"lm.nb","NM_001323611.1:1085"
"CDKN1A-mRNA",-0.698,0.428,-1.54,0.141,0.616,0.345,1.1,0.113,1,"lm.nb","NM_000389.2:1975"
"IRF5-mRNA",0.802,0.497,-0.172,1.78,1.74,0.888,3.42,0.116,1,"lm.nb","NM_002200.3:1845"
"TRAF1-mRNA",0.695,0.433,-0.154,1.54,1.62,0.899,2.92,0.119,1,"lm.nb","NM_001190945.1:712"
"HAVCR2-mRNA",-0.922,0.579,-2.06,0.212,0.528,0.241,1.16,0.121,1,"lm.nb","NM_032782.3:955"
"BATF3-mRNA",0.885,0.556,-0.204,1.98,1.85,0.868,3.93,0.121,1,"lm.nb","NM_018664.2:725"
"ICAM3-mRNA",0.634,0.401,-0.152,1.42,1.55,0.9,2.68,0.124,1,"lm.nb","NM_002162.3:1225"
"ID4-mRNA",-1.57,0.999,-3.53,0.386,0.336,0.0865,1.31,0.125,1,"lm.nb","NM_001546.3:2048"
