Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14839041,2021-06-17 02:09:58,2021-06-17 01:49:12,58382156,14595539000,58382156,250,4881,,https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/014491/SRR14839041,SRX11163947,6H_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223844,SAMN19731534,simple,3483,Cannabis sativa,6H-Pi-1,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,F93BFB3D41F4B633478D328B7C713A7C,EA0BB98CFB86D3CC129D92C56C6954C7
SRR14839047,2021-06-17 02:01:06,2021-06-17 01:44:11,51041853,12760463250,51041853,250,4430,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/014491/SRR14839047,SRX11163941,6H_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223838,SAMN19731535,simple,3483,Cannabis sativa,6H-Pi-2,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,00586342027217CA5505778D9C5160B2,031CDDAFF21B7205095462DF1E0E73B0
SRR14839046,2021-06-17 02:01:06,2021-06-17 01:52:47,61567191,15391797750,61567191,250,5463,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/014491/SRR14839046,SRX11163942,6H_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223839,SAMN19731536,simple,3483,Cannabis sativa,6H-Pi-3,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,2D0BF646A8C61055F30914A8CDA14486,237A178929547AF97D2C4238641E22B7
SRR14839048,2021-06-17 02:23:57,2021-06-17 01:37:33,59918171,14979542750,59918171,250,5097,,https://sra-download.ncbi.nlm.nih.gov/traces/sra67/SRR/014491/SRR14839048,SRX11163940,8D_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223836,SAMN19731543,simple,3483,Cannabis sativa,8D-Pi-1,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,6BD3A7A3F6E9FD2C38EB423568799CF1,3CCE6DAAF63D373CA1E82698D31EBAE6
SRR14839038,2021-06-17 02:35:27,2021-06-17 02:19:22,53404528,13351132000,53404528,250,4499,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/014491/SRR14839038,SRX11163950,8D_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223848,SAMN19731544,simple,3483,Cannabis sativa,8D-Pi-2,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,DF264BEC150E64F091DF3B8B7C21A140,65E28597665C0D0ACA1BE05273528D52
SRR14839039,2021-06-17 02:01:06,2021-06-17 01:44:33,63537889,15884472250,63537889,250,5346,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/014491/SRR14839039,SRX11163949,8D_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223846,SAMN19731545,simple,3483,Cannabis sativa,8D-Pi-3,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,61FBC9247D28A2B7DBD9E874BC75AD28,BC2956FFC8E609262B2500467DCD39CE
SRR14708200,2021-07-18 08:16:52,2021-06-02 02:41:34,49607395,10020693790,49607395,202,6115,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/014363/SRR14708200,SRX11046274,L9,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114493,SAMN19471740,simple,3483,Cannabis sativa,9,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,B71991E8B6245BC75B3664A083A3B3C2,9A6A7D497A3191AAD4D0FB5DE5C2037F
SRR14807091,2021-06-14 14:46:59,2021-06-14 14:37:45,15538721,1951731457,0,125,661,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/014460/SRR14807091,SRX11139775,Colombia Rio Negro,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072345,PRJNA310948,,310948,SRS9202415,SAMN19682667,simple,3483,Cannabis sativa,C41_ATGTCA,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1244286,,public,ABB5F4408F5D3A80AC779EF16C0CEA58,CCB13D864BAA8B63B1553F0930B4CB38
SRR14807092,2021-06-14 14:46:59,2021-06-14 14:39:33,16972034,4260180891,16972034,251,1479,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/014460/SRR14807092,SRX11139774,Mexican E,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072345,PRJNA310948,,310948,SRS9202412,SAMN19682666,simple,3483,Cannabis sativa,C42_CCGTCC,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1244286,,public,1F55A6D231CB16BC90365B3EA18DAB7E,9DB36B53BB6D2E426775DC79BE2756D6
SRR14721908,2021-06-27 00:57:23,2021-06-26 22:41:48,1,398,0,398,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/014376/SRR14721908,SRX11058915,PG-10-F,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125989,SAMN19518873,simple,3482,Cannabis,Cs-I1-10 (female),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1240087,,public,8D23905621F75AB5A580E933040D538C,B0D3D4738E27FAA249A66820A3B1DABC
SRR14740325,2021-06-05 17:19:31,2021-06-05 16:37:12,1,398,0,398,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra10/SRR/014394/SRR14740325,SRX11074975,SAMN19518873,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125989,SAMN19518873,simple,3482,Cannabis,Cs-I1-10 (female),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1241098,,public,8D23905621F75AB5A580E933040D538C,B0D3D4738E27FAA249A66820A3B1DABC
SRR14740326,2021-06-05 17:19:31,2021-06-05 16:37:11,1,251,0,251,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/014394/SRR14740326,SRX11074974,SAMN19518874,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125988,SAMN19518874,simple,3482,Cannabis,Cs-I1-10 (male),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1241098,,public,B4990129AB8041C74F1EDABA483023E6,5B65C374541C0916931F7A40A79A2943
SRR14721907,2021-06-27 00:57:23,2021-06-26 22:41:44,1,251,0,251,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/014376/SRR14721907,SRX11058916,PG-10-M,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125988,SAMN19518874,simple,3482,Cannabis,Cs-I1-10 (male),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1240087,,public,B4990129AB8041C74F1EDABA483023E6,5B65C374541C0916931F7A40A79A2943
SRR14721906,2021-06-27 00:57:23,2021-06-26 22:41:46,1,293,0,293,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/014376/SRR14721906,SRX11058917,PG-15-F,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125990,SAMN19518875,simple,3482,Cannabis,Cs-I1-15 (female),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1240087,,public,08ADDE65035A69DE1EA471C4D3E81F41,D6BB8C5A976BDC56DE1654E014BC056D
SRR14740327,2021-06-05 17:19:31,2021-06-05 16:37:13,1,293,0,293,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra18/SRR/014394/SRR14740327,SRX11074973,SAMN19518875,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125990,SAMN19518875,simple,3482,Cannabis,Cs-I1-15 (female),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1241098,,public,08ADDE65035A69DE1EA471C4D3E81F41,D6BB8C5A976BDC56DE1654E014BC056D
SRR14740328,2021-06-05 17:19:30,2021-06-05 16:37:13,1,141,0,141,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/014394/SRR14740328,SRX11074972,SAMN19518876,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125991,SAMN19518876,simple,3482,Cannabis,Cs-I1-15 (male),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1241098,,public,372E9C38A3C64C2A5E43066DAC266E46,DC8AE51ADF48C65958CA56CCD031D22A
SRR14721905,2021-06-27 00:57:23,2021-06-26 22:41:44,1,141,0,141,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/014376/SRR14721905,SRX11058918,PG-15-M,CLONE,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322524,PRJNA734672,,734672,SRS9125991,SAMN19518876,simple,3482,Cannabis,Cs-I1-15 (male),,,,,,,no,,,,,CHINESE ACADEMY OF AGRICULTURE SCIENCE,SRA1240087,,public,372E9C38A3C64C2A5E43066DAC266E46,DC8AE51ADF48C65958CA56CCD031D22A
SRR14857109,2021-06-18 14:36:53,2021-06-18 13:52:33,157740711,47637694722,157740711,302,18905,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/014508/SRR14857109,SRX11174838,CsACDC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233106,SAMN19732267,simple,3483,Cannabis sativa,CsACDC,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,AADDE9F75E15FBE45622B8D0B7D8F711,6C4B460C643C5053FA437E23508A58CD
SRR14857087,2021-06-18 11:51:17,2021-06-18 11:30:08,159229646,48087353092,159229646,302,19471,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/014508/SRR14857087,SRX11174860,CsAK,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233128,SAMN19732269,simple,3483,Cannabis sativa,CsAK,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,44615466D8BB586986B06241AF23696F,B6330E96AD01B094763ECF4811AFA698
SRR14857110,2021-06-18 17:18:42,2021-06-18 16:04:08,202343815,61107832130,202343815,302,23808,,https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/014508/SRR14857110,SRX11174837,CsAc,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233105,SAMN19732266,simple,3483,Cannabis sativa,CsAc,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,1290EEA2E7F67DBC7B1C0D1CB9124265,409B378AB4B785425F767AE6EA258BF8
SRR14857098,2021-06-18 12:37:38,2021-06-18 12:15:17,177823491,53702694282,177823491,302,21311,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/014508/SRR14857098,SRX11174849,CsAfKu,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233117,SAMN19732268,simple,3483,Cannabis sativa,CsAfKu,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,325F5D6514C9EDE11EB2B87AE61ABEE3,13138154EB0B711403911A8AC55C6398
SRR14857084,2021-06-18 13:27:24,2021-06-18 12:48:59,194933345,58869870190,194933345,302,23271,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/014508/SRR14857084,SRX11174863,CsArmgd,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233131,SAMN19732270,simple,3483,Cannabis sativa,CsArmgd,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,5FCA424F06D27CFFEA1823E11311F787,347B72DD0D830274A7F611155A2FD3DF
SRR14857083,2021-06-18 11:51:17,2021-06-18 11:35:01,179372064,54170363328,179372064,302,21254,,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/014508/SRR14857083,SRX11174864,CsBB-K,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233132,SAMN19732271,simple,3483,Cannabis sativa,CsBB-K,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,4655FAB282A8FC87F1A47C900FC70C42,A17EFAADA6D28916847914D9262AE4F9
SRR14857082,2021-06-18 11:39:57,2021-06-18 10:59:56,120820578,36487814556,120820578,302,14391,,https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/014508/SRR14857082,SRX11174865,CsBCBG,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233133,SAMN19732272,simple,3483,Cannabis sativa,CsBCBG,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,A1767C786DD248EDC43F6177BE5842C5,1279D3877F8F311237B6ED36412E935F
SRR14857081,2021-06-18 11:39:57,2021-06-18 11:12:15,157637795,47606614090,157637795,302,18268,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/014508/SRR14857081,SRX11174866,CsCBD-CM,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233134,SAMN19732273,simple,3483,Cannabis sativa,CsCBD-CM,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,6E62D99AC62921E0F5092B69CCC18A9F,32250F275EDA046FC8455B0A4628F0EE
SRR14857080,2021-06-18 11:51:17,2021-06-18 11:26:18,167383818,50549913036,167383818,302,19772,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/014508/SRR14857080,SRX11174867,CsCBD-GB,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233135,SAMN19732274,simple,3483,Cannabis sativa,CsCBD-GB,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,C3908B4DF2023C60E65C827AC4AFC67F,98E40D8D293FC67F5AD3C06E4A1F3EF7
SRR14857079,2021-06-18 16:32:35,2021-06-18 15:47:50,207278777,62598190654,207278777,302,24341,,https://sra-download.ncbi.nlm.nih.gov/traces/sra31/SRR/014508/SRR14857079,SRX11174868,CsCBD-S,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233136,SAMN19732275,simple,3483,Cannabis sativa,CsCBD-S,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,CC37315D94E54017DA3CF356EAB6BDF9,A2AA861C6A73CCDBB7530FA2B4D9ED2A
SRR14857108,2021-06-18 14:36:53,2021-06-18 14:00:35,170809326,51584416452,170809326,302,21060,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/014508/SRR14857108,SRX11174839,CsCBD-Y,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233107,SAMN19732276,simple,3483,Cannabis sativa,CsCBD-Y,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,ABC91871A23BF1213F9C131A45D25AE6,E9787723972876FDAF243C9387E2FE23
SRR14857107,2021-06-18 14:04:13,2021-06-18 13:38:47,154666854,46709389908,154666854,302,19214,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/014508/SRR14857107,SRX11174840,CsCK,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233108,SAMN19732277,simple,3483,Cannabis sativa,CsCK,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,7DBB3E2DF7E05FC3120AEB0537F81FCE,588B08A371E19EB770ABA1DC6BEE8F64
SRR14857106,2021-06-18 13:27:24,2021-06-18 13:01:41,144379141,43602500582,144379141,302,17198,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/014508/SRR14857106,SRX11174841,CsCKM,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233109,SAMN19732278,simple,3483,Cannabis sativa,CsCKM,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,0C774B8B2DC189BF23AA15F266B9954C,163EFF6423D5B8E9C92DC5A21109DEAE
SRR14857105,2021-06-18 14:36:53,2021-06-18 13:51:22,163380648,49340955696,163380648,302,19470,,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/014508/SRR14857105,SRX11174842,CsGTH,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233110,SAMN19732279,simple,3483,Cannabis sativa,CsGTH,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,5A353E7F439D2709E55E4AC975405A3F,EB967BEB7B51759CAA42BB5787BFE5F5
SRR14857103,2021-06-18 14:04:13,2021-06-18 13:11:58,171286100,51728402200,171286100,302,20369,,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/014508/SRR14857103,SRX11174844,CsHB,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233112,SAMN19732281,simple,3483,Cannabis sativa,CsHB,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,D0BBC4304FD7693C55F8CCE9875154CD,FE08662EF584E4B0B409D90852AF1F78
SRR14857104,2021-06-18 13:27:24,2021-06-18 12:30:16,139402954,42099692108,139402954,302,17438,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/014508/SRR14857104,SRX11174843,CsHP,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233111,SAMN19732280,simple,3483,Cannabis sativa,CsHP,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,D6B20746B117322961CBB2E6FCD045B1,70F38BBB3697AED6AC89DDB7DA3E0252
SRR14857102,2021-06-18 13:38:50,2021-06-18 13:18:20,162314534,49018989268,162314534,302,19460,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/014508/SRR14857102,SRX11174845,CsIH,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324548,PRJNA738519,,738519,SRS9233113,SAMN19732282,simple,3483,Cannabis sativa,CsIH,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1247678,,public,299D0A5440DBB14D96DFAB3099784522,494AB005F31892BA9C5E7F39DD224A4C
