"","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D0 Control-3_03.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-2_02.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC"
"ALDOA - mRNA",11.2721774081709,11.1124062572952,11.2955636680427,11.2325349627352,11.2609980420032,11.0786752961871,11.4055876438618,11.3383272592524,11.5139254955669,11.4522319385705,11.384404872585,11.5389089448436,11.6631982385651,11.3277962997493,11.1789311953498,11.352156740791,11.4665260980811,11.3947862250316,11.3206127223513,11.4674039295517,11.4712641492901,11.485773060608,11.4894914096844,8.56485375727068,10.1396700027918,9.79920660914483,10.8037055554519,10.3561392093381,10.548796044692,11.4500655633037,10.7255514060808,10.3330193704541,10.8865305146743,10.6731721066782,10.7830629748123,10.0422456768215,10.1965255872773,10.4097678408374
"CXCL2 - mRNA",10.5161346349431,9.75450669563444,9.51017947021078,11.0848698464996,10.4420859692657,10.51531508703,11.4896847004263,11.0872548282169,11.2851709148042,10.6709498802532,10.8704112865925,10.8479794785809,11.1112348684136,11.2831530852751,11.1237895675917,11.27850645923,10.8716246931912,10.2675025252498,10.7681525156478,10.2322074704707,10.8872844933,10.7673095672205,11.0108413653754,7.06235335451556,9.9470249257629,8.62735175051046,11.2870802165688,10.7973289560438,10.9441664720432,9.82571550517318,11.3279777128087,10.0650405259438,11.0676139066286,10.7086499942599,10.7486936529551,10.3568812341298,7.11353616365691,10.2975016754611
"OAZ1 - mRNA",10.4535855126012,10.5858678768385,10.6784815093047,10.4881984648532,10.2755414189237,10.168226800631,10.7721933354266,10.6484567712996,10.7296051856429,10.6872356643579,10.6387756096706,10.7061565105055,10.6530195410852,10.6254593694793,10.4804103245158,10.6263428120495,10.7230459377403,10.9177264421208,10.8010972210675,10.6279861121621,10.4151328605235,10.6443246767043,10.6040243487432,7.79931897890579,9.0141390064226,8.8522250709722,10.1526538841608,9.60344920528096,9.86569231041077,10.4818111315724,9.87911541589077,9.39236171197795,10.7131248959784,10.7733728607013,10.7088291983622,9.23489065112092,7.99489168233889,9.68305242897681
"B2M - mRNA",13.8551248233679,13.7235939771922,13.7662568320282,12.2415299328858,11.9874007297322,11.8991686294915,11.5275783014929,11.3156279113093,11.2696373653447,11.3330900926066,11.2307009611606,11.2563663583398,11.3219154368735,11.0780682080762,10.8519849792681,11.156820667536,11.285024971839,11.4197431733492,11.285034287604,11.1626617697019,11.0435548504402,11.3002320296209,11.3407471252941,9.45467079682686,10.0304408360577,10.5921622731573,10.4790834245937,9.95794514040277,9.97356740167885,10.6143483687631,10.827297925207,9.96724050988305,13.0583855215404,12.9310424306828,13.1895844981691,9.46935601322395,9.52382011656441,9.7083635159341
"HLA-A - mRNA",12.0423034643367,12.0553779356334,12.0424287185985,11.418522685099,11.3530106972693,11.254903759493,10.0795404478477,9.89738166086595,10.0073662688086,9.82224074503493,9.77456489381029,9.97058471541632,10.0706547462128,9.83349903036332,9.61781549576012,9.95505423773572,9.90672410650866,9.82988499903047,9.87144515398593,9.74091684561099,9.85298623851329,9.93448401345467,9.93531335957758,9.74417737962962,10.7145788310237,10.9211971737426,11.0863445612942,10.8145040407628,11.1197379416188,11.6515525545088,11.3176542619049,10.9409823922623,12.8834853902273,12.8578761411621,12.9730291135504,10.6472736309294,11.1417329690513,10.9343357980822
"HLA-B - mRNA",12.1452244226595,12.1885215390758,12.2133731818385,10.8580279635698,10.9398005011794,10.9131852589023,9.61030565231762,9.5334182596655,9.44429771860507,9.3869711524988,9.26705311252542,9.43987640138247,9.60082725817488,9.31644050458609,8.97863252573235,9.33731496997992,9.48345035234973,9.50427419144636,9.33568175189511,9.33847947085886,9.26273217136377,9.56687058180702,9.27030930010322,8.90365562305625,9.5547074643437,10.0978022851992,9.63646963124763,9.3832510271394,9.76359422703602,9.92629246588245,10.2514032377466,9.49619769419973,12.2339570844502,12.3583352946571,12.3220153217629,9.46935601322395,10.4354641272767,9.73323818475
"THBS1 - mRNA",7.60684152726123,7.50062831700663,7.6528620343381,10.5887413945167,10.281317967321,10.3111848183703,9.54104295384205,9.8822375094787,9.74715967447835,9.80547249906646,9.78973143223769,9.45737912649457,9.72757712374822,10.4024393560537,9.88838513150215,9.64016228623114,9.92215408838207,10.2135507321078,9.70781408221386,9.81991818289021,9.61389746461334,9.74655101954171,9.52070475453693,7.17783070977035,6.87663543914425,7.0071997743053,7.61208557400411,7.47251831468308,7.70470049593573,7.12136419665131,7.60551161628027,7.19416919842849,10.9461192736,10.7432763308067,10.6598123687,7.79128403077242,4.09524779768106,7.67022833364909
"IER3 - mRNA",7.97840035930408,8.05762574608455,8.03875308079437,9.20111569653449,9.18137036940566,8.91318525890234,9.64005303417209,9.38962845064125,9.33178964394767,9.25258545999208,9.51419622401825,9.36236297798296,9.40211740745369,9.54415331943455,9.36185879474059,9.8982876014967,9.40551584286042,8.8326408904768,9.45309489029093,9.33708489652435,9.48154990051994,9.2830364799102,9.24145443077604,7.79931897890579,7.36206247327378,7.2065085510545,8.26117829255647,7.97840926043044,7.17863172963434,6.90179781243852,7.9643051682302,7.58930700070302,9.08438069685232,9.03330133371419,8.94888031922714,8.00540884735414,4.09524779768106,7.67022833364909
"PDZK1IP1 - mRNA",10.7737577742732,10.9133034282987,10.844529835108,10.9128608367351,10.7694188905977,10.6952695034314,10.6991822682018,10.7584152761291,10.8894590300241,10.9111360290913,10.9506178324605,10.6993426335295,11.1944929654285,10.4872864561631,10.1035237772988,10.7222028981911,10.8153778228491,10.6399957560281,10.3961575117125,10.7665259768275,10.7440961618977,10.9115424876927,11.0947616625665,7.64731579766713,7.0141390064226,7.15920292158209,8.05954448804976,7.82866210079287,7.89232750585841,7.73434112375637,8.25140323656304,7.23316324321751,7.99691787487019,7.80467697955364,8.05052043842986,7.60685948183754,4.09524779768106,7.67022833364909
"TPM1 - mRNA",9.64904814134479,9.34736576414063,9.56103442294441,10.1404277344305,10.1310752401853,9.96792824236721,10.6274852360123,10.9665889722303,10.8100756752953,10.8855903496587,10.804273340709,10.6658580809486,10.812838791602,10.7811388585365,10.4104545866989,10.570199793359,10.8466321136817,10.8266631094662,10.6179749677462,10.7388062161316,10.6642164668787,10.8664604625361,10.7866667683299,6.79931897890579,7.13967000662845,4.26985221203887,8.10685012136424,7.35222397324585,8.01050898358176,8.94559296763545,7.70391539865196,7.02671237755199,9.44695075881442,9.25213599394976,9.63220791954898,7.53974525602318,4.09524779768106,7.67022833364909
"MMP7 - mRNA",8.86987591150895,8.78428637790283,8.57886143402962,10.4610728375063,10.1674013000734,10.0625956162044,10.8733400947598,11.0285876719683,10.4813308782048,9.87264566905513,10.3977675805818,10.8422807992792,10.8290398077401,10.6507523385853,10.3932862278115,10.2330075494497,11.1477671566554,11.0526715244631,10.3181869601671,10.0130622766254,10.2194914519353,10.4566726323759,10.5596303219905,6.47739081601437,7.72463240162888,4.26985221203887,6.54497127736634,6.82866210713906,6.05833745175314,7.29693580354497,6.78108331914206,7.28974663586197,9.644890245876,9.28384474983281,9.68057092570742,7.79128403077242,4.09524779768106,3.91156206901603
"VCAN - mRNA",9.60232609683172,9.52867897003342,9.65526440372515,12.0613561938192,12.0279076835133,11.800279629717,10.1740739777419,10.2999590868275,10.5365997488219,10.157190247899,10.077694087102,10.3503682606687,10.3328547027195,10.3926418273786,10.2454987408462,10.1280261114879,10.169606224548,9.97829761482131,10.0954911918357,10.0837844443462,10.4053900225472,10.2229889799839,10.1981332554859,6.64731579047093,6.72463240162888,4.26985221203887,6.54497127736634,4.45440721921336,6.62223830319985,6.41241311694331,6.44404830977115,5.7592320420997,9.00974184035985,9.12368759785088,9.16373105077728,7.46935601729441,4.09524779768106,3.91156206901603
"ITGB8 - mRNA",9.27075542024957,9.08307072749274,9.84084081869336,12.5694237260851,12.4242485739011,12.3620717022799,10.6304522232139,10.7554849096799,10.6053124409682,10.5676453550141,10.581647570153,10.3925706901354,10.7325069754203,11.026732463238,10.7103704001779,10.5091888176062,10.6496996742876,10.4472758493086,10.5126517417365,10.6932069194191,10.7473473755225,10.3373560793393,10.6384235397049,6.64731579047093,6.55470747009866,6.64462977182308,6.61208556663003,7.2549268172703,6.74422892217568,7.63083656860731,6.65555234642528,6.98162450909827,8.23395708415075,8.35522942915224,8.17277617865198,7.23489065351531,4.09524779768106,3.91156206901603
"SERPINA1 - mRNA",7.74434493326889,7.7369807266053,8.77498255788331,12.3143842335099,12.0835163343119,11.9456952984476,10.8210581742784,10.5716824056739,10.5914960954531,10.1933349503836,10.3025118902101,10.8293760851667,11.0194227523228,10.6784346571532,10.1722364301617,10.841259889657,10.8532761414197,10.6462751265597,10.2364030128041,10.3405688046658,10.4623890631169,10.6714496070311,10.3976669307115,8.33537195239833,8.19856359050694,7.57424022151525,9.78201047466719,8.64884117143009,9.71965087304902,9.66034056085455,10.3635389912642,8.04873863023697,10.7287217622203,10.7337409986922,10.7771441255654,8.76213767514441,7.45057106455141,8.79361075112827
"NFKBIA - mRNA",10.2905379416833,9.81953184518292,10.0024160524564,10.9450320798666,10.6771313046277,10.57573080908,11.2556037675656,10.8464232292202,11.0267981349654,10.5568962279239,10.6574986921239,10.7325811891055,10.7219223318613,11.1053182110004,10.7594340238967,10.8535837856662,10.8080680312831,10.4285744797088,10.8222216804031,10.2823418825105,10.6508240880836,10.5059229814366,10.8271105537811,7.17783070977035,7.36206247327378,7.11029324522623,7.76736372739653,7.41362470516831,7.55714335135601,7.41241310847463,7.88262131707583,7.36189653675834,11.7866844143209,11.3514934311897,11.4947043635298,7.73239031458239,7.25792599956958,7.86287350632409
"CTNNB1 - mRNA",10.2961407219333,10.3025778484047,10.208678064559,10.3285238694735,10.1532954967098,10.020669720566,10.5187984062147,10.561651891882,10.5781067165346,10.64363350343,10.4987047333801,10.4715990634837,10.5621865148883,10.4978355172442,10.3724109009155,10.2678029617063,10.4736277242891,10.5008131956269,10.4189764531592,10.5159736011391,10.524345864461,10.6639412178483,10.5103751999087,6.47739081601437,7.87663543914425,7.92473758244759,8.61208557400412,8.23805306104606,8.1929870054553,8.5761595366234,8.7810833125831,7.78570418953391,10.3892353487461,10.1295166579445,10.1795231137333,8.31735285148549,7.67296350120489,8.22042541707332
"TNFSF10 - mRNA",11.7877451673022,11.8008670268821,11.9711788332724,12.2345386970616,12.2183499370621,12.0067304674069,11.8220317027954,11.8136938181582,11.6758851230312,11.418274705582,11.6803115511279,11.5981548678429,11.9321220071013,11.5883865074027,11.3653847897041,11.6606464177029,11.7451585170618,11.5446121694082,11.546463419772,11.6139472468165,11.3968755842998,11.4704102627633,11.7209954801628,7.06235335451556,7.72463240162888,8.29670634256233,7.24011671810478,7.5565825288937,7.55714335135601,7.99737556685237,7.9643051682302,7.77252883245642,9.80058782352403,9.72221478273384,9.88702180387807,7.14742792240705,8.15101080870426,6.95033625825809
"VCAM1 - mRNA",9.92153797797832,9.57425119810387,9.86594994799333,12.0031913893377,11.6804138257617,11.6172990802838,11.7261296855177,11.6856209903446,11.4997927370395,11.3021611298553,11.4657390174337,11.4752855419181,11.6654095473874,11.6012048355223,11.5146854045733,11.5478747403821,11.6011848818816,11.3693898062672,11.5258512467801,11.5361685866657,11.4987726509341,11.5561742603667,11.5322378396176,8.17783070977035,7.87663543914425,7.71174383954721,8.10685012136424,7.85102993793681,8.02662862955034,8.9740681924224,7.00347570299873,7.25227201973404,10.9544345368235,10.681131797771,10.8952422525117,7.67098984660823,7.67296350120489,7.72085451149583
"IL32 - mRNA",12.1284420026807,12.1268533240643,12.4301941057686,10.1721366074956,10.0231754919619,9.91119117558753,10.3784900065088,10.3500301608413,10.1163612552782,10.5668802183944,10.6688220244962,10.291641889698,10.3258817129602,10.4092583293964,10.1519640009518,10.2449074526932,10.5997743981724,10.7165898616758,10.3641803520329,10.4772496055356,10.4012680771332,10.4678761573791,10.3370986484313,8.12124703234306,8.64217027072576,9.1102932478366,8.97283284475893,8.41362470093752,8.61159118928444,9.3376821928984,8.22954378951676,8.50419052679497,10.4183816496338,10.2759826581771,10.3225233069585,8.73239031458239,8.15101080870426,8.64423323573679
"MET - mRNA",11.5886941655617,11.51612369185,11.4626193418852,11.6929688494031,11.4587499061243,11.3565868338952,11.1525636820976,11.2898677668423,11.3247919948112,11.2644322913713,11.0551212127798,11.1047599791572,11.0723223620373,11.3423755707989,11.2054033978747,10.8939188957403,11.2259120003085,11.064832872453,11.0157759054333,11.1806567576392,11.1896282309179,11.1978242506794,11.0837729224627,8.33537195239833,8.64217027072576,8.59216227502645,8.66044850667126,8.89475134931346,8.65371662075048,9.51932826747688,8.71182060165268,8.73905415228374,8.55588509086741,8.55902459391359,8.3102797964828,8.81985319893181,8.11353615844788,8.50672960164952
"LDHB - mRNA",11.1940564510991,10.8664468789169,11.1760057050923,11.2953133857766,11.2066344862034,11.1232847036977,11.6304522232139,11.6415955856564,11.5503780806384,11.5622807438679,11.4733911443908,11.3922457451391,11.4471542487723,11.5578073504498,11.3788215028015,11.1817973949244,11.440604217768,11.6851683993781,11.5534411025679,11.5153572008869,11.4222698713866,11.533086817792,11.5637987390502,8.06235334911841,8.64217027072576,8.50023964923526,9.32257886729587,8.72347982405055,8.63280765276814,9.67775759335752,8.99702067975216,8.58930700070302,10.1291421218776,9.75652089683751,9.99805304775912,8.35688123302968,7.67296350120489,8.79361075112827
"LAMC2 - mRNA",9.84524625095121,9.87594082020216,10.3503392569177,8.7132277014751,8.78982514424813,8.55799765841808,11.4368542276133,11.5481686950292,11.2703314039105,11.6501500494246,11.514196223525,11.3804979247729,11.0789732897734,11.8651960630589,11.5676819068954,11.3181748207467,11.7349156873831,12.0597453158174,11.7101286283313,11.7737601887195,11.49490952708,11.5640259517897,11.3317310217001,6.93682248616989,6.87663543914425,7.92473758244759,8.19704807226724,7.63601706727374,7.87462551889318,7.87184471402396,7.65555233927005,7.27113100176018,6.5818803793564,7.00821043646641,6.52327348229871,8.46935601322395,7.11353616365691,7.99215651494676
"CCL2 - mRNA",10.2097259836442,10.3857018126297,11.2917082063031,8.40702004562594,8.17827778338332,7.82273030088038,12.733219872356,12.1549779897181,12.031513261122,11.7539657886096,12.367130627294,12.0978014821112,12.2991916651746,12.7446322614335,12.2925575505241,12.8937199865557,12.6007618249665,12.5036978948458,12.5982413233216,12.3438707421397,11.7928973067503,12.1229702973631,12.2869205116417,7.72531840700645,8.36206246888905,6.89616839058949,9.99814397418581,8.45801879503946,8.92709297556063,8.95037808540834,9.21848859189378,8.46377616901614,9.18391640300416,9.19212858696982,9.25598965121138,8.35688123302968,7.25792599956958,8.56331324687139
"HIF1A - mRNA",12.1944314946215,12.2791010041276,12.4032898192439,10.805079222603,10.5137640940964,10.3963330130588,12.7158650322294,12.5038937790362,12.617907729804,12.5108935592036,12.4943719631518,12.550168088511,12.4790377707859,12.7734203519311,12.6207687508533,12.5291736344304,12.5738614158238,12.5720822628475,12.6028576385548,12.5974424616364,12.3948037533293,12.4705368701765,12.4623961782096,7.47739080791864,8.2551471728932,8.38159522900672,9.42877815031295,9.22097945678564,9.38652457075681,9.79145813047071,9.82547736694821,8.83723456776957,10.7857527724959,10.4444471133666,10.3526853374527,9.10162420915895,7.56604834351135,9.22042541707332
"TAP1 - mRNA",10.7048736481989,10.7216712252322,10.6995859024737,7.52304370024058,7.38018081952328,6.85628285194848,7.21911474276016,6.87235277630557,6.82573918170404,7.04408339277816,6.72611523546594,6.78402142910406,6.49787632464584,7.25287530329704,6.56154713722873,6.81755069886975,7.15661933042056,7.02161034358624,6.76859666485531,7.1496128613404,6.94080402715521,7.02759337877621,6.91326726085371,7.56485375727068,2.54527724159701,7.29670634256233,6.24011670856184,6.63601706727374,6.34213056079025,6.49333300700726,6.40557413866893,6.78570418953391,8.00974184035985,7.63475190390678,7.76971135025097,3.22973526082972,7.72358960474639,3.91156206901603
