"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CASP1-mRNA",1.68,0.407,0.881,2.48,3.2,1.84,5.56,0.000124,0.00999,"lm.nb","NM_001223.4:1050"
"TGFB1-mRNA",1.21,0.298,0.627,1.8,2.32,1.54,3.47,0.000154,0.012,"lm.nb","NM_000660.4:1473"
"CCL4-mRNA",2.48,0.613,1.28,3.68,5.58,2.43,12.8,0.00016,0.0121,"lm.nb","NM_002984.2:35"
"HLA-C-mRNA",1.56,0.388,0.798,2.32,2.95,1.74,4.99,0.000179,0.0129,"lm.nb","NM_002117.4:898"
"FCGR2A-mRNA",2.44,0.607,1.25,3.63,5.42,2.37,12.4,0.00018,0.0129,"lm.nb","NM_021642.3:60"
"RIPK2-mRNA",1.45,0.371,0.725,2.18,2.74,1.65,4.53,0.000249,0.0174,"lm.nb","NM_003821.5:1306"
"IFI6-mRNA",2.2,0.565,1.09,3.31,4.59,2.13,9.89,0.000268,0.0182,"lm.nb","NM_002038.3:410"
"DTX4-mRNA",-2.43,0.63,-3.67,-1.2,0.185,0.0786,0.436,0.000295,0.0196,"lm.nb","NM_015177.1:4820"
"NFKBIA-mRNA",2.52,0.658,1.23,3.81,5.75,2.35,14.1,0.000319,0.0207,"lm.nb","NM_020529.2:1361"
"TYMP-mRNA",1.42,0.372,0.688,2.15,2.67,1.61,4.43,0.000351,0.0222,"lm.nb","NM_001113755.2:645"
"HLA-B-mRNA",2.17,0.58,1.03,3.31,4.5,2.05,9.9,0.000428,0.0264,"lm.nb","NM_005514.6:1247"
"CX3CL1-mRNA",1.75,0.467,0.831,2.66,3.35,1.78,6.33,0.000437,0.0264,"lm.nb","NM_002996.3:1850"
"MB21D1-mRNA",1.26,0.34,0.598,1.93,2.4,1.51,3.81,0.000464,0.0274,"lm.nb","NM_138441.2:1198"
"APOL6-mRNA",2.28,0.614,1.08,3.48,4.85,2.11,11.2,0.000473,0.0274,"lm.nb","NM_030641.3:289"
"CYBB-mRNA",2.18,0.593,1.02,3.35,4.54,2.03,10.2,0.000519,0.0294,"lm.nb","NM_000397.3:1034"
"PFKM-mRNA",-0.921,0.253,-1.42,-0.425,0.528,0.375,0.745,0.000592,0.0328,"lm.nb","NM_000289.5:2672"
"TAP1-mRNA",2.54,0.703,1.17,3.92,5.83,2.24,15.2,0.000638,0.0346,"lm.nb","NM_000593.5:1000"
"B2M-mRNA",2.16,0.599,0.983,3.33,4.46,1.98,10.1,0.000676,0.0359,"lm.nb","NM_004048.2:573"
"FCGR2B-mRNA",2.04,0.579,0.91,3.18,4.13,1.88,9.06,0.000837,0.0431,"lm.nb","NM_001002273.1:870"
"KIR3DL1-mRNA",-2.18,0.617,-3.39,-0.969,0.221,0.0955,0.511,0.000843,0.0431,"lm.nb","NM_001322168.1:466"
"CXCR4-mRNA",2.14,0.618,0.929,3.35,4.4,1.9,10.2,0.00103,0.0516,"lm.nb","NM_001008540.1:1060"
"IFI16-mRNA",1.41,0.413,0.599,2.22,2.65,1.51,4.65,0.00121,0.0596,"lm.nb","NM_001206567.1:2351"
"IFIT3-mRNA",1.89,0.556,0.8,2.98,3.71,1.74,7.89,0.00125,0.0605,"lm.nb","NM_001031683.3:712"
"HLA-A-mRNA",1.66,0.495,0.686,2.63,3.15,1.61,6.17,0.00146,0.0695,"lm.nb","NM_002116.7:298"
"PSMB9-mRNA",2.19,0.655,0.902,3.47,4.55,1.87,11.1,0.00151,0.0704,"lm.nb","NM_002800.4:394"
"LY96-mRNA",1.97,0.607,0.783,3.16,3.93,1.72,8.96,0.00196,0.0898,"lm.nb","NM_001195797.1:135"
"NFKB1-mRNA",1.59,0.502,0.602,2.57,3,1.52,5.94,0.00256,0.115,"lm.nb","NM_003998.3:2920"
"WNT7B-mRNA",-2.04,0.649,-3.31,-0.771,0.243,0.101,0.586,0.00263,0.116,"lm.nb","NM_058238.2:1874"
"CXCL2-mRNA",1.81,0.577,0.681,2.94,3.51,1.6,7.7,0.0027,0.118,"lm.nb","NM_002089.1:435"
"FZD8-mRNA",-1.09,0.35,-1.78,-0.409,0.468,0.291,0.753,0.00278,0.119,"lm.nb","NM_031866.1:890"
"CD14-mRNA",1.82,0.583,0.677,2.96,3.53,1.6,7.8,0.00285,0.12,"lm.nb","NM_001174105.1:1020"
"ZEB2-mRNA",1.43,0.459,0.526,2.32,2.69,1.44,5.01,0.00297,0.123,"lm.nb","NM_001171653.1:1879"
"IFIH1-mRNA",1.83,0.593,0.664,2.99,3.55,1.58,7.93,0.00319,0.131,"lm.nb","NM_022168.3:3250"
"RASAL1-mRNA",-1.25,0.412,-2.06,-0.441,0.421,0.24,0.737,0.00371,0.149,"lm.nb","NM_001193520.1:3097"
"STAT1-mRNA",1.06,0.352,0.373,1.75,2.09,1.3,3.37,0.0038,0.151,"lm.nb","NM_007315.3:239"
"TREM2-mRNA",1.52,0.512,0.521,2.53,2.88,1.43,5.77,0.00429,0.168,"lm.nb","NM_018965.3:848"
"S100A9-mRNA",1.85,0.625,0.63,3.08,3.62,1.55,8.45,0.00441,0.17,"lm.nb","NM_002965.3:137"
"PARP9-mRNA",2.11,0.716,0.704,3.51,4.31,1.63,11.4,0.00472,0.179,"lm.nb","NM_001146103.1:1188"
"RAD51C-mRNA",-0.967,0.33,-1.61,-0.32,0.512,0.327,0.801,0.0049,0.183,"lm.nb","NM_058216.2:15"
"CXCL5-mRNA",-1.95,0.679,-3.28,-0.617,0.259,0.103,0.652,0.00582,0.215,"lm.nb","NM_002994.4:475"
"SLC2A1-mRNA",-1.11,0.388,-1.87,-0.349,0.463,0.274,0.785,0.00598,0.217,"lm.nb","NM_006516.2:264"
"ICAM1-mRNA",1.69,0.592,0.529,2.85,3.22,1.44,7.2,0.00605,0.217,"lm.nb","NM_000201.2:2253"
"STAT2-mRNA",1.01,0.357,0.307,1.71,2.01,1.24,3.27,0.00662,0.235,"lm.nb","NM_005419.2:1965"
"CXCL3-mRNA",1.56,0.557,0.473,2.66,2.96,1.39,6.3,0.00684,0.239,"lm.nb","NM_002090.2:467"
"FPR3-mRNA",1.53,0.546,0.457,2.6,2.88,1.37,6.05,0.00704,0.243,"lm.nb","NM_002030.4:733"
"EXO1-mRNA",-1.15,0.415,-1.97,-0.341,0.449,0.256,0.79,0.00738,0.251,"lm.nb","NM_006027.3:820"
"IL6-mRNA",-1.38,0.502,-2.37,-0.399,0.384,0.194,0.759,0.00792,0.267,"lm.nb","NM_000600.3:484"
"NBN-mRNA",1.56,0.572,0.444,2.69,2.96,1.36,6.43,0.00832,0.277,"lm.nb","NM_002485.4:1046"
"KIR2DL3-mRNA",-1.39,0.509,-2.38,-0.387,0.383,0.192,0.765,0.00866,0.284,"lm.nb","NM_015868.2:145"
"ARID1A-mRNA",1.42,0.524,0.392,2.45,2.67,1.31,5.45,0.00897,0.289,"lm.nb","NM_006015.4:1670"
"NFIL3-mRNA",1.22,0.453,0.337,2.11,2.34,1.26,4.32,0.00906,0.289,"lm.nb","NM_001289999.1:1466"
"ITGA1-mRNA",1.23,0.454,0.336,2.12,2.34,1.26,4.33,0.00912,0.289,"lm.nb","NM_181501.1:502"
"LAMA1-mRNA",-0.977,0.364,-1.69,-0.264,0.508,0.31,0.833,0.00956,0.299,"lm.nb","NM_005559.3:9002"
"PSMB8-mRNA",0.867,0.326,0.228,1.51,1.82,1.17,2.84,0.0102,0.316,"lm.nb","NM_004159.4:1080"
"PTGS2-mRNA",-1.96,0.743,-3.42,-0.51,0.256,0.0934,0.702,0.0105,0.322,"lm.nb","NM_000963.1:495"
"IFI27-mRNA",1.69,0.641,0.432,2.94,3.22,1.35,7.7,0.0109,0.329,"lm.nb","NM_005532.3:390"
"SERPINA1-mRNA",1.61,0.612,0.408,2.81,3.05,1.33,6.99,0.0111,0.33,"lm.nb","NM_001127702.1:963"
"MYD88-mRNA",0.513,0.195,0.13,0.896,1.43,1.09,1.86,0.0112,0.33,"lm.nb","NM_002468.3:2145"
"SERPINH1-mRNA",1.62,0.622,0.401,2.84,3.07,1.32,7.16,0.0117,0.343,"lm.nb","NM_001207014.1:1850"
"IFI35-mRNA",1.33,0.515,0.318,2.34,2.51,1.25,5.05,0.0126,0.365,"lm.nb","NM_005533.4:729"
"CD58-mRNA",-1.25,0.491,-2.21,-0.29,0.42,0.216,0.818,0.0135,0.386,"lm.nb","NM_001144822.1:42"
"LOXL2-mRNA",-1.25,0.498,-2.22,-0.272,0.421,0.214,0.828,0.0151,0.428,"lm.nb","NM_002318.2:40"
"SPRY4-mRNA",1.55,0.623,0.329,2.77,2.93,1.26,6.82,0.0158,0.443,"lm.nb","NM_030964.3:1900"
"ITGB2-mRNA",1.64,0.66,0.341,2.93,3.11,1.27,7.62,0.0163,0.452,"lm.nb","NM_000211.3:1412"
"RBL2-mRNA",1.37,0.556,0.284,2.46,2.59,1.22,5.52,0.0166,0.454,"lm.nb","NM_001323611.1:1085"
"MS4A1-mRNA",-1.17,0.475,-2.1,-0.238,0.445,0.233,0.848,0.0169,0.46,"lm.nb","NM_021950.3:161"
"GLUL-mRNA",1.91,0.779,0.384,3.44,3.76,1.31,10.8,0.0173,0.464,"loglinear","NM_002065.6:1485"
"EIF2AK2-mRNA",1.02,0.417,0.197,1.83,2.02,1.15,3.56,0.0182,0.484,"lm.nb","NM_001135652.2:516"
"IFNGR2-mRNA",2.37,0.976,0.453,4.28,5.16,1.37,19.4,0.0186,0.489,"loglinear","NM_005534.3:1963"
"IRF9-mRNA",1.12,0.466,0.209,2.04,2.18,1.16,4.1,0.0194,0.505,"lm.nb","NM_006084.4:723"
"ISG15-mRNA",1.41,0.591,0.254,2.57,2.66,1.19,5.95,0.0202,0.522,"lm.nb","NM_005101.3:305"
"LYZ-mRNA",1.85,0.784,0.311,3.38,3.6,1.24,10.4,0.0219,0.556,"lm.nb","NM_000239.2:381"
"THBS1-mRNA",1.46,0.62,0.246,2.68,2.75,1.19,6.39,0.022,0.556,"lm.nb","NM_003246.2:3816"
"HAVCR2-mRNA",1.14,0.486,0.189,2.09,2.21,1.14,4.27,0.0224,0.562,"lm.nb","NM_032782.3:955"
"VEGFA-mRNA",0.78,0.336,0.121,1.44,1.72,1.09,2.71,0.024,0.596,"lm.nb","NM_001171623.1:2212"
"KAT2B-mRNA",0.971,0.421,0.146,1.8,1.96,1.11,3.47,0.0249,0.612,"lm.nb","NM_003884.4:1180"
"TNFRSF1A-mRNA",0.811,0.353,0.118,1.5,1.75,1.09,2.83,0.0255,0.622,"lm.nb","NM_001065.2:515"
"DTX3L-mRNA",0.981,0.43,0.138,1.82,1.97,1.1,3.54,0.0265,0.639,"lm.nb","NM_138287.3:1543"
"IFNGR1-mRNA",1.33,0.584,0.183,2.47,2.51,1.14,5.54,0.0269,0.644,"lm.nb","NM_000416.2:1025"
"EPM2AIP1-mRNA",0.957,0.424,0.127,1.79,1.94,1.09,3.45,0.0277,0.658,"lm.nb","NM_014805.3:1322"
"CDH2-mRNA",-0.764,0.339,-1.43,-0.0996,0.589,0.371,0.933,0.0281,0.662,"lm.nb","NM_001792.3:3067"
"IL32-mRNA",1.4,0.623,0.18,2.62,2.64,1.13,6.16,0.0285,0.664,"lm.nb","NM_004221.4:358"
"CDKN1C-mRNA",1.15,0.514,0.145,2.16,2.22,1.11,4.47,0.0289,0.669,"lm.nb","NM_000076.2:1605"
"CASP3-mRNA",0.722,0.329,0.0767,1.37,1.65,1.05,2.58,0.0325,0.744,"lm.nb","NM_032991.2:1002"
"FCGR3A/B-mRNA",1.3,0.595,0.134,2.47,2.46,1.1,5.53,0.0331,0.749,"lm.nb","NM_000570.4:255"
"BLM-mRNA",-0.756,0.346,-1.44,-0.0773,0.592,0.37,0.948,0.0332,0.749,"lm.nb","NM_000057.3:1434"
"GIMAP4-mRNA",1.18,0.545,0.111,2.25,2.27,1.08,4.75,0.0347,0.769,"lm.nb","NM_018326.2:315"
"LILRA1-mRNA",-1.05,0.485,-2,-0.0992,0.483,0.25,0.934,0.0347,0.769,"lm.nb","NM_001278318.1:486"
"PPARGC1B-mRNA",-1.03,0.477,-1.96,-0.0923,0.49,0.256,0.938,0.0356,0.782,"lm.nb","NM_001172699.1:1010"
"CD68-mRNA",1.01,0.471,0.0878,1.93,2.01,1.06,3.82,0.0362,0.788,"lm.nb","NM_001251.2:1140"
"IFITM2-mRNA",0.81,0.379,0.0677,1.55,1.75,1.05,2.93,0.0368,0.796,"lm.nb","NM_006435.2:390"
"PLOD2-mRNA",-0.769,0.362,-1.48,-0.0593,0.587,0.359,0.96,0.0381,0.813,"lm.nb","NM_182943.2:2588"
"ARNT2-mRNA",-1.38,0.649,-2.65,-0.105,0.385,0.159,0.93,0.0382,0.813,"lm.nb","NM_014862.3:1133"
"DUSP5-mRNA",1.12,0.535,0.0715,2.17,2.17,1.05,4.5,0.0408,0.859,"lm.nb","NM_004419.3:675"
"VHL-mRNA",-0.786,0.376,-1.52,-0.0492,0.58,0.348,0.967,0.0411,0.859,"lm.nb","NM_198156.1:420"
"MFGE8-mRNA",0.782,0.375,0.048,1.52,1.72,1.03,2.86,0.0413,0.859,"lm.nb","NM_001114614.1:328"
"CD47-mRNA",1.23,0.593,0.0701,2.4,2.35,1.05,5.26,0.0423,0.871,"lm.nb","NM_001777.3:901"
"ARG2-mRNA",-0.55,0.269,-1.08,-0.0224,0.683,0.474,0.985,0.0457,0.935,"lm.nb","NM_001172.3:512"
"TLR3-mRNA",0.967,0.474,0.0375,1.9,1.96,1.03,3.72,0.0462,0.937,"lm.nb","NM_003265.2:37"
"TAP2-mRNA",0.899,0.443,0.0308,1.77,1.86,1.02,3.4,0.0472,0.95,"lm.nb","NM_018833.2:912"
"IL10RA-mRNA",1.02,0.505,0.0306,2.01,2.03,1.02,4.03,0.0481,0.962,"lm.nb","NM_001558.2:150"
"STAT3-mRNA",1.36,0.677,0.0385,2.69,2.58,1.03,6.46,0.0485,0.962,"lm.nb","NM_003150.3:2936"
"CD70-mRNA",0.721,0.358,0.0181,1.42,1.65,1.01,2.68,0.0492,0.969,"lm.nb","NM_001252.3:420"
"UBE2T-mRNA",-0.824,0.415,-1.64,-0.0113,0.565,0.321,0.992,0.0518,1,"lm.nb","NM_014176.1:50"
"FUT4-mRNA",-0.828,0.418,-1.65,-0.00893,0.563,0.319,0.994,0.0525,1,"lm.nb","NM_002033.3:1151"
"NEIL1-mRNA",-0.916,0.466,-1.83,-0.00184,0.53,0.281,0.999,0.0545,1,"lm.nb","NM_024608.2:1675"
"MLANA-mRNA",-1.05,0.537,-2.11,-0.000659,0.482,0.232,1,0.0548,1,"lm.nb","NM_005511.1:246"
"TBX21-mRNA",-0.979,0.503,-1.96,0.00623,0.507,0.256,1,0.0565,1,"lm.nb","NM_013351.1:1380"
"TNFSF10-mRNA",1.46,0.759,-0.03,2.95,2.75,0.979,7.71,0.0599,1,"lm.nb","NM_003810.3:155"
"MYC-mRNA",1.22,0.639,-0.0277,2.48,2.34,0.981,5.56,0.0604,1,"lm.nb","NM_002467.3:1615"
"RAD50-mRNA",1.09,0.571,-0.0277,2.21,2.13,0.981,4.63,0.0611,1,"lm.nb","NM_005732.3:1357"
"BMP2-mRNA",0.563,0.295,-0.0155,1.14,1.48,0.989,2.21,0.0616,1,"lm.nb","NM_001200.3:1193"
"NECTIN2-mRNA",1.26,0.663,-0.0406,2.56,2.39,0.972,5.88,0.0628,1,"lm.nb","NM_001042724.1:1120"
"CTNNB1-mRNA",0.975,0.515,-0.0347,1.98,1.97,0.976,3.96,0.0636,1,"lm.nb","NM_001098209.1:1938"
"PVR-mRNA",-0.777,0.412,-1.58,0.0306,0.584,0.333,1.02,0.0645,1,"lm.nb","NM_001135768.2:448"
"PSMB10-mRNA",1,0.542,-0.0594,2.06,2,0.96,4.18,0.0695,1,"lm.nb","NM_002801.3:249"
"PARP4-mRNA",0.523,0.284,-0.0335,1.08,1.44,0.977,2.11,0.0707,1,"lm.nb","NM_006437.3:1399"
"MMP9-mRNA",-0.876,0.482,-1.82,0.0693,0.545,0.283,1.05,0.0747,1,"lm.nb","NM_004994.2:2011"
"ENTPD1-mRNA",0.951,0.527,-0.0821,1.98,1.93,0.945,3.96,0.0766,1,"lm.nb","NM_001098175.1:1418"
"IFNAR1-mRNA",0.65,0.364,-0.063,1.36,1.57,0.957,2.57,0.0794,1,"lm.nb","NM_000629.2:461"
"ULBP2-mRNA",-0.658,0.369,-1.38,0.0648,0.634,0.384,1.05,0.0798,1,"lm.nb","NM_025217.2:905"
"IFIT2-mRNA",1.11,0.632,-0.133,2.35,2.15,0.912,5.09,0.0855,1,"lm.nb","NM_001547.4:1995"
"ANGPTL4-mRNA",0.937,0.538,-0.117,1.99,1.91,0.922,3.97,0.0869,1,"lm.nb","NM_001039667.2:1088"
"KIF2C-mRNA",-1.17,0.674,-2.49,0.156,0.446,0.178,1.11,0.0893,1,"lm.nb","NM_006845.2:1020"
"TLR2-mRNA",0.705,0.414,-0.106,1.52,1.63,0.929,2.86,0.094,1,"lm.nb","NM_001318787.1:484"
"HDAC11-mRNA",-1.18,0.695,-2.54,0.182,0.441,0.172,1.13,0.0951,1,"lm.nb","NM_001330636.1:865"
"DDB2-mRNA",-0.529,0.311,-1.14,0.0817,0.693,0.454,1.06,0.0951,1,"lm.nb","NM_000107.2:1556"
"TAPBP-mRNA",0.766,0.454,-0.123,1.66,1.7,0.919,3.15,0.0967,1,"lm.nb","NM_003190.4:1082"
"PDGFA-mRNA",0.732,0.438,-0.127,1.59,1.66,0.916,3.01,0.101,1,"lm.nb","NM_033023.4:2390"
"SMAD5-mRNA",0.508,0.306,-0.092,1.11,1.42,0.938,2.16,0.103,1,"lm.nb","NM_005903.5:5007"
"EDN1-mRNA",0.898,0.542,-0.164,1.96,1.86,0.893,3.89,0.103,1,"lm.nb","NM_001955.2:770"
"DPP4-mRNA",1.01,0.614,-0.193,2.22,2.02,0.875,4.64,0.105,1,"lm.nb","NM_001935.3:1861"
"CHUK-mRNA",1.09,0.663,-0.213,2.39,2.12,0.862,5.23,0.107,1,"lm.nb","NM_001278.4:3263"
"TMEM140-mRNA",0.731,0.448,-0.146,1.61,1.66,0.904,3.05,0.108,1,"lm.nb","NM_018295.3:377"
"TNFRSF11B-mRNA",-0.694,0.425,-1.53,0.139,0.618,0.347,1.1,0.108,1,"lm.nb","NM_002546.3:572"
"IL33-mRNA",-0.862,0.528,-1.9,0.174,0.55,0.268,1.13,0.108,1,"lm.nb","NM_033439.3:1842"
"OAS1-mRNA",1.1,0.679,-0.228,2.43,2.15,0.854,5.4,0.11,1,"lm.nb","NM_001032409.1:805"
"CCNE1-mRNA",-0.692,0.428,-1.53,0.147,0.619,0.346,1.11,0.112,1,"lm.nb","NM_001238.1:1155"
"RB1-mRNA",0.899,0.557,-0.193,1.99,1.86,0.875,3.97,0.112,1,"lm.nb","NM_000321.2:2769"
"IER3-mRNA",0.895,0.562,-0.206,2,1.86,0.867,3.99,0.117,1,"lm.nb","NM_003897.3:204"
"BCL2L1-mRNA",0.459,0.29,-0.11,1.03,1.37,0.927,2.04,0.119,1,"lm.nb","NM_001191.3:1421"
"S100A8-mRNA",0.972,0.615,-0.233,2.18,1.96,0.851,4.52,0.119,1,"lm.nb","NM_002964.4:365"
"CCND3-mRNA",-0.759,0.489,-1.72,0.2,0.591,0.304,1.15,0.127,1,"lm.nb","NM_001136017.2:760"
"TLR5-mRNA",-0.717,0.467,-1.63,0.199,0.608,0.322,1.15,0.13,1,"lm.nb","NM_003268.5:2570"
"TTC30A-mRNA",-0.386,0.255,-0.886,0.114,0.765,0.541,1.08,0.136,1,"lm.nb","NM_152275.3:2492"
"PVRIG-mRNA",-0.753,0.503,-1.74,0.232,0.593,0.3,1.17,0.14,1,"lm.nb","NM_024070.3:1390"
"NFKBIE-mRNA",0.623,0.417,-0.194,1.44,1.54,0.874,2.71,0.141,1,"lm.nb","NM_004556.2:876"
"BAD-mRNA",-0.512,0.344,-1.19,0.161,0.701,0.44,1.12,0.142,1,"lm.nb","NM_004322.3:963"
"EIF4EBP1-mRNA",-0.653,0.44,-1.52,0.209,0.636,0.35,1.16,0.143,1,"lm.nb","NM_004095.3:673"
"CXCR2-mRNA",-0.793,0.536,-1.84,0.257,0.577,0.279,1.2,0.145,1,"lm.nb","NM_001557.3:409"
"ID4-mRNA",1.08,0.739,-0.368,2.53,2.11,0.775,5.77,0.149,1,"lm.nb","NM_001546.3:2048"
"CEACAM3-mRNA",-0.819,0.561,-1.92,0.28,0.567,0.265,1.21,0.15,1,"lm.nb","NM_001277163.2:807"
"MICA-mRNA",-0.843,0.58,-1.98,0.294,0.557,0.253,1.23,0.152,1,"lm.nb","NM_000247.1:550"
"IL12RB2-mRNA",-0.899,0.62,-2.12,0.316,0.536,0.231,1.25,0.153,1,"lm.nb","NM_001319233.1:880"
"LIF-mRNA",-0.745,0.514,-1.75,0.263,0.596,0.297,1.2,0.153,1,"lm.nb","NM_002309.4:3740"
"CRABP2-mRNA",0.536,0.371,-0.192,1.26,1.45,0.875,2.4,0.155,1,"lm.nb","NM_001199723.1:802"
"SBNO2-mRNA",0.912,0.644,-0.351,2.17,1.88,0.784,4.51,0.163,1,"lm.nb","NM_001100122.1:1686"
"HES1-mRNA",0.523,0.372,-0.205,1.25,1.44,0.867,2.38,0.165,1,"lm.nb","NM_005524.2:860"
"MELK-mRNA",-0.615,0.442,-1.48,0.252,0.653,0.358,1.19,0.17,1,"lm.nb","NM_014791.2:365"
"TNKS-mRNA",0.864,0.622,-0.354,2.08,1.82,0.782,4.23,0.17,1,"lm.nb","NM_003747.2:1948"
"ATM-mRNA",0.514,0.373,-0.217,1.25,1.43,0.86,2.37,0.174,1,"lm.nb","NM_000051.3:393"
"CXCL6-mRNA",-0.825,0.6,-2,0.351,0.564,0.25,1.28,0.175,1,"lm.nb","NM_002993.3:308"
"P4HA2-mRNA",0.676,0.5,-0.305,1.66,1.6,0.81,3.15,0.182,1,"lm.nb","NM_001017973.1:1748"
"CXCL1-mRNA",0.748,0.554,-0.339,1.83,1.68,0.791,3.57,0.183,1,"lm.nb","NM_001511.3:743"
"ITGAV-mRNA",0.633,0.472,-0.292,1.56,1.55,0.817,2.94,0.185,1,"lm.nb","NM_001144999.2:2701"
"LAMB3-mRNA",-0.809,0.603,-1.99,0.373,0.571,0.252,1.3,0.185,1,"lm.nb","NM_000228.2:3350"
"IL6R-mRNA",0.542,0.406,-0.254,1.34,1.46,0.838,2.53,0.188,1,"lm.nb","NM_000565.3:846"
"CD40-mRNA",0.511,0.383,-0.24,1.26,1.42,0.846,2.4,0.188,1,"lm.nb","NM_001250.5:166"
"RPTOR-mRNA",-0.72,0.542,-1.78,0.342,0.607,0.291,1.27,0.189,1,"lm.nb","NM_001163034.1:3139"
"RICTOR-mRNA",0.845,0.636,-0.402,2.09,1.8,0.757,4.27,0.19,1,"lm.nb","NM_001285439.1:117"
