"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CDH1-mRNA",0.614,0.405,-0.18,1.41,1.53,0.883,2.65,0.135,1,"lm.nb","NM_004360.3:379"
"CXCL6-mRNA",0.712,0.475,-0.219,1.64,1.64,0.859,3.12,0.139,1,"lm.nb","NM_002993.3:308"
"STC1-mRNA",0.505,0.341,-0.164,1.17,1.42,0.893,2.25,0.144,1,"lm.nb","NM_003155.2:2172"
"PIK3CA-mRNA",0.527,0.366,-0.19,1.24,1.44,0.876,2.37,0.155,1,"lm.nb","NM_006218.2:3296"
"MICA-mRNA",0.619,0.438,-0.239,1.48,1.54,0.847,2.79,0.163,1,"lm.nb","NM_000247.1:550"
"BRD4-mRNA",0.759,0.54,-0.3,1.82,1.69,0.812,3.53,0.166,1,"lm.nb","NM_001330384.1:2083"
"TNFSF10-mRNA",0.859,0.612,-0.341,2.06,1.81,0.79,4.16,0.166,1,"lm.nb","NM_003810.3:155"
"PMS2-mRNA",0.635,0.459,-0.265,1.54,1.55,0.832,2.9,0.172,1,"lm.nb","NM_000535.6:894"
"PPARG-mRNA",0.734,0.532,-0.309,1.78,1.66,0.807,3.43,0.173,1,"lm.nb","NM_005037.5:434"
"TNFAIP6-mRNA",0.638,0.463,-0.27,1.55,1.56,0.829,2.92,0.174,1,"lm.nb","NM_007115.3:165"
"CASP3-mRNA",0.358,0.262,-0.156,0.872,1.28,0.897,1.83,0.178,1,"lm.nb","NM_032991.2:1002"
"NF1-mRNA",0.714,0.525,-0.315,1.74,1.64,0.804,3.35,0.179,1,"lm.nb","NM_000267.3:1260"
"CCND2-mRNA",0.755,0.557,-0.336,1.85,1.69,0.792,3.6,0.181,1,"lm.nb","NM_001759.2:5825"
"CCL3/L1-mRNA",0.724,0.545,-0.344,1.79,1.65,0.788,3.46,0.189,1,"lm.nb","NM_021006.5:411"
"ITGA1-mRNA",-0.49,0.37,-1.21,0.236,0.712,0.431,1.18,0.191,1,"lm.nb","NM_181501.1:502"
"TICAM1-mRNA",0.638,0.483,-0.308,1.58,1.56,0.808,3,0.192,1,"lm.nb","NM_182919.3:2552"
"BRD3-mRNA",0.529,0.403,-0.261,1.32,1.44,0.835,2.49,0.195,1,"lm.nb","NM_007371.3:2621"
"CRABP2-mRNA",0.39,0.297,-0.192,0.972,1.31,0.875,1.96,0.195,1,"lm.nb","NM_001199723.1:802"
"KIR2DL3-mRNA",0.513,0.4,-0.271,1.3,1.43,0.829,2.46,0.205,1,"lm.nb","NM_015868.2:145"
"HAVCR2-mRNA",0.504,0.394,-0.267,1.28,1.42,0.831,2.42,0.205,1,"lm.nb","NM_032782.3:955"
"EIF2B4-mRNA",0.418,0.327,-0.222,1.06,1.34,0.857,2.08,0.206,1,"lm.nb","NM_001034116.1:1258"
"PTEN-mRNA",0.594,0.472,-0.331,1.52,1.51,0.795,2.86,0.213,1,"lm.nb","NM_000314.6:6696"
"BAMBI-mRNA",0.384,0.307,-0.218,0.985,1.3,0.86,1.98,0.216,1,"lm.nb","NM_012342.2:824"
"TNFRSF1A-mRNA",0.351,0.283,-0.204,0.906,1.28,0.868,1.87,0.221,1,"lm.nb","NM_001065.2:515"
"MMP7-mRNA",0.847,0.687,-0.5,2.19,1.8,0.707,4.58,0.223,1,"lm.nb","NM_002423.3:265"
"LAMC2-mRNA",0.734,0.596,-0.434,1.9,1.66,0.74,3.74,0.223,1,"lm.nb","NM_005562.2:1027"
"TP53-mRNA",0.699,0.569,-0.415,1.81,1.62,0.75,3.52,0.224,1,"lm.nb","NM_000546.2:1330"
"RPS6KB1-mRNA",0.274,0.224,-0.164,0.713,1.21,0.892,1.64,0.225,1,"lm.nb","NM_001272042.1:2451"
"HES1-mRNA",-0.365,0.299,-0.951,0.22,0.776,0.517,1.16,0.227,1,"lm.nb","NM_005524.2:860"
"AQP9-mRNA",0.594,0.486,-0.358,1.55,1.51,0.78,2.92,0.227,1,"lm.nb","NM_001320635.1:753"
"SBNO2-mRNA",0.629,0.515,-0.38,1.64,1.55,0.768,3.11,0.227,1,"lm.nb","NM_001100122.1:1686"
"OAS3-mRNA",0.311,0.257,-0.192,0.814,1.24,0.876,1.76,0.23,1,"lm.nb","NM_006187.3:2354"
"PFKM-mRNA",-0.234,0.195,-0.617,0.149,0.85,0.652,1.11,0.236,1,"lm.nb","NM_000289.5:2672"
"TMEM140-mRNA",0.421,0.36,-0.284,1.13,1.34,0.821,2.18,0.247,1,"lm.nb","NM_018295.3:377"
"CENPF-mRNA",-0.617,0.529,-1.65,0.419,0.652,0.318,1.34,0.248,1,"lm.nb","NM_016343.3:9260"
"TRIM21-mRNA",0.602,0.526,-0.429,1.63,1.52,0.743,3.1,0.257,1,"lm.nb","NM_003141.3:1190"
"IL10RA-mRNA",0.462,0.405,-0.331,1.26,1.38,0.795,2.39,0.258,1,"lm.nb","NM_001558.2:150"
"KAT2B-mRNA",0.383,0.336,-0.276,1.04,1.3,0.826,2.06,0.26,1,"lm.nb","NM_003884.4:1180"
"ULBP2-mRNA",0.328,0.29,-0.24,0.897,1.26,0.847,1.86,0.263,1,"lm.nb","NM_025217.2:905"
"EDN1-mRNA",0.489,0.433,-0.36,1.34,1.4,0.779,2.53,0.264,1,"lm.nb","NM_001955.2:770"
"ICAM2-mRNA",0.602,0.534,-0.444,1.65,1.52,0.735,3.13,0.264,1,"lm.nb","NM_000873.3:415"
"HLA-DMB-mRNA",0.413,0.372,-0.315,1.14,1.33,0.804,2.21,0.271,1,"lm.nb","NM_002118.3:20"
"TAPBPL-mRNA",0.541,0.487,-0.413,1.5,1.45,0.751,2.82,0.271,1,"lm.nb","NM_018009.4:1425"
"GLS-mRNA",0.285,0.257,-0.22,0.789,1.22,0.859,1.73,0.273,1,"lm.nb","NM_014905.4:165"
"IL6R-mRNA",-0.36,0.328,-1,0.282,0.779,0.499,1.22,0.277,1,"lm.nb","NM_000565.3:846"
"PIK3R2-mRNA",-0.358,0.329,-1,0.287,0.78,0.499,1.22,0.281,1,"lm.nb","NM_005027.3:344"
"CXCL14-mRNA",0.294,0.271,-0.237,0.826,1.23,0.849,1.77,0.282,1,"lm.nb","NM_004887.4:990"
"CEBPB-mRNA",-0.227,0.209,-0.637,0.183,0.854,0.643,1.14,0.283,1,"lm.nb","NM_005194.3:1731"
"TLR2-mRNA",-0.359,0.333,-1.01,0.293,0.78,0.496,1.23,0.285,1,"lm.nb","NM_001318787.1:484"
"FCGR2B-mRNA",0.502,0.466,-0.411,1.41,1.42,0.752,2.67,0.286,1,"lm.nb","NM_001002273.1:870"
"RAD51-mRNA",0.288,0.271,-0.243,0.818,1.22,0.845,1.76,0.292,1,"lm.nb","NM_133487.3:1570"
"BMP2-mRNA",0.254,0.239,-0.215,0.724,1.19,0.861,1.65,0.293,1,"lm.nb","NM_001200.3:1193"
"CHUK-mRNA",0.56,0.529,-0.477,1.6,1.47,0.718,3.03,0.294,1,"lm.nb","NM_001278.4:3263"
"MRE11-mRNA",-0.182,0.173,-0.52,0.157,0.882,0.697,1.11,0.297,1,"lm.nb","NM_001330347.1:2169"
"ADAM12-mRNA",-0.27,0.257,-0.773,0.233,0.829,0.585,1.18,0.298,1,"lm.nb","NM_003474.5:638"
"NFKB2-mRNA",0.214,0.204,-0.186,0.614,1.16,0.879,1.53,0.299,1,"lm.nb","NM_001077494.3:1986"
"ATF3-mRNA",0.266,0.262,-0.248,0.779,1.2,0.842,1.72,0.315,1,"lm.nb","NM_001674.3:1487"
"SMAD5-mRNA",0.248,0.245,-0.232,0.728,1.19,0.851,1.66,0.316,1,"lm.nb","NM_005903.5:5007"
"TNFRSF10C-mRNA",0.38,0.377,-0.358,1.12,1.3,0.78,2.17,0.317,1,"lm.nb","NM_003841.3:682"
"CTSS-mRNA",0.355,0.353,-0.338,1.05,1.28,0.791,2.07,0.319,1,"lm.nb","NM_004079.3:685"
"RICTOR-mRNA",0.507,0.507,-0.486,1.5,1.42,0.714,2.83,0.321,1,"lm.nb","NM_001285439.1:117"
"PVR-mRNA",0.322,0.322,-0.309,0.953,1.25,0.807,1.94,0.322,1,"lm.nb","NM_001135768.2:448"
"CEACAM3-mRNA",0.439,0.44,-0.424,1.3,1.36,0.746,2.47,0.323,1,"lm.nb","NM_001277163.2:807"
"ICOSLG-mRNA",0.401,0.407,-0.397,1.2,1.32,0.759,2.3,0.329,1,"lm.nb","NM_015259.4:1190"
"NECTIN1-mRNA",-0.362,0.367,-1.08,0.358,0.778,0.473,1.28,0.329,1,"lm.nb","NM_002855.4:357"
"NFKB1-mRNA",0.387,0.402,-0.4,1.17,1.31,0.758,2.26,0.34,1,"lm.nb","NM_003998.3:2920"
"FCGRT-mRNA",0.434,0.452,-0.453,1.32,1.35,0.73,2.5,0.342,1,"lm.nb","NM_004107.4:1260"
"SMAP1-mRNA",0.342,0.361,-0.366,1.05,1.27,0.776,2.07,0.348,1,"lm.nb","NM_001044305.2:823"
"MSH2-mRNA",-0.271,0.287,-0.833,0.291,0.829,0.561,1.22,0.348,1,"lm.nb","NM_000251.1:2514"
"ANLN-mRNA",0.549,0.585,-0.597,1.7,1.46,0.661,3.24,0.352,1,"lm.nb","NM_018685.2:240"
"BCL2L1-mRNA",0.219,0.234,-0.24,0.677,1.16,0.847,1.6,0.353,1,"lm.nb","NM_001191.3:1421"
"SPRY4-mRNA",0.466,0.499,-0.512,1.44,1.38,0.701,2.72,0.354,1,"lm.nb","NM_030964.3:1900"
"EZH2-mRNA",0.214,0.229,-0.235,0.663,1.16,0.85,1.58,0.354,1,"lm.nb","NM_004456.4:1596"
"CD68-mRNA",0.351,0.376,-0.386,1.09,1.28,0.765,2.13,0.355,1,"lm.nb","NM_001251.2:1140"
"FAM124B-mRNA",0.436,0.47,-0.485,1.36,1.35,0.715,2.56,0.357,1,"lm.nb","NM_001122779.1:1620"
"CXCL5-mRNA",0.475,0.512,-0.528,1.48,1.39,0.693,2.78,0.358,1,"lm.nb","NM_002994.4:475"
"EIF2AK2-mRNA",0.308,0.334,-0.346,0.962,1.24,0.787,1.95,0.36,1,"lm.nb","NM_001135652.2:516"
"MAP3K5-mRNA",0.352,0.386,-0.404,1.11,1.28,0.756,2.15,0.365,1,"lm.nb","NM_005923.3:3371"
"MYD88-mRNA",0.141,0.157,-0.166,0.448,1.1,0.891,1.36,0.372,1,"lm.nb","NM_002468.3:2145"
"MTOR-mRNA",0.372,0.417,-0.445,1.19,1.29,0.735,2.28,0.375,1,"lm.nb","NM_004958.3:3444"
"RIPK1-mRNA",0.354,0.396,-0.423,1.13,1.28,0.746,2.19,0.376,1,"lm.nb","NM_003804.3:1304"
"CD276-mRNA",0.412,0.463,-0.496,1.32,1.33,0.709,2.5,0.377,1,"lm.nb","NM_001024736.1:2119"
"TCF3-mRNA",0.478,0.537,-0.575,1.53,1.39,0.671,2.89,0.377,1,"lm.nb","NM_003200.3:276"
"TNFRSF14-mRNA",-0.296,0.333,-0.95,0.357,0.814,0.518,1.28,0.378,1,"lm.nb","NM_003820.3:503"
"EPM2AIP1-mRNA",0.3,0.338,-0.363,0.963,1.23,0.777,1.95,0.379,1,"lm.nb","NM_014805.3:1322"
"TGFB1-mRNA",0.214,0.241,-0.26,0.687,1.16,0.835,1.61,0.38,1,"lm.nb","NM_000660.4:1473"
"EGR1-mRNA",0.219,0.249,-0.269,0.708,1.16,0.83,1.63,0.383,1,"lm.nb","NM_001964.2:2034"
"CSF1R-mRNA",0.39,0.446,-0.485,1.26,1.31,0.715,2.4,0.386,1,"lm.nb","NM_005211.3:958"
"TLR5-mRNA",0.318,0.365,-0.397,1.03,1.25,0.759,2.05,0.387,1,"lm.nb","NM_003268.5:2570"
"LILRA1-mRNA",0.329,0.382,-0.419,1.08,1.26,0.748,2.11,0.392,1,"lm.nb","NM_001278318.1:486"
"CXCL8-mRNA",0.432,0.517,-0.581,1.45,1.35,0.669,2.72,0.407,1,"lm.nb","NM_000584.3:170"
"CCL20-mRNA",0.544,0.651,-0.732,1.82,1.46,0.602,3.53,0.407,1,"lm.nb","NM_001130046.1:295"
"TNFRSF10D-mRNA",-0.3,0.363,-1.01,0.412,0.812,0.496,1.33,0.412,1,"lm.nb","NM_003840.4:838"
"FZD8-mRNA",0.225,0.273,-0.309,0.76,1.17,0.807,1.69,0.412,1,"lm.nb","NM_031866.1:890"
"CCNE1-mRNA",-0.277,0.337,-0.938,0.385,0.825,0.522,1.31,0.416,1,"lm.nb","NM_001238.1:1155"
"SLC16A1-mRNA",-0.325,0.405,-1.12,0.468,0.799,0.461,1.38,0.426,1,"lm.nb","NM_003051.3:635"
"IFNGR2-mRNA",0.611,0.777,-0.913,2.13,1.53,0.531,4.39,0.435,1,"loglinear","NM_005534.3:1963"
"PARP12-mRNA",0.393,0.501,-0.588,1.37,1.31,0.665,2.59,0.435,1,"lm.nb","NM_022750.3:1843"
"DUSP5-mRNA",0.336,0.427,-0.502,1.17,1.26,0.706,2.25,0.435,1,"lm.nb","NM_004419.3:675"
"THBS1-mRNA",0.384,0.494,-0.585,1.35,1.3,0.667,2.55,0.441,1,"lm.nb","NM_003246.2:3816"
"PDZK1IP1-mRNA",0.458,0.592,-0.702,1.62,1.37,0.615,3.07,0.442,1,"lm.nb","NM_005764.3:229"
"TAP2-mRNA",0.274,0.354,-0.42,0.969,1.21,0.747,1.96,0.442,1,"lm.nb","NM_018833.2:912"
"ITPK1-mRNA",0.137,0.177,-0.21,0.484,1.1,0.864,1.4,0.443,1,"lm.nb","NM_001142593.2:958"
"ERBB2-mRNA",0.376,0.489,-0.582,1.33,1.3,0.668,2.52,0.445,1,"lm.nb","NM_004448.2:2405"
"HLA-DPA1-mRNA",0.42,0.549,-0.656,1.5,1.34,0.635,2.82,0.447,1,"lm.nb","NM_033554.2:857"
"RBL2-mRNA",0.34,0.445,-0.531,1.21,1.27,0.692,2.32,0.447,1,"lm.nb","NM_001323611.1:1085"
"BATF3-mRNA",0.22,0.288,-0.344,0.784,1.16,0.788,1.72,0.448,1,"lm.nb","NM_018664.2:725"
"RAD50-mRNA",0.344,0.456,-0.55,1.24,1.27,0.683,2.36,0.454,1,"lm.nb","NM_005732.3:1357"
"EPCAM-mRNA",0.351,0.466,-0.562,1.26,1.28,0.677,2.4,0.454,1,"lm.nb","NM_002354.2:499"
"PRKACB-mRNA",0.392,0.521,-0.63,1.41,1.31,0.646,2.66,0.456,1,"lm.nb","NM_182948.2:805"
"NEIL1-mRNA",0.276,0.368,-0.445,0.998,1.21,0.734,2,0.456,1,"lm.nb","NM_024608.2:1675"
"MSH6-mRNA",-0.25,0.335,-0.906,0.406,0.841,0.534,1.33,0.458,1,"lm.nb","NM_000179.2:1015"
"STAT2-mRNA",0.214,0.287,-0.349,0.776,1.16,0.785,1.71,0.46,1,"lm.nb","NM_005419.2:1965"
"HK1-mRNA",-0.175,0.235,-0.636,0.287,0.886,0.644,1.22,0.461,1,"lm.nb","NM_000188.2:3355"
"MS4A1-mRNA",0.274,0.37,-0.452,1,1.21,0.731,2,0.463,1,"lm.nb","NM_021950.3:161"
"WDR76-mRNA",0.149,0.203,-0.248,0.546,1.11,0.842,1.46,0.466,1,"lm.nb","NM_024908.3:1875"
"CXCL3-mRNA",0.328,0.448,-0.549,1.21,1.26,0.684,2.31,0.466,1,"lm.nb","NM_002090.2:467"
"HLA-DOA-mRNA",0.259,0.354,-0.434,0.952,1.2,0.74,1.93,0.467,1,"lm.nb","NM_002119.3:3075"
"LAMB3-mRNA",-0.35,0.481,-1.29,0.593,0.785,0.408,1.51,0.47,1,"lm.nb","NM_000228.2:3350"
"BBS1-mRNA",0.218,0.3,-0.37,0.805,1.16,0.774,1.75,0.47,1,"lm.nb","NM_024649.4:82"
"FOSL1-mRNA",0.205,0.283,-0.349,0.759,1.15,0.785,1.69,0.472,1,"lm.nb","NM_005438.3:1320"
"OAS1-mRNA",0.392,0.544,-0.674,1.46,1.31,0.627,2.75,0.474,1,"lm.nb","NM_001032409.1:805"
"BRCA2-mRNA",0.359,0.498,-0.617,1.34,1.28,0.652,2.52,0.474,1,"lm.nb","NM_000059.3:1373"
"SPP1-mRNA",0.392,0.545,-0.675,1.46,1.31,0.626,2.75,0.475,1,"lm.nb","NM_000582.2:760"
"UBE2T-mRNA",0.225,0.323,-0.408,0.857,1.17,0.754,1.81,0.489,1,"lm.nb","NM_014176.1:50"
"ISG15-mRNA",0.33,0.475,-0.6,1.26,1.26,0.66,2.4,0.489,1,"lm.nb","NM_005101.3:305"
"BCL2-mRNA",0.297,0.426,-0.539,1.13,1.23,0.688,2.19,0.489,1,"lm.nb","NM_000633.2:1525"
"LOXL2-mRNA",0.264,0.386,-0.492,1.02,1.2,0.711,2.03,0.496,1,"lm.nb","NM_002318.2:40"
"GLUD1-mRNA",0.173,0.253,-0.323,0.668,1.13,0.8,1.59,0.497,1,"lm.nb","NM_005271.2:2680"
"RAD51C-mRNA",0.173,0.255,-0.326,0.673,1.13,0.798,1.59,0.499,1,"lm.nb","NM_058216.2:15"
"PTCD2-mRNA",0.308,0.456,-0.586,1.2,1.24,0.666,2.3,0.503,1,"lm.nb","NM_001284403.1:326"
"OASL-mRNA",0.255,0.378,-0.487,0.997,1.19,0.714,2,0.503,1,"lm.nb","NM_003733.2:1570"
"GPSM3-mRNA",-0.27,0.402,-1.06,0.519,0.829,0.48,1.43,0.505,1,"lm.nb","NM_001276501.1:915"
"DTX3L-mRNA",0.231,0.345,-0.445,0.907,1.17,0.735,1.88,0.505,1,"lm.nb","NM_138287.3:1543"
"IFNAR1-mRNA",-0.196,0.292,-0.768,0.377,0.873,0.587,1.3,0.506,1,"lm.nb","NM_000629.2:461"
"S100A8-mRNA",0.328,0.492,-0.635,1.29,1.26,0.644,2.45,0.507,1,"lm.nb","NM_002964.4:365"
"DPP4-mRNA",0.329,0.493,-0.637,1.29,1.26,0.643,2.45,0.507,1,"lm.nb","NM_001935.3:1861"
"CDK2-mRNA",-0.227,0.341,-0.896,0.442,0.854,0.537,1.36,0.508,1,"lm.nb","NM_001290230.1:1543"
"BLM-mRNA",0.176,0.268,-0.35,0.701,1.13,0.785,1.63,0.515,1,"lm.nb","NM_000057.3:1434"
"AKT1-mRNA",-0.275,0.426,-1.11,0.559,0.826,0.464,1.47,0.521,1,"lm.nb","NM_005163.2:2207"
"MAML2-mRNA",-0.241,0.376,-0.977,0.495,0.846,0.508,1.41,0.524,1,"lm.nb","NM_032427.1:4125"
"SLC2A1-mRNA",-0.193,0.302,-0.785,0.398,0.875,0.58,1.32,0.524,1,"lm.nb","NM_006516.2:264"
"FYN-mRNA",-0.302,0.472,-1.23,0.622,0.811,0.427,1.54,0.524,1,"lm.nb","NM_002037.5:2125"
"RIPK2-mRNA",0.191,0.299,-0.395,0.776,1.14,0.761,1.71,0.526,1,"lm.nb","NM_003821.5:1306"
"KIF2C-mRNA",-0.333,0.529,-1.37,0.705,0.794,0.387,1.63,0.532,1,"lm.nb","NM_006845.2:1020"
"JAG1-mRNA",0.418,0.683,-0.92,1.76,1.34,0.528,3.38,0.543,1,"lm.nb","NM_000214.2:3509"
"POLD1-mRNA",-0.216,0.357,-0.915,0.482,0.861,0.53,1.4,0.546,1,"lm.nb","NM_001256849.1:1356"
"EIF4EBP1-mRNA",-0.211,0.349,-0.895,0.472,0.864,0.538,1.39,0.547,1,"lm.nb","NM_004095.3:673"
"ERO1A-mRNA",-0.381,0.629,-1.61,0.853,0.768,0.327,1.81,0.547,1,"loglinear","NM_014584.2:963"
"KIR3DL1-mRNA",0.285,0.471,-0.639,1.21,1.22,0.642,2.31,0.548,1,"lm.nb","NM_001322168.1:466"
"MB21D1-mRNA",-0.17,0.282,-0.724,0.383,0.889,0.606,1.3,0.549,1,"lm.nb","NM_138441.2:1198"
"S100A9-mRNA",0.301,0.5,-0.68,1.28,1.23,0.624,2.43,0.55,1,"lm.nb","NM_002965.3:137"
"CD74-mRNA",0.219,0.374,-0.515,0.953,1.16,0.7,1.94,0.561,1,"lm.nb","NM_001025159.2:1161"
"IFI6-mRNA",0.261,0.454,-0.629,1.15,1.2,0.647,2.22,0.568,1,"lm.nb","NM_002038.3:410"
"CXCR4-mRNA",0.283,0.494,-0.685,1.25,1.22,0.622,2.38,0.569,1,"lm.nb","NM_001008540.1:1060"
"NOTCH2-mRNA",-0.185,0.324,-0.821,0.45,0.88,0.566,1.37,0.57,1,"lm.nb","NM_024408.3:2842"
"GOT1-mRNA",0.203,0.36,-0.503,0.909,1.15,0.706,1.88,0.575,1,"lm.nb","NM_002079.2:568"
"SIRPA-mRNA",0.161,0.287,-0.4,0.723,1.12,0.758,1.65,0.575,1,"lm.nb","NM_001040023.1:3355"
"PDK1-mRNA",-0.19,0.338,-0.852,0.472,0.877,0.554,1.39,0.576,1,"lm.nb","NM_002610.3:401"
"FUT4-mRNA",-0.184,0.33,-0.832,0.463,0.88,0.562,1.38,0.579,1,"lm.nb","NM_002033.3:1151"
"P4HA1-mRNA",-0.125,0.225,-0.567,0.317,0.917,0.675,1.25,0.581,1,"lm.nb","NM_000917.3:805"
"RB1-mRNA",-0.247,0.445,-1.12,0.626,0.843,0.46,1.54,0.581,1,"lm.nb","NM_000321.2:2769"
"CDC20-mRNA",0.249,0.451,-0.635,1.13,1.19,0.644,2.19,0.583,1,"lm.nb","NM_001255.1:915"
"CXCL1-mRNA",0.245,0.444,-0.626,1.12,1.19,0.648,2.17,0.583,1,"lm.nb","NM_001511.3:743"
"H2AFX-mRNA",0.214,0.39,-0.549,0.978,1.16,0.683,1.97,0.584,1,"lm.nb","NM_002105.2:521"
"VHL-mRNA",0.161,0.292,-0.412,0.734,1.12,0.751,1.66,0.585,1,"lm.nb","NM_198156.1:420"
"BIRC5-mRNA",-0.336,0.612,-1.54,0.864,0.792,0.345,1.82,0.585,1,"lm.nb","NM_001168.2:1215"
"CASP1-mRNA",0.18,0.328,-0.464,0.823,1.13,0.725,1.77,0.587,1,"lm.nb","NM_001223.4:1050"
"E2F3-mRNA",0.364,0.666,-0.942,1.67,1.29,0.521,3.18,0.587,1,"loglinear","NM_001243076.2:2707"
"TPM1-mRNA",0.302,0.557,-0.79,1.39,1.23,0.578,2.63,0.59,1,"lm.nb","NM_000366.5:830"
"HRAS-mRNA",0.207,0.383,-0.544,0.958,1.15,0.686,1.94,0.59,1,"lm.nb","NM_005343.3:842"
"VTCN1-mRNA",0.198,0.371,-0.53,0.926,1.15,0.692,1.9,0.596,1,"lm.nb","NM_001253849.1:871"
"FPR3-mRNA",0.231,0.437,-0.627,1.09,1.17,0.648,2.13,0.6,1,"lm.nb","NM_002030.4:733"
"ALDOC-mRNA",0.176,0.334,-0.479,0.832,1.13,0.717,1.78,0.6,1,"lm.nb","NM_005165.2:335"
"TGFBR2-mRNA",0.187,0.358,-0.514,0.889,1.14,0.7,1.85,0.603,1,"lm.nb","NM_001024847.2:870"
"IFI35-mRNA",0.215,0.415,-0.599,1.03,1.16,0.66,2.04,0.607,1,"lm.nb","NM_005533.4:729"
"RASAL1-mRNA",0.165,0.319,-0.461,0.79,1.12,0.727,1.73,0.608,1,"lm.nb","NM_001193520.1:3097"
"TLR3-mRNA",0.199,0.385,-0.557,0.954,1.15,0.68,1.94,0.608,1,"lm.nb","NM_003265.2:37"
"TNF-mRNA",0.183,0.355,-0.513,0.879,1.14,0.701,1.84,0.609,1,"lm.nb","NM_000594.3:1366"
"GBP2-mRNA",-0.204,0.397,-0.981,0.573,0.868,0.506,1.49,0.609,1,"lm.nb","NM_004120.4:1744"
"APH1B-mRNA",0.202,0.395,-0.572,0.976,1.15,0.673,1.97,0.61,1,"lm.nb","NM_001145646.1:541"
"AREG-mRNA",0.362,0.713,-1.04,1.76,1.29,0.488,3.39,0.614,1,"lm.nb","NM_001657.3:717"
"PRKAA2-mRNA",0.168,0.339,-0.497,0.833,1.12,0.709,1.78,0.622,1,"lm.nb","NM_006252.3:4014"
"IFNGR1-mRNA",0.23,0.466,-0.684,1.14,1.17,0.623,2.21,0.623,1,"lm.nb","NM_000416.2:1025"
"ANGPTL4-mRNA",-0.21,0.43,-1.05,0.633,0.864,0.482,1.55,0.627,1,"lm.nb","NM_001039667.2:1088"
"IGF2R-mRNA",0.267,0.552,-0.815,1.35,1.2,0.568,2.55,0.63,1,"lm.nb","NM_000876.2:7820"
"PARP9-mRNA",0.278,0.576,-0.852,1.41,1.21,0.554,2.65,0.632,1,"lm.nb","NM_001146103.1:1188"
"LDHB-mRNA",-0.229,0.485,-1.18,0.722,0.853,0.441,1.65,0.639,1,"lm.nb","NM_001174097.2:1200"
"HELLS-mRNA",0.185,0.399,-0.597,0.968,1.14,0.661,1.96,0.644,1,"lm.nb","NM_001289067.1:191"
"CD40-mRNA",0.144,0.315,-0.472,0.761,1.11,0.721,1.69,0.649,1,"lm.nb","NM_001250.5:166"
