"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"EDN1-mRNA",-2.9,0.986,-4.83,-0.965,0.134,0.0351,0.512,0.00451,0.297,"lm.nb","NM_001955.2:770"
"HLA-B-mRNA",-2.22,0.761,-3.71,-0.724,0.215,0.0766,0.605,0.00488,0.309,"lm.nb","NM_005514.6:1247"
"CD69-mRNA",-2.18,0.749,-3.64,-0.71,0.221,0.08,0.611,0.00492,0.309,"lm.nb","NM_001781.2:88"
"ENTPD1-mRNA",-2.54,0.882,-4.27,-0.813,0.172,0.0518,0.569,0.00531,0.322,"lm.nb","NM_001098175.1:1418"
"CD3D-mRNA",-2.62,0.91,-4.4,-0.835,0.163,0.0472,0.56,0.00537,0.322,"lm.nb","NM_000732.4:127"
"IL33-mRNA",-2.76,0.961,-4.64,-0.873,0.148,0.0401,0.546,0.00551,0.323,"lm.nb","NM_033439.3:1842"
"FCGR2B-mRNA",-2.52,0.882,-4.25,-0.793,0.174,0.0526,0.577,0.00566,0.325,"lm.nb","NM_001002273.1:870"
"DUSP1-mRNA",-2.23,0.791,-3.78,-0.674,0.214,0.073,0.627,0.00645,0.356,"lm.nb","NM_004417.3:1428"
"CCL3/L1-mRNA",-2.91,1.03,-4.93,-0.88,0.133,0.0327,0.543,0.00646,0.356,"lm.nb","NM_021006.5:411"
"VTCN1-mRNA",-2.04,0.73,-3.48,-0.613,0.242,0.0899,0.654,0.00669,0.361,"lm.nb","NM_001253849.1:871"
"CEBPB-mRNA",-1.13,0.409,-1.93,-0.331,0.456,0.262,0.795,0.00726,0.378,"lm.nb","NM_005194.3:1731"
"TREM2-mRNA",-2.44,0.883,-4.18,-0.714,0.184,0.0553,0.61,0.00728,0.378,"lm.nb","NM_018965.3:848"
"TMEM173-mRNA",-1.64,0.601,-2.82,-0.466,0.32,0.142,0.724,0.00795,0.404,"lm.nb","NM_198282.1:725"
"SPRY4-mRNA",-2.54,0.936,-4.38,-0.707,0.172,0.0482,0.612,0.0084,0.41,"lm.nb","NM_030964.3:1900"
"CCL4-mRNA",-2.79,1.03,-4.8,-0.767,0.145,0.0358,0.588,0.00866,0.41,"lm.nb","NM_002984.2:35"
"HLA-E-mRNA",-2.19,0.811,-3.78,-0.601,0.219,0.0727,0.659,0.00875,0.41,"lm.nb","NM_005516.5:1287"
"MFGE8-mRNA",-2.51,0.93,-4.33,-0.687,0.175,0.0496,0.621,0.00881,0.41,"lm.nb","NM_001114614.1:328"
"FPR3-mRNA",-2.52,0.934,-4.35,-0.686,0.175,0.0491,0.622,0.0089,0.41,"lm.nb","NM_002030.4:733"
"CYBB-mRNA",-2.48,0.922,-4.29,-0.673,0.179,0.0513,0.627,0.00901,0.41,"lm.nb","NM_000397.3:1034"
"PTGS2-mRNA",-3,1.12,-5.2,-0.811,0.125,0.0273,0.57,0.00913,0.41,"lm.nb","NM_000963.1:495"
"HLA-DOA-mRNA",-2.08,0.79,-3.63,-0.529,0.237,0.081,0.693,0.0106,0.467,"lm.nb","NM_002119.3:3075"
"CD14-mRNA",-2.3,0.888,-4.04,-0.562,0.203,0.0607,0.677,0.0117,0.502,"lm.nb","NM_001174105.1:1020"
"IL10RA-mRNA",-2.03,0.784,-3.57,-0.495,0.245,0.0843,0.71,0.0117,0.502,"lm.nb","NM_001558.2:150"
"EOMES-mRNA",-2.74,1.06,-4.83,-0.655,0.15,0.0352,0.635,0.0122,0.515,"lm.nb","NM_001278182.1:1522"
"STAT2-mRNA",-1.22,0.484,-2.16,-0.267,0.431,0.223,0.831,0.0145,0.599,"lm.nb","NM_005419.2:1965"
"CEACAM3-mRNA",1.97,0.792,0.416,3.52,3.91,1.33,11.5,0.0155,0.632,"lm.nb","NM_001277163.2:807"
"IFITM2-mRNA",-1.28,0.519,-2.29,-0.261,0.412,0.204,0.834,0.0163,0.658,"lm.nb","NM_006435.2:390"
"IRF1-mRNA",-1.44,0.591,-2.6,-0.282,0.368,0.165,0.823,0.0175,0.693,"lm.nb","NM_002198.2:557"
"RSAD2-mRNA",-1.87,0.794,-3.42,-0.31,0.274,0.0931,0.806,0.0217,0.83,"lm.nb","NM_080657.4:1057"
"LY96-mRNA",-3,1.28,-5.51,-0.498,0.125,0.022,0.708,0.0217,0.83,"lm.nb","NM_001195797.1:135"
"ADAM12-mRNA",1.72,0.732,0.284,3.15,3.29,1.22,8.9,0.0218,0.83,"lm.nb","NM_003474.5:638"
"WDR76-mRNA",1.01,0.437,0.158,1.87,2.02,1.12,3.66,0.0233,0.871,"lm.nb","NM_024908.3:1875"
"S100A8-mRNA",-2.4,1.04,-4.45,-0.352,0.19,0.0459,0.784,0.0248,0.914,"lm.nb","NM_002964.4:365"
"RRM2-mRNA",2.01,0.878,0.287,3.73,4.02,1.22,13.2,0.0253,0.921,"lm.nb","NM_001034.1:490"
"CDKN2A-mRNA",-1.88,0.825,-3.5,-0.266,0.271,0.0885,0.831,0.0256,0.921,"lm.nb","NM_000077.4:1052"
"ITGA1-mRNA",-1.6,0.709,-2.99,-0.216,0.329,0.126,0.861,0.0268,0.949,"lm.nb","NM_181501.1:502"
"GOT2-mRNA",1.04,0.462,0.133,1.94,2.05,1.1,3.85,0.0279,0.972,"lm.nb","NM_002080.3:674"
"HLA-DMB-mRNA",-1.5,0.668,-2.8,-0.187,0.355,0.143,0.878,0.0284,0.972,"lm.nb","NM_002118.3:20"
"CRABP2-mRNA",-1.72,0.766,-3.22,-0.214,0.305,0.108,0.862,0.0285,0.972,"lm.nb","NM_001199723.1:802"
"PTPRC-mRNA",-1.75,0.809,-3.34,-0.166,0.297,0.099,0.891,0.034,1,"lm.nb","NM_080921.3:99"
"MELK-mRNA",1.63,0.76,0.137,3.12,3.09,1.1,8.67,0.036,1,"lm.nb","NM_014791.2:365"
"CDKN2B-mRNA",-1.29,0.613,-2.49,-0.093,0.408,0.178,0.938,0.0384,1,"lm.nb","NM_004936.3:906"
"CCL2-mRNA",4.25,2.02,0.291,8.2,19,1.22,294,0.0391,1,"loglinear","NM_002982.3:303"
"HELLS-mRNA",1.44,0.702,0.0676,2.82,2.72,1.05,7.05,0.0436,1,"lm.nb","NM_001289067.1:191"
"RAD51-mRNA",1.1,0.534,0.0501,2.14,2.14,1.04,4.41,0.0439,1,"lm.nb","NM_133487.3:1570"
"GIMAP4-mRNA",-1.75,0.858,-3.43,-0.0679,0.297,0.0927,0.954,0.0454,1,"lm.nb","NM_018326.2:315"
"ITGB3-mRNA",1.68,0.827,0.0598,3.3,3.21,1.04,9.86,0.0461,1,"lm.nb","NM_000212.2:4485"
"MKI67-mRNA",3.73,1.88,0.0519,7.41,13.3,1.04,171,0.0509,1,"loglinear","NM_002417.2:2005"
"EXO1-mRNA",1.33,0.669,0.016,2.64,2.51,1.01,6.22,0.0514,1,"lm.nb","NM_006027.3:820"
"PVRIG-mRNA",-1.76,0.894,-3.52,-0.0133,0.294,0.0874,0.991,0.0524,1,"lm.nb","NM_024070.3:1390"
"UBE2T-mRNA",1.08,0.554,-8.08e-05,2.17,2.12,1,4.5,0.0542,1,"lm.nb","NM_014176.1:50"
"PSMB8-mRNA",-0.96,0.491,-1.92,0.00236,0.514,0.264,1,0.0547,1,"lm.nb","NM_004159.4:1080"
"LAMC2-mRNA",4.36,2.24,-0.027,8.75,20.5,0.981,430,0.0556,1,"loglinear","NM_005562.2:1027"
"PVR-mRNA",1.15,0.59,-0.0102,2.3,2.21,0.993,4.93,0.0563,1,"lm.nb","NM_001135768.2:448"
"FBP1-mRNA",-1.44,0.745,-2.9,0.0226,0.369,0.134,1.02,0.0579,1,"lm.nb","NM_001127628.1:488"
"DEPTOR-mRNA",-1.4,0.73,-2.83,0.0334,0.379,0.141,1.02,0.0599,1,"lm.nb","NM_001283012.1:1141"
"HAVCR2-mRNA",-1.41,0.738,-2.86,0.0359,0.376,0.138,1.03,0.0602,1,"lm.nb","NM_032782.3:955"
"ZC3H12A-mRNA",-1.54,0.809,-3.13,0.0452,0.344,0.114,1.03,0.0612,1,"lm.nb","NM_025079.2:1379"
"TNFAIP6-mRNA",3.86,2.03,-0.117,7.83,14.5,0.922,228,0.0615,1,"loglinear","NM_007115.3:165"
"HES1-mRNA",-1.13,0.604,-2.32,0.0492,0.456,0.201,1.03,0.0647,1,"lm.nb","NM_005524.2:860"
"BNIP3-mRNA",-1.08,0.576,-2.21,0.0469,0.472,0.216,1.03,0.0647,1,"lm.nb","NM_004052.3:116"
"A2M-mRNA",-3.37,1.8,-6.9,0.155,0.0966,0.00838,1.11,0.0653,1,"loglinear","NM_000014.4:1685"
"PALMD-mRNA",-1.46,0.794,-3.02,0.0968,0.364,0.124,1.07,0.0705,1,"lm.nb","NM_017734.4:224"
"SERPINH1-mRNA",-1.64,0.893,-3.39,0.114,0.322,0.0956,1.08,0.0714,1,"lm.nb","NM_001207014.1:1850"
"PDZK1IP1-mRNA",4.19,2.3,-0.315,8.7,18.3,0.804,416,0.0727,1,"loglinear","NM_005764.3:229"
"VCAM1-mRNA",3.35,1.86,-0.301,7.01,10.2,0.812,129,0.0766,1,"loglinear","NM_001078.3:2535"
"LAMA1-mRNA",1.17,0.655,-0.109,2.46,2.26,0.927,5.49,0.0775,1,"lm.nb","NM_005559.3:9002"
"LOXL2-mRNA",1.19,0.668,-0.122,2.5,2.28,0.919,5.64,0.0802,1,"lm.nb","NM_002318.2:40"
"B2M-mRNA",-1.43,0.81,-3.02,0.154,0.37,0.123,1.11,0.0814,1,"lm.nb","NM_004048.2:573"
"ZEB2-mRNA",-2.15,1.22,-4.53,0.236,0.226,0.0433,1.18,0.082,1,"lm.nb","NM_001171653.1:1879"
"CDKN1A-mRNA",0.911,0.517,-0.102,1.92,1.88,0.932,3.8,0.0825,1,"lm.nb","NM_000389.2:1975"
"TNFRSF11B-mRNA",1.52,0.864,-0.175,3.21,2.86,0.886,9.26,0.0834,1,"lm.nb","NM_002546.3:572"
"FADD-mRNA",1.18,0.685,-0.166,2.52,2.26,0.892,5.74,0.0903,1,"lm.nb","NM_003824.3:810"
"BBS1-mRNA",-0.946,0.55,-2.02,0.133,0.519,0.246,1.1,0.0904,1,"lm.nb","NM_024649.4:82"
"EIF4EBP1-mRNA",1.35,0.787,-0.194,2.89,2.54,0.874,7.41,0.0914,1,"lm.nb","NM_004095.3:673"
"TPSAB1/B2-mRNA",-1.85,1.09,-3.97,0.281,0.278,0.0637,1.21,0.0935,1,"lm.nb","NM_003294.3:556"
"PPARGC1B-mRNA",-1.33,0.781,-2.86,0.203,0.399,0.138,1.15,0.0938,1,"lm.nb","NM_001172699.1:1010"
"UBA7-mRNA",-0.843,0.497,-1.82,0.132,0.558,0.284,1.1,0.0948,1,"lm.nb","NM_003335.2:580"
"NOTCH2-mRNA",1.19,0.702,-0.187,2.57,2.28,0.878,5.92,0.0949,1,"lm.nb","NM_024408.3:2842"
"TNFRSF10C-mRNA",1.25,0.746,-0.213,2.71,2.38,0.863,6.54,0.0987,1,"lm.nb","NM_003841.3:682"
"IFIT3-mRNA",-1.34,0.802,-2.91,0.23,0.395,0.133,1.17,0.0991,1,"lm.nb","NM_001031683.3:712"
"SIRPA-mRNA",1.04,0.626,-0.183,2.27,2.06,0.881,4.83,0.1,1,"lm.nb","NM_001040023.1:3355"
"TYMS-mRNA",1.4,0.847,-0.259,3.06,2.64,0.836,8.34,0.103,1,"lm.nb","NM_001071.1:395"
"NT5E-mRNA",1.94,1.18,-0.373,4.26,3.85,0.772,19.2,0.105,1,"lm.nb","NM_002526.3:3526"
"TAP1-mRNA",-1.6,0.98,-3.53,0.318,0.329,0.0869,1.25,0.107,1,"lm.nb","NM_000593.5:1000"
"TWF1-mRNA",0.787,0.485,-0.165,1.74,1.72,0.892,3.34,0.11,1,"lm.nb","NM_002822.4:1574"
"BAX-mRNA",1.21,0.744,-0.253,2.66,2.31,0.839,6.34,0.11,1,"lm.nb","NM_004324.3:330"
"TMEM140-mRNA",-1.15,0.714,-2.55,0.247,0.45,0.17,1.19,0.111,1,"lm.nb","NM_018295.3:377"
"ARG2-mRNA",-0.815,0.515,-1.82,0.195,0.568,0.282,1.14,0.118,1,"lm.nb","NM_001172.3:512"
"ANGPTL4-mRNA",-1.57,0.994,-3.52,0.381,0.337,0.0874,1.3,0.12,1,"lm.nb","NM_001039667.2:1088"
"CDC20-mRNA",1.31,0.837,-0.334,2.95,2.47,0.794,7.71,0.123,1,"lm.nb","NM_001255.1:915"
"IRF2-mRNA",-0.551,0.355,-1.25,0.145,0.683,0.422,1.11,0.125,1,"lm.nb","NM_002199.3:1624"
"SLC16A1-mRNA",-1.53,0.989,-3.47,0.411,0.347,0.0905,1.33,0.127,1,"lm.nb","NM_003051.3:635"
"AQP9-mRNA",-1.4,0.911,-3.19,0.381,0.378,0.11,1.3,0.128,1,"lm.nb","NM_001320635.1:753"
"S100A9-mRNA",-1.37,0.893,-3.12,0.379,0.387,0.115,1.3,0.129,1,"lm.nb","NM_002965.3:137"
"CX3CL1-mRNA",-1.05,0.692,-2.41,0.306,0.483,0.189,1.24,0.134,1,"lm.nb","NM_002996.3:1850"
"CDK6-mRNA",1.48,0.98,-0.442,3.4,2.79,0.736,10.6,0.136,1,"lm.nb","NM_001145306.1:1373"
"STC1-mRNA",1.25,0.834,-0.388,2.88,2.37,0.764,7.37,0.14,1,"lm.nb","NM_003155.2:2172"
"LCK-mRNA",-1.11,0.741,-2.56,0.346,0.465,0.17,1.27,0.14,1,"lm.nb","NM_005356.4:1723"
"ITPK1-mRNA",-0.509,0.344,-1.18,0.166,0.703,0.44,1.12,0.144,1,"lm.nb","NM_001142593.2:958"
"LILRA1-mRNA",-1.25,0.847,-2.91,0.409,0.42,0.133,1.33,0.144,1,"lm.nb","NM_001278318.1:486"
"CXCL5-mRNA",3.2,2.19,-1.09,7.5,9.22,0.468,181,0.149,1,"loglinear","NM_002994.4:475"
"PKM-mRNA",1.33,0.913,-0.458,3.12,2.52,0.728,8.71,0.149,1,"lm.nb","NM_001206796.2:1533"
"HIF1A-mRNA",1.69,1.16,-0.592,3.96,3.22,0.664,15.6,0.151,1,"lm.nb","NM_181054.2:930"
"HK1-mRNA",0.718,0.498,-0.258,1.69,1.65,0.836,3.24,0.154,1,"lm.nb","NM_000188.2:3355"
"BLM-mRNA",0.744,0.517,-0.27,1.76,1.67,0.83,3.38,0.155,1,"lm.nb","NM_000057.3:1434"
"PTCD2-mRNA",1.09,0.763,-0.404,2.59,2.13,0.756,6.01,0.157,1,"lm.nb","NM_001284403.1:326"
"KIF2C-mRNA",1.45,1.02,-0.559,3.45,2.73,0.679,10.9,0.162,1,"lm.nb","NM_006845.2:1020"
"KAT2B-mRNA",-1.32,0.936,-3.16,0.512,0.4,0.112,1.43,0.162,1,"lm.nb","NM_003884.4:1180"
"BCL2L1-mRNA",0.924,0.654,-0.358,2.21,1.9,0.78,4.61,0.162,1,"lm.nb","NM_001191.3:1421"
"FAM124B-mRNA",-1.34,0.949,-3.2,0.521,0.395,0.109,1.44,0.163,1,"lm.nb","NM_001122779.1:1620"
"TPM1-mRNA",2.98,2.12,-1.17,7.13,7.89,0.443,140,0.164,1,"loglinear","NM_000366.5:830"
"TNFSF10-mRNA",3.34,2.38,-1.32,7.99,10.1,0.401,254,0.165,1,"loglinear","NM_003810.3:155"
"ANLN-mRNA",1.65,1.18,-0.664,3.97,3.14,0.631,15.7,0.167,1,"lm.nb","NM_018685.2:240"
"OASL-mRNA",-1.21,0.876,-2.93,0.503,0.432,0.131,1.42,0.171,1,"lm.nb","NM_003733.2:1570"
"EPM2AIP1-mRNA",-1.07,0.77,-2.57,0.443,0.478,0.168,1.36,0.171,1,"lm.nb","NM_014805.3:1322"
"P4HA2-mRNA",1.47,1.07,-0.624,3.57,2.78,0.649,11.9,0.173,1,"lm.nb","NM_001017973.1:1748"
"RAD51C-mRNA",0.687,0.509,-0.311,1.69,1.61,0.806,3.22,0.182,1,"lm.nb","NM_058216.2:15"
"FYN-mRNA",-1.26,0.943,-3.11,0.588,0.418,0.116,1.5,0.186,1,"lm.nb","NM_002037.5:2125"
"PRKCA-mRNA",0.806,0.605,-0.379,1.99,1.75,0.769,3.98,0.187,1,"lm.nb","NM_002737.2:818"
"IFI16-mRNA",-1.32,1,-3.29,0.649,0.401,0.102,1.57,0.193,1,"lm.nb","NM_001206567.1:2351"
"CCNB1-mRNA",1.38,1.06,-0.694,3.45,2.6,0.618,10.9,0.197,1,"lm.nb","NM_031966.2:710"
"BIRC5-mRNA",1.54,1.18,-0.778,3.86,2.91,0.583,14.5,0.197,1,"lm.nb","NM_001168.2:1215"
"BRIP1-mRNA",0.966,0.744,-0.492,2.42,1.95,0.711,5.37,0.199,1,"lm.nb","NM_032043.2:1570"
"NFIL3-mRNA",-0.866,0.672,-2.18,0.452,0.549,0.22,1.37,0.202,1,"lm.nb","NM_001289999.1:1466"
"TRAF1-mRNA",-0.784,0.612,-1.98,0.416,0.581,0.253,1.33,0.205,1,"lm.nb","NM_001190945.1:712"
"BRCA2-mRNA",1.19,0.93,-0.632,3.01,2.28,0.645,8.07,0.205,1,"lm.nb","NM_000059.3:1373"
"UBE2C-mRNA",1.53,1.2,-0.82,3.88,2.89,0.567,14.8,0.206,1,"lm.nb","NM_007019.2:445"
"RIPK2-mRNA",-0.732,0.58,-1.87,0.404,0.602,0.274,1.32,0.211,1,"lm.nb","NM_003821.5:1306"
"FCGRT-mRNA",-1.06,0.844,-2.72,0.588,0.478,0.152,1.5,0.211,1,"lm.nb","NM_004107.4:1260"
"PDGFA-mRNA",-0.974,0.771,-2.49,0.538,0.509,0.179,1.45,0.211,1,"lm.nb","NM_033023.4:2390"
"CLEC4E-mRNA",-1.03,0.818,-2.63,0.577,0.491,0.161,1.49,0.214,1,"lm.nb","NM_014358.3:1392"
"ALDOC-mRNA",-0.766,0.611,-1.96,0.431,0.588,0.257,1.35,0.214,1,"lm.nb","NM_005165.2:335"
"ITGAE-mRNA",0.79,0.63,-0.445,2.02,1.73,0.734,4.07,0.214,1,"lm.nb","NM_002208.4:3647"
"JAG1-mRNA",2.65,2.14,-1.54,6.85,6.3,0.343,115,0.219,1,"loglinear","NM_000214.2:3509"
"CCL18-mRNA",-0.637,0.515,-1.65,0.371,0.643,0.32,1.29,0.22,1,"lm.nb","NM_002988.3:45"
"HMGA1-mRNA",1.17,0.953,-0.696,3.04,2.25,0.617,8.23,0.223,1,"lm.nb","NM_145902.2:906"
"NEIL1-mRNA",-0.995,0.814,-2.59,0.6,0.502,0.166,1.52,0.226,1,"lm.nb","NM_024608.2:1675"
"MICB-mRNA",0.711,0.584,-0.434,1.86,1.64,0.74,3.62,0.228,1,"lm.nb","NM_005931.3:1387"
"SPP1-mRNA",2.61,2.16,-1.62,6.84,6.09,0.325,114,0.231,1,"loglinear","NM_000582.2:760"
"CDH2-mRNA",0.784,0.657,-0.504,2.07,1.72,0.705,4.21,0.237,1,"lm.nb","NM_001792.3:3067"
"KIR3DL1-mRNA",1.04,0.874,-0.676,2.75,2.05,0.626,6.72,0.24,1,"lm.nb","NM_001322168.1:466"
"CASP1-mRNA",-0.747,0.632,-1.99,0.491,0.596,0.253,1.41,0.241,1,"lm.nb","NM_001223.4:1050"
"APH1B-mRNA",0.809,0.686,-0.535,2.15,1.75,0.69,4.45,0.242,1,"lm.nb","NM_001145646.1:541"
"MMP7-mRNA",2.63,2.23,-1.74,7,6.18,0.299,128,0.243,1,"loglinear","NM_002423.3:265"
"FUT4-mRNA",0.748,0.635,-0.496,1.99,1.68,0.709,3.98,0.243,1,"lm.nb","NM_002033.3:1151"
"ELOB-mRNA",-1.06,0.898,-2.82,0.703,0.481,0.142,1.63,0.243,1,"lm.nb","NM_007108.2:800"
"VCAN-mRNA",2.86,2.45,-1.94,7.66,7.27,0.261,203,0.247,1,"loglinear","NM_001126336.2:394"
"PCK2-mRNA",0.438,0.378,-0.302,1.18,1.35,0.811,2.26,0.25,1,"lm.nb","NM_001018073.2:1307"
"ULBP2-mRNA",0.659,0.572,-0.461,1.78,1.58,0.726,3.43,0.253,1,"lm.nb","NM_025217.2:905"
"PARP12-mRNA",1.01,0.879,-0.716,2.73,2.01,0.609,6.62,0.256,1,"lm.nb","NM_022750.3:1843"
"MYD88-mRNA",-0.361,0.318,-0.984,0.263,0.779,0.506,1.2,0.261,1,"lm.nb","NM_002468.3:2145"
"CXCL3-mRNA",-1.05,0.932,-2.88,0.771,0.481,0.136,1.71,0.262,1,"lm.nb","NM_002090.2:467"
"CSF1-mRNA",-0.778,0.693,-2.14,0.581,0.583,0.227,1.5,0.266,1,"lm.nb","NM_000757.5:251"
"JAK1-mRNA",0.701,0.625,-0.525,1.93,1.63,0.695,3.8,0.266,1,"lm.nb","NM_002227.1:285"
"ITGA2-mRNA",0.913,0.82,-0.693,2.52,1.88,0.619,5.73,0.269,1,"lm.nb","NM_002203.3:903"
"FOSL1-mRNA",0.598,0.546,-0.472,1.67,1.51,0.721,3.18,0.277,1,"lm.nb","NM_005438.3:1320"
"IFIT2-mRNA",-0.983,0.897,-2.74,0.776,0.506,0.149,1.71,0.277,1,"lm.nb","NM_001547.4:1995"
"LDHA-mRNA",0.866,0.805,-0.712,2.44,1.82,0.61,5.44,0.286,1,"lm.nb","NM_001135239.1:1053"
"BAD-mRNA",-0.553,0.515,-1.56,0.456,0.682,0.339,1.37,0.287,1,"lm.nb","NM_004322.3:963"
"SFXN1-mRNA",0.84,0.783,-0.694,2.38,1.79,0.618,5.19,0.287,1,"lm.nb","NM_001322977.1:191"
"PSMB5-mRNA",0.888,0.828,-0.735,2.51,1.85,0.601,5.7,0.288,1,"lm.nb","NM_001130725.1:426"
